trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,left,2025-12-23 17:42:00.300044,2025-12-23 17:42:00.312467,2025-12-23 17:42:00.895022,0.582555,hit,7.0,7.01242291595554,7.594978208013345
2,left,2025-12-23 17:42:04.300044,2025-12-23 17:42:04.306297,2025-12-23 17:42:04.746539,0.440242,hit,11.0,11.006253165949602,11.446495582989883
3,right,2025-12-23 17:42:11.300044,2025-12-23 17:42:11.307110,2025-12-23 17:42:11.820185,0.513076,hit,18.0,18.00706608296605,18.520141582994256
4,right,2025-12-23 17:42:13.300044,2025-12-23 17:42:13.304025,2025-12-23 17:42:13.781473,0.477448,hit,20.0,20.00398124998901,20.481429208011832
5,left,2025-12-23 17:42:18.300044,2025-12-23 17:42:18.307923,2025-12-23 17:42:18.794446,0.486523,hit,25.0,25.007879040960688,25.494401875010226
6,left,2025-12-23 17:42:20.300044,2025-12-23 17:42:20.304838,2025-12-23 17:42:20.750409,0.445571,hit,27.0,27.00479416595772,27.450365583004896
7,right,2025-12-23 17:42:24.300044,2025-12-23 17:42:24.310278,2025-12-23 17:42:24.769398,0.459120,hit,31.0,31.01023441599682,31.469354290980846
8,right,2025-12-23 17:42:29.300044,2025-12-23 17:42:29.314176,2025-12-23 17:42:29.787752,0.473576,hit,36.0,36.01413220795803,36.48770820797654
9,left,2025-12-23 17:42:31.300044,2025-12-23 17:42:31.311091,2025-12-23 17:42:31.782816,0.471725,hit,38.0,38.01104733295506,38.48277245799545
10,left,2025-12-23 17:42:36.300044,2025-12-23 17:42:36.309184,2025-12-23 17:42:36.757292,0.448108,hit,43.0,43.00914015463786,43.45724808302475
11,right,2025-12-23 17:42:41.300044,2025-12-23 17:42:41.307277,2025-12-23 17:42:41.765600,0.458323,hit,48.0,48.00723295798525,48.46555616601836
12,right,2025-12-23 17:42:43.300044,2025-12-23 17:42:43.304192,2025-12-23 17:42:43.824383,0.520191,hit,50.0,50.00414808298228,50.524339416006114
13,none,,2025-12-23 17:42:45.703619,,,false_positive,,,
13,left,2025-12-23 17:42:50.300044,2025-12-23 17:42:50.305005,2025-12-23 17:42:50.818281,0.513276,hit,57.0,57.00496104097692,57.51823724998394
14,right,2025-12-23 17:42:57.300044,2025-12-23 17:42:57.305818,2025-12-23 17:42:57.771980,0.466162,hit,64.0,64.00577395799337,64.47193637501914
15,left,2025-12-23 17:43:01.300044,2025-12-23 17:43:01.311258,2025-12-23 17:43:01.774441,0.463183,hit,68.0,68.01121416594833,68.47439737501554
16,none,,2025-12-23 17:43:04.444752,,,false_positive,,,
16,right,2025-12-23 17:43:05.300044,2025-12-23 17:43:05.305088,2025-12-23 17:43:05.809663,0.504575,hit,72.0,72.00504445796832,72.50961954100057
17,left,2025-12-23 17:43:10.300044,2025-12-23 17:43:10.308986,2025-12-23 17:43:10.820774,0.511788,hit,77.0,77.00894224998774,77.52072991599562
18,left,2025-12-23 17:43:17.300044,2025-12-23 17:43:17.309799,2025-12-23 17:43:17.797621,0.487822,hit,84.0,84.00975516595645,84.49757691600826
19,left,2025-12-23 17:43:21.300044,2025-12-23 17:43:21.303629,2025-12-23 17:43:21.759010,0.455381,hit,88.0,88.00358545797644,88.45896641601576
