trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,left,2025-12-17 10:56:59.368747,2025-12-17 10:56:59.378716,2025-12-17 10:57:00.124815,0.746099,hit
2,left,2025-12-17 10:57:03.368747,2025-12-17 10:57:03.378353,2025-12-17 10:57:03.798329,0.419976,hit
3,right,2025-12-17 10:57:10.368747,2025-12-17 10:57:10.373374,2025-12-17 10:57:10.976764,0.603391,hit
4,right,2025-12-17 10:57:12.368747,2025-12-17 10:57:12.376095,2025-12-17 10:57:13.008140,0.632045,hit
5,left,2025-12-17 10:57:17.368747,2025-12-17 10:57:17.379986,2025-12-17 10:57:17.960146,0.580160,hit
6,left,2025-12-17 10:57:19.368747,2025-12-17 10:57:19.376902,2025-12-17 10:57:19.946187,0.569285,hit
7,right,2025-12-17 10:57:23.368747,2025-12-17 10:57:23.376539,2025-12-17 10:57:23.872900,0.496361,hit
8,right,2025-12-17 10:57:28.368747,2025-12-17 10:57:28.374644,2025-12-17 10:57:28.885869,0.511226,hit
9,left,2025-12-17 10:57:30.368747,2025-12-17 10:57:30.377365,2025-12-17 10:57:30.994739,0.617374,hit
10,left,2025-12-17 10:57:35.368747,2025-12-17 10:57:35.375451,2025-12-17 10:57:35.856007,0.480556,hit
11,right,2025-12-17 10:57:40.368747,2025-12-17 10:57:40.373555,2025-12-17 10:57:40.879718,0.506163,hit
12,right,2025-12-17 10:57:42.368747,2025-12-17 10:57:42.376276,2025-12-17 10:57:42.944984,0.568708,hit
13,left,2025-12-17 10:57:49.368747,2025-12-17 10:57:49.372654,2025-12-17 10:57:49.876432,0.503779,hit
14,right,2025-12-17 10:57:56.368747,2025-12-17 10:57:56.379266,2025-12-17 10:57:56.875141,0.495875,hit
15,left,2025-12-17 10:58:00.368747,2025-12-17 10:58:00.378903,2025-12-17 10:58:00.921873,0.542969,hit
16,right,2025-12-17 10:58:04.368747,2025-12-17 10:58:04.378541,2025-12-17 10:58:04.806981,0.428441,hit
17,left,2025-12-17 10:58:09.368747,2025-12-17 10:58:09.378919,2025-12-17 10:58:09.876448,0.497529,hit
18,left,2025-12-17 10:58:16.368747,2025-12-17 10:58:16.376570,2025-12-17 10:58:16.871610,0.495040,hit
19,left,2025-12-17 10:58:20.368747,2025-12-17 10:58:20.370398,2025-12-17 10:58:20.843310,0.472913,hit
20,right,2025-12-17 10:58:22.368747,2025-12-17 10:58:22.378928,2025-12-17 10:58:22.929193,0.550265,hit
21,left,2025-12-17 10:58:24.368747,2025-12-17 10:58:24.375844,2025-12-17 10:58:24.895527,0.519683,hit
22,right,2025-12-17 10:58:31.368747,2025-12-17 10:58:31.376647,2025-12-17 10:58:31.864362,0.487715,hit
23,right,2025-12-17 10:58:35.368747,2025-12-17 10:58:35.376284,2025-12-17 10:58:35.810557,0.434272,hit
24,right,2025-12-17 10:58:40.368747,2025-12-17 10:58:40.374388,2025-12-17 10:58:40.847541,0.473152,hit
25,left,2025-12-17 10:58:42.368747,2025-12-17 10:58:42.373662,2025-12-17 10:58:43.014172,0.640510,hit
26,right,2025-12-17 10:58:47.368747,2025-12-17 10:58:47.377576,2025-12-17 10:58:47.843673,0.466097,hit
27,right,2025-12-17 10:58:49.368747,2025-12-17 10:58:49.380297,2025-12-17 10:58:49.916297,0.536001,hit
28,right,2025-12-17 10:58:53.368747,2025-12-17 10:58:53.379934,2025-12-17 10:58:53.828662,0.448729,hit
29,left,2025-12-17 10:58:58.368747,2025-12-17 10:58:58.378016,2025-12-17 10:58:58.862716,0.484701,hit
30,right,2025-12-17 10:59:05.368747,2025-12-17 10:59:05.373036,2025-12-17 10:59:05.889871,0.516835,hit
31,left,2025-12-17 10:59:12.368747,2025-12-17 10:59:12.373843,2025-12-17 10:59:12.938453,0.564610,hit
32,left,2025-12-17 10:59:16.368747,2025-12-17 10:59:16.373480,2025-12-17 10:59:16.894990,0.521510,hit
33,right,2025-12-17 10:59:21.368747,2025-12-17 10:59:21.371585,2025-12-17 10:59:22.047795,0.676210,hit
34,right,2025-12-17 10:59:28.368747,2025-12-17 10:59:28.378197,2025-12-17 10:59:28.990505,0.612308,hit
35,left,2025-12-17 10:59:33.368747,2025-12-17 10:59:33.370496,2025-12-17 10:59:33.903756,0.533260,hit
36,left,2025-12-17 10:59:40.368747,2025-12-17 10:59:40.377108,2025-12-17 10:59:40.939088,0.561980,hit
37,left,2025-12-17 10:59:44.368747,2025-12-17 10:59:44.376746,2025-12-17 10:59:44.901057,0.524311,hit
38,right,2025-12-17 10:59:46.368747,2025-12-17 10:59:46.373662,2025-12-17 10:59:46.911688,0.538026,hit
39,right,2025-12-17 10:59:50.368747,2025-12-17 10:59:50.373299,2025-12-17 10:59:50.842867,0.469568,hit
40,left,2025-12-17 10:59:52.368747,2025-12-17 10:59:52.376020,2025-12-17 10:59:52.986073,0.610054,hit
41,left,2025-12-17 10:59:59.368747,2025-12-17 10:59:59.378594,2025-12-17 10:59:59.915651,0.537056,hit
42,right,2025-12-17 11:00:01.368747,2025-12-17 11:00:01.375506,2025-12-17 11:00:01.943843,0.568337,hit
43,right,2025-12-17 11:00:06.368747,2025-12-17 11:00:06.379397,2025-12-17 11:00:06.892948,0.513551,hit
44,left,2025-12-17 11:00:08.368747,2025-12-17 11:00:08.370526,2025-12-17 11:00:08.930363,0.559837,hit
45,right,2025-12-17 11:00:15.368747,2025-12-17 11:00:15.377138,2025-12-17 11:00:15.865008,0.487869,hit
46,left,2025-12-17 11:00:19.368747,2025-12-17 11:00:19.376776,2025-12-17 11:00:19.870541,0.493766,hit
47,right,2025-12-17 11:00:23.368747,2025-12-17 11:00:23.376413,2025-12-17 11:00:23.851952,0.475539,hit
48,left,2025-12-17 11:00:28.368747,2025-12-17 11:00:28.374517,2025-12-17 11:00:28.916622,0.542105,hit
49,right,2025-12-17 11:00:33.368747,2025-12-17 11:00:33.379515,2025-12-17 11:00:33.879395,0.499880,hit
50,right,2025-12-17 11:00:37.368747,2025-12-17 11:00:37.379153,2025-12-17 11:00:37.919701,0.540548,hit
51,left,2025-12-17 11:00:44.368747,2025-12-17 11:00:44.374173,2025-12-17 11:00:44.843850,0.469677,hit
52,left,2025-12-17 11:00:46.368747,2025-12-17 11:00:46.376894,2025-12-17 11:00:46.940873,0.563979,hit
53,left,2025-12-17 11:00:51.368747,2025-12-17 11:00:51.374980,2025-12-17 11:00:51.801722,0.426742,hit
54,right,2025-12-17 11:00:58.368747,2025-12-17 11:00:58.375806,2025-12-17 11:00:58.850389,0.474584,hit
55,left,2025-12-17 11:01:02.368747,2025-12-17 11:01:02.375443,2025-12-17 11:01:02.838096,0.462653,hit
56,right,2025-12-17 11:01:04.368747,2025-12-17 11:01:04.372359,2025-12-17 11:01:04.848423,0.476064,hit
57,left,2025-12-17 11:01:09.368747,2025-12-17 11:01:09.376250,2025-12-17 11:01:09.930016,0.553766,hit
58,right,2025-12-17 11:01:16.368747,2025-12-17 11:01:16.377080,2025-12-17 11:01:16.927605,0.550525,hit
59,left,2025-12-17 11:01:23.368747,2025-12-17 11:01:23.377883,2025-12-17 11:01:23.868572,0.490689,hit
60,left,2025-12-17 11:01:27.368747,2025-12-17 11:01:27.377520,2025-12-17 11:01:27.893485,0.515965,hit
61,left,2025-12-17 11:01:29.368747,2025-12-17 11:01:29.374436,2025-12-17 11:01:29.883296,0.508859,hit
62,right,2025-12-17 11:01:31.368747,2025-12-17 11:01:31.377157,2025-12-17 11:01:31.901494,0.524337,hit
63,right,2025-12-17 11:01:35.368747,2025-12-17 11:01:35.376794,2025-12-17 11:01:35.786945,0.410151,hit
64,right,2025-12-17 11:01:40.368747,2025-12-17 11:01:40.374899,2025-12-17 11:01:40.854550,0.479652,hit
65,right,2025-12-17 11:01:42.368747,2025-12-17 11:01:42.371815,2025-12-17 11:01:42.890208,0.518394,hit
66,left,2025-12-17 11:01:49.368747,2025-12-17 11:01:49.378427,2025-12-17 11:01:49.885727,0.507300,hit
67,left,2025-12-17 11:01:54.368747,2025-12-17 11:01:54.376531,2025-12-17 11:01:54.876875,0.500343,hit
68,none,,2025-12-17 11:01:57.178335,,,false_positive
68,right,2025-12-17 11:02:01.368747,2025-12-17 11:02:01.377339,2025-12-17 11:02:01.915457,0.538118,hit
69,right,2025-12-17 11:02:05.368747,2025-12-17 11:02:05.376976,2025-12-17 11:02:05.893648,0.516672,hit
70,left,2025-12-17 11:02:09.368747,2025-12-17 11:02:09.376613,2025-12-17 11:02:09.895794,0.519181,hit
71,right,2025-12-17 11:02:14.368747,2025-12-17 11:02:14.374717,2025-12-17 11:02:14.929065,0.554348,hit
72,left,2025-12-17 11:02:16.368747,2025-12-17 11:02:16.377443,2025-12-17 11:02:16.938640,0.561198,hit
73,left,2025-12-17 11:02:20.368747,2025-12-17 11:02:20.377080,2025-12-17 11:02:20.944829,0.567749,hit
74,left,2025-12-17 11:02:25.368747,2025-12-17 11:02:25.375162,2025-12-17 11:02:25.913065,0.537904,hit
75,right,2025-12-17 11:02:32.368747,2025-12-17 11:02:32.375987,2025-12-17 11:02:32.913814,0.537827,hit
76,left,2025-12-17 11:02:34.368747,2025-12-17 11:02:34.372903,2025-12-17 11:02:34.911168,0.538264,hit
