trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,none,,2026-01-03 14:15:25.549361,,,false_positive,,,
1,left,2026-01-03 14:15:31.240541,2026-01-03 14:15:31.247153,2026-01-03 14:15:32.009424,0.762271,hit,7.0,7.006612245284487,7.768883332959376
2,left,2026-01-03 14:15:35.240541,2026-01-03 14:15:35.246790,2026-01-03 14:15:35.634942,0.388152,hit,11.0,11.006249433499761,11.39440129196737
3,right,2026-01-03 14:15:42.240541,2026-01-03 14:15:42.247597,2026-01-03 14:15:42.679658,0.432061,hit,18.0,18.007056689064484,18.4391179169761
4,right,2026-01-03 14:15:44.240541,2026-01-03 14:15:44.250318,2026-01-03 14:15:44.745343,0.495025,hit,20.0,20.00977777747903,20.504802374984138
5,left,2026-01-03 14:15:49.240541,2026-01-03 14:15:49.248423,2026-01-03 14:15:49.690928,0.442506,hit,25.0,25.00788208656013,25.450387999997474
6,left,2026-01-03 14:15:51.240541,2026-01-03 14:15:51.245339,2026-01-03 14:15:51.694271,0.448932,hit,27.0,27.00479818630265,27.453730499953963
7,right,2026-01-03 14:15:55.240541,2026-01-03 14:15:55.244976,2026-01-03 14:15:55.656530,0.411554,hit,31.0,31.004435374517925,31.41598983295262
8,right,2026-01-03 14:16:00.240541,2026-01-03 14:16:00.248867,2026-01-03 14:16:00.651052,0.402185,hit,36.0,36.00832653034013,36.410511249967385
9,left,2026-01-03 14:16:02.240541,2026-01-03 14:16:02.251593,2026-01-03 14:16:02.732491,0.480898,hit,38.0,38.01105215452844,38.49194991699187
10,left,2026-01-03 14:16:07.240541,2026-01-03 14:16:07.243887,2026-01-03 14:16:07.701593,0.457706,hit,43.0,43.00334693916375,43.461052707978524
11,right,2026-01-03 14:16:12.240541,2026-01-03 14:16:12.247779,2026-01-03 14:16:12.661455,0.413677,hit,48.0,48.00723809492774,48.42091491696192
12,right,2026-01-03 14:16:14.240541,2026-01-03 14:16:14.250500,2026-01-03 14:16:14.720107,0.469607,hit,50.0,50.0099591834005,50.47956649999833
13,left,2026-01-03 14:16:21.240541,2026-01-03 14:16:21.245520,2026-01-03 14:16:21.710613,0.465093,hit,57.0,57.00497959222412,57.47007224999834
14,right,2026-01-03 14:16:28.240541,2026-01-03 14:16:28.246327,2026-01-03 14:16:28.678979,0.432651,hit,64.0,64.00578684778884,64.43843808298698
15,left,2026-01-03 14:16:32.240541,2026-01-03 14:16:32.245965,2026-01-03 14:16:32.731277,0.485312,hit,68.0,68.00542403600411,68.49073587497696
16,right,2026-01-03 14:16:36.240541,2026-01-03 14:16:36.251411,2026-01-03 14:16:36.656804,0.405393,hit,72.0,72.01087074866518,72.4162637499976
17,left,2026-01-03 14:16:41.240541,2026-01-03 14:16:41.243706,2026-01-03 14:16:41.637834,0.394127,hit,77.0,77.00316553324228,77.39729295799043
18,left,2026-01-03 14:16:48.240541,2026-01-03 14:16:48.250318,2026-01-03 14:16:48.650382,0.400064,hit,84.0,84.00977777747903,84.40984145796392
19,left,2026-01-03 14:16:52.240541,2026-01-03 14:16:52.249956,2026-01-03 14:16:52.676631,0.426676,hit,88.0,88.0094149656943,88.43609062500764
20,right,2026-01-03 14:16:54.240541,2026-01-03 14:16:54.246872,2026-01-03 14:16:54.697619,0.450748,hit,90.0,90.00633106549503,90.45707883295836
21,left,2026-01-03 14:16:56.240541,2026-01-03 14:16:56.249593,2026-01-03 14:16:56.647932,0.398340,hit,92.0,92.00905215390958,92.40739170799498
22,right,2026-01-03 14:17:03.240541,2026-01-03 14:17:03.244613,2026-01-03 14:17:03.873608,0.628995,hit,99.0,99.0040725627332,99.63306770799682
23,right,2026-01-03 14:17:07.240541,2026-01-03 14:17:07.244250,2026-01-03 14:17:07.700582,0.456332,hit,103.0,103.00370975094847,103.46004179195734
24,right,2026-01-03 14:17:12.240541,2026-01-03 14:17:12.248142,2026-01-03 14:17:12.674615,0.426474,hit,108.0,108.00760090671247,108.43407483299961
25,left,2026-01-03 14:17:14.240541,2026-01-03 14:17:14.250863,2026-01-03 14:17:14.715672,0.464809,hit,110.0,110.01032199518522,110.47513145796256
