trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,left,2025-12-17 14:04:13.386920,2025-12-17 14:04:13.393532,,,miss
2,left,2025-12-17 14:04:17.386920,2025-12-17 14:04:17.393169,,,miss
3,right,2025-12-17 14:04:24.386920,2025-12-17 14:04:24.390963,2025-12-17 14:04:25.180290,0.789327,hit
4,right,2025-12-17 14:04:26.386920,2025-12-17 14:04:26.395542,2025-12-17 14:04:27.154675,0.759133,hit
5,left,2025-12-17 14:04:31.386920,2025-12-17 14:04:31.393646,2025-12-17 14:04:32.503124,1.109478,hit
6,left,2025-12-17 14:04:33.386920,2025-12-17 14:04:33.390562,2025-12-17 14:04:34.042196,0.651634,hit
7,right,2025-12-17 14:04:37.386920,2025-12-17 14:04:37.397866,2025-12-17 14:04:37.929480,0.531614,hit
8,right,2025-12-17 14:04:42.386920,2025-12-17 14:04:42.390138,2025-12-17 14:04:42.846164,0.456026,hit
9,left,2025-12-17 14:04:44.386920,2025-12-17 14:04:44.392859,2025-12-17 14:04:45.004728,0.611869,hit
10,left,2025-12-17 14:04:49.386920,2025-12-17 14:04:49.396773,2025-12-17 14:04:50.029395,0.632622,hit
11,right,2025-12-17 14:04:54.386920,2025-12-17 14:04:54.394859,2025-12-17 14:04:55.019786,0.624927,hit
12,right,2025-12-17 14:04:56.386920,2025-12-17 14:04:56.391771,2025-12-17 14:04:56.985829,0.594059,hit
13,left,2025-12-17 14:05:03.386920,2025-12-17 14:05:03.392601,2025-12-17 14:05:04.172759,0.780159,hit
14,right,2025-12-17 14:05:10.386920,2025-12-17 14:05:10.393403,2025-12-17 14:05:10.909044,0.515641,hit
15,left,2025-12-17 14:05:14.386920,2025-12-17 14:05:14.394754,2025-12-17 14:05:14.938910,0.544156,hit
16,right,2025-12-17 14:05:18.386920,2025-12-17 14:05:18.389879,2025-12-17 14:05:18.866104,0.476225,hit
17,left,2025-12-17 14:05:23.386920,2025-12-17 14:05:23.393793,2025-12-17 14:05:23.888604,0.494811,hit
18,left,2025-12-17 14:05:30.386920,2025-12-17 14:05:30.394600,2025-12-17 14:05:30.890025,0.495425,hit
19,left,2025-12-17 14:05:34.386920,2025-12-17 14:05:34.394237,2025-12-17 14:05:34.865405,0.471168,hit
20,right,2025-12-17 14:05:36.386920,2025-12-17 14:05:36.396958,2025-12-17 14:05:36.917470,0.520511,hit
21,left,2025-12-17 14:05:38.386920,2025-12-17 14:05:38.399684,2025-12-17 14:05:38.964739,0.565055,hit
22,right,2025-12-17 14:05:45.386920,2025-12-17 14:05:45.394199,2025-12-17 14:05:45.887137,0.492938,hit
23,right,2025-12-17 14:05:49.386920,2025-12-17 14:05:49.394009,2025-12-17 14:05:49.887906,0.493898,hit
24,right,2025-12-17 14:05:54.386920,2025-12-17 14:05:54.397904,2025-12-17 14:05:54.979574,0.581669,hit
25,left,2025-12-17 14:05:56.386920,2025-12-17 14:05:56.394816,2025-12-17 14:05:56.896784,0.501968,hit
26,right,2025-12-17 14:06:01.386920,2025-12-17 14:06:01.392920,2025-12-17 14:06:01.848050,0.455130,hit
27,right,2025-12-17 14:06:03.386920,2025-12-17 14:06:03.389837,2025-12-17 14:06:03.843897,0.454061,hit
28,right,2025-12-17 14:06:07.386920,2025-12-17 14:06:07.395261,2025-12-17 14:06:07.893970,0.498710,hit
29,left,2025-12-17 14:06:12.386920,2025-12-17 14:06:12.393365,2025-12-17 14:06:12.938068,0.544703,hit
30,right,2025-12-17 14:06:19.386920,2025-12-17 14:06:19.394190,2025-12-17 14:06:20.098339,0.704149,hit
31,left,2025-12-17 14:06:26.386920,2025-12-17 14:06:26.394997,2025-12-17 14:06:26.894180,0.499183,hit
32,left,2025-12-17 14:06:30.386920,2025-12-17 14:06:30.394635,2025-12-17 14:06:30.862953,0.468318,hit
33,right,2025-12-17 14:06:35.386920,2025-12-17 14:06:35.392739,2025-12-17 14:06:35.892668,0.499930,hit
34,right,2025-12-17 14:06:42.386920,2025-12-17 14:06:42.393546,2025-12-17 14:06:42.928696,0.535150,hit
35,left,2025-12-17 14:06:47.386920,2025-12-17 14:06:47.391650,2025-12-17 14:06:47.896646,0.504996,hit
36,left,2025-12-17 14:06:54.386920,2025-12-17 14:06:54.398267,2025-12-17 14:06:54.892889,0.494621,hit
37,left,2025-12-17 14:06:58.386920,2025-12-17 14:06:58.397904,2025-12-17 14:06:58.875087,0.477183,hit
38,right,2025-12-17 14:07:00.386920,2025-12-17 14:07:00.394816,2025-12-17 14:07:00.912363,0.517547,hit
39,right,2025-12-17 14:07:04.386920,2025-12-17 14:07:04.394453,2025-12-17 14:07:04.872558,0.478105,hit
40,left,2025-12-17 14:07:06.386920,2025-12-17 14:07:06.397174,2025-12-17 14:07:06.864024,0.466850,hit
41,left,2025-12-17 14:07:13.386920,2025-12-17 14:07:13.392195,2025-12-17 14:07:13.919807,0.527612,hit
42,right,2025-12-17 14:07:15.386920,2025-12-17 14:07:15.394916,2025-12-17 14:07:16.064840,0.669924,hit
43,right,2025-12-17 14:07:20.386920,2025-12-20 12:55:20.223281,2025-12-17 14:07:20.901033,-254879.322248,hit
44,left,2025-12-17 14:07:22.386920,2025-12-20 12:55:20.226002,2025-12-17 14:07:22.979703,-254877.246299,hit
45,right,2025-12-17 14:07:29.386920,2025-12-20 12:55:20.224142,2025-12-17 14:07:29.851481,-254870.372662,hit
46,left,2025-12-17 14:07:33.386920,2025-12-20 12:55:20.223780,2025-12-17 14:07:33.878669,-254866.345110,hit
47,right,2025-12-17 14:07:37.386920,2025-12-20 12:55:20.223417,2025-12-17 14:07:37.869178,-254862.354239,hit
48,left,2025-12-17 14:07:42.386920,2025-12-20 12:55:20.224188,2025-12-17 14:07:42.894063,-254857.330125,hit
49,right,2025-12-17 14:07:47.386920,2025-12-20 12:55:20.225412,2025-12-17 14:07:47.894943,-254852.330469,hit
50,right,2025-12-17 14:07:51.386920,2025-12-20 12:55:20.225049,2025-12-17 14:07:51.945412,-254848.279638,hit
51,left,2025-12-17 14:07:58.386920,2025-12-20 12:55:20.222737,2025-12-17 14:07:58.897325,-254841.325412,hit
52,left,2025-12-17 14:08:00.386920,2025-12-20 12:55:20.225458,2025-12-17 14:08:00.983189,-254839.242268,hit
53,left,2025-12-17 14:08:05.386920,2025-12-20 12:55:20.226682,2025-12-17 14:08:05.873634,-254834.353048,hit
54,right,2025-12-17 14:08:12.386920,2025-12-20 12:55:20.224369,2025-12-17 14:08:12.927316,-254827.297054,hit
55,left,2025-12-17 14:08:16.386920,2025-12-20 12:55:20.224006,2025-12-17 14:08:16.891113,-254823.332894,hit
56,right,2025-12-17 14:08:18.386920,2025-12-20 12:55:20.226727,2025-12-17 14:08:18.859637,-254821.367091,hit
57,left,2025-12-17 14:08:23.386920,2025-12-20 12:55:20.222147,2025-12-17 14:08:23.892529,-254816.329618,hit
58,right,2025-12-17 14:08:30.386920,2025-12-20 12:55:20.225639,2025-12-17 14:08:30.880435,-254809.345204,hit
59,left,2025-12-17 14:08:37.386920,2025-12-20 12:55:20.223780,2025-12-17 14:08:37.915193,-254802.308587,hit
60,left,2025-12-17 14:08:41.386920,2025-12-20 12:55:20.223417,2025-12-17 14:08:41.967655,-254798.255762,hit
61,left,2025-12-17 14:08:43.386920,2025-12-20 12:55:20.226138,2025-12-17 14:08:43.881925,-254796.344213,hit
62,right,2025-12-17 14:08:45.386920,2025-12-20 12:55:20.223054,2025-12-17 14:08:45.888008,-254794.335046,hit
63,right,2025-12-17 14:08:49.386920,2025-12-20 12:55:20.222691,2025-12-17 14:08:49.891054,-254790.331637,hit
64,right,2025-12-17 14:08:54.386920,2025-12-20 12:55:20.223462,2025-12-17 14:08:54.939331,-254785.284131,hit
65,right,2025-12-17 14:08:56.386920,2025-12-20 12:55:20.226183,2025-12-17 14:08:56.896784,-254783.329399,hit
66,left,2025-12-17 14:09:03.386920,2025-12-20 12:55:20.224324,2025-12-17 14:09:03.972377,-254776.251947,hit
67,left,2025-12-17 14:09:08.386920,2025-12-20 12:55:20.225095,2025-12-17 14:09:08.856641,-254771.368453,hit
68,right,2025-12-17 14:09:15.386920,2025-12-20 12:55:20.223235,2025-12-17 14:09:15.862645,-254764.360590,hit
69,right,2025-12-17 14:09:19.386920,2025-12-20 12:55:20.222872,2025-12-17 14:09:19.858497,-254760.364375,hit
70,left,2025-12-17 14:09:23.386920,2025-12-20 12:55:20.222510,2025-12-17 14:09:23.835402,-254756.387108,hit
71,right,2025-12-17 14:09:28.386920,2025-12-20 12:55:20.223281,2025-12-17 14:09:28.861844,-254751.361436,hit
72,left,2025-12-17 14:09:30.386920,2025-12-20 12:55:20.226002,2025-12-17 14:09:30.882235,-254749.343766,hit
73,left,2025-12-17 14:09:34.386920,2025-12-20 12:55:20.225639,2025-12-17 14:09:34.823570,-254745.402069,hit
74,left,2025-12-17 14:09:39.386920,2025-12-20 12:55:20.226863,2025-12-17 14:09:39.862117,-254740.364747,hit
75,right,2025-12-17 14:09:46.386920,2025-12-20 12:55:20.224550,2025-12-17 14:09:46.810072,-254733.414478,hit
76,left,2025-12-17 14:09:48.386920,2025-12-20 12:55:20.227272,2025-12-17 14:09:48.969372,-254731.257900,hit
77,left,2025-12-17 14:09:55.386920,2025-12-20 12:55:20.225412,2025-12-17 14:09:55.864948,-254724.360464,hit
78,right,2025-12-17 14:09:57.386920,2025-12-20 12:55:20.224845,2025-12-17 14:09:57.865829,-254722.359016,hit
79,right,2025-12-17 14:10:02.386920,2025-12-20 12:55:20.226070,2025-12-17 14:10:02.966784,-254717.259286,hit
80,right,2025-12-17 14:10:06.386920,2025-12-20 12:55:20.225707,2025-12-17 14:10:06.824542,-254713.401165,hit
81,right,2025-12-17 14:10:08.386920,2025-12-20 12:55:20.222623,2025-12-17 14:10:08.861445,-254711.361178,hit
82,left,2025-12-17 14:10:13.386920,2025-12-20 12:55:20.223394,2025-12-17 14:10:13.917443,-254706.305951,hit
83,right,2025-12-17 14:10:18.386920,2025-12-20 12:55:20.224619,2025-12-17 14:10:18.908169,-254701.316450,hit
84,left,2025-12-17 14:10:25.386920,2025-12-20 12:55:20.222306,2025-12-17 14:10:25.952575,-254694.269730,hit
85,left,2025-12-17 14:10:29.386920,2025-12-20 12:55:20.222419,2025-12-17 14:10:29.970955,-254690.251464,hit
86,right,2025-12-17 14:10:33.386920,2025-12-20 12:55:20.222056,2025-12-17 14:10:33.950419,-254686.271637,hit
87,left,2025-12-17 14:10:35.386920,2025-12-20 12:55:20.224301,2025-12-17 14:10:35.991765,-254684.232536,hit
88,right,2025-12-17 14:10:42.386920,2025-12-20 12:55:20.222442,2025-12-17 14:10:42.916013,-254677.306429,hit
89,right,2025-12-17 14:10:46.386920,2025-12-20 12:55:20.222079,2025-12-17 14:10:46.911907,-254673.310172,hit
90,left,2025-12-17 14:10:48.386920,2025-12-20 12:55:20.224800,2025-12-17 14:10:48.971241,-254671.253559,hit
91,left,2025-12-17 14:10:52.386920,2025-12-20 12:55:20.224437,2025-12-17 14:10:52.973903,-254667.250535,hit
92,right,2025-12-17 14:10:57.386920,2025-12-20 12:55:20.225208,2025-12-17 14:10:57.974188,-254662.251020,hit
93,right,2025-12-17 14:10:59.386920,2025-12-20 12:55:20.222124,2025-12-17 14:10:59.910675,-254660.311449,hit
94,right,2025-12-17 14:11:06.386920,2025-12-20 12:55:20.225140,2025-12-17 14:11:06.948614,-254653.276527,hit
95,left,2025-12-17 14:11:13.386920,2025-12-20 12:55:20.222805,2025-12-17 14:11:13.970599,-254646.252206,hit
96,left,2025-12-17 14:11:18.386920,2025-12-20 12:55:20.224052,2025-12-17 14:11:18.879882,-254641.344169,hit
97,left,2025-12-17 14:11:25.386920,2025-12-20 12:55:20.222192,2025-12-17 14:11:25.916174,-254634.306018,hit
98,left,2025-12-17 14:11:29.386920,2025-12-20 12:55:20.227158,2025-12-17 14:11:29.944819,-254630.282339,hit
99,left,2025-12-17 14:11:31.386920,2025-12-20 12:55:20.224074,2025-12-17 14:11:31.959442,-254628.264633,hit
100,right,2025-12-17 14:11:36.386920,2025-12-20 12:55:20.225322,2025-12-17 14:11:36.960122,-254623.265200,hit
101,right,2025-12-17 14:11:43.386920,2025-12-20 12:55:20.222986,2025-12-17 14:11:43.923195,-254616.299791,hit
102,right,2025-12-17 14:11:47.386920,2025-12-20 12:55:20.222147,2025-12-17 14:11:47.932838,-254612.289309,hit
103,right,2025-12-17 14:11:49.386920,2025-12-20 12:55:20.224868,2025-12-17 14:11:49.951370,-254610.273498,hit
104,left,2025-12-17 14:11:54.386920,2025-12-20 12:55:20.225639,2025-12-17 14:11:54.844047,-254605.381592,hit
105,right,2025-12-17 14:11:56.386920,2025-12-20 12:55:20.222555,2025-12-17 14:11:56.919699,-254603.302856,hit
106,left,2025-12-17 14:12:01.386920,2025-12-20 12:55:20.223780,2025-12-17 14:12:01.894472,-254598.329307,hit
107,right,2025-12-17 14:12:08.386920,2025-12-20 12:55:20.227272,2025-12-17 14:12:08.849221,-254591.378050,hit
108,left,2025-12-17 14:12:12.386920,2025-12-20 12:55:20.226909,2025-12-17 14:12:12.899705,-254587.327204,hit
109,left,2025-12-17 14:12:19.386920,2025-12-20 12:55:20.225049,2025-12-17 14:12:19.904525,-254580.320525,hit
110,right,2025-12-17 14:12:23.386920,2025-12-20 12:55:20.224687,2025-12-17 14:12:23.887541,-254576.337146,hit
111,left,2025-12-17 14:12:25.386920,2025-12-20 12:55:20.222079,2025-12-17 14:12:25.945952,-254574.276127,hit
112,right,2025-12-17 14:12:30.386920,2025-12-20 12:55:20.222374,2025-12-17 14:12:30.905394,-254569.316980,hit
113,left,2025-12-17 14:12:32.386920,2025-12-20 12:55:20.225095,2025-12-17 14:12:33.039195,-254567.185900,hit
114,left,2025-12-17 14:12:36.386920,2025-12-20 12:55:20.224732,2025-12-17 14:12:36.975696,-254563.249036,hit
115,right,2025-12-17 14:12:38.386920,2025-12-20 12:55:20.222124,2025-12-17 14:12:38.901756,-254561.320368,hit
116,left,2025-12-17 14:12:45.386920,2025-12-20 12:55:20.225594,2025-12-17 14:12:45.984752,-254554.240841,hit
117,right,2025-12-17 14:12:49.386920,2025-12-20 12:55:20.225231,2025-12-17 14:12:49.972103,-254550.253128,hit
118,left,2025-12-17 14:12:54.386920,2025-12-20 12:55:20.226002,2025-12-17 14:12:54.933904,-254545.292098,hit
119,right,2025-12-17 14:12:59.386920,2025-12-20 12:55:20.227226,2025-12-17 14:12:59.880333,-254540.346893,hit
