trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,none,,2025-12-31 19:45:47.667973,,,false_positive,,,
1,none,,2025-12-31 19:45:48.468685,,,false_positive,,,
1,none,,2025-12-31 19:45:50.019107,,,false_positive,,,
1,none,,2025-12-31 19:45:50.943613,,,false_positive,,,
1,none,,2025-12-31 19:45:51.190345,,,false_positive,,,
1,none,,2025-12-31 19:45:52.109271,,,false_positive,,,
1,left,2025-12-31 19:45:54.063083,2025-12-31 19:45:54.069695,2025-12-31 19:45:54.568755,0.499059,hit,7.0,7.006612245284487,7.50567162502557
2,left,2025-12-31 19:45:58.063083,2025-12-31 19:45:58.069333,2025-12-31 19:45:58.538976,0.469644,hit,11.0,11.006249433499761,11.475893082970288
3,right,2025-12-31 19:46:05.063083,2025-12-31 19:46:05.070140,2025-12-31 19:46:05.549961,0.479821,hit,18.0,18.007056690054014,18.486878000025172
4,right,2025-12-31 19:46:07.063083,2025-12-31 19:46:07.072861,2025-12-31 19:46:07.577558,0.504697,hit,20.0,20.00977777846856,20.51447516697226
5,left,2025-12-31 19:46:12.063083,2025-12-31 19:46:12.070965,2025-12-31 19:46:12.525258,0.454293,hit,25.0,25.00788208656013,25.462174625019543
6,left,2025-12-31 19:46:14.063083,2025-12-31 19:46:14.067881,2025-12-31 19:46:14.472527,0.404646,hit,27.0,27.00479818630265,27.409443958022166
7,right,2025-12-31 19:46:18.063083,2025-12-31 19:46:18.067518,2025-12-31 19:46:18.477431,0.409913,hit,31.0,31.004435374517925,31.414347957994323
8,right,2025-12-31 19:46:23.063083,2025-12-31 19:46:23.071410,2025-12-31 19:46:23.492802,0.421393,hit,36.0,36.00832653132966,36.429719207983
9,left,2025-12-31 19:46:25.063083,2025-12-31 19:46:25.074135,2025-12-31 19:46:25.467736,0.393601,hit,38.0,38.01105215452844,38.40465308300918
10,left,2025-12-31 19:46:30.063083,2025-12-31 19:46:30.066430,2025-12-31 19:46:30.518179,0.451749,hit,43.0,43.00334693916375,43.455096125020646
11,right,2025-12-31 19:46:35.063083,2025-12-31 19:46:35.070321,2025-12-31 19:46:35.496432,0.426110,hit,48.0,48.00723809591727,48.43334833299741
12,right,2025-12-31 19:46:37.063083,2025-12-31 19:46:37.073042,2025-12-31 19:46:37.507926,0.434884,hit,50.0,50.00995918439003,50.44484337500762
13,left,2025-12-31 19:46:44.063083,2025-12-31 19:46:44.068063,2025-12-31 19:46:44.538616,0.470554,hit,57.0,57.00497959222412,57.47553316701669
14,right,2025-12-31 19:46:51.063083,2025-12-31 19:46:51.069417,2025-12-31 19:46:51.511418,0.442001,hit,64.0,64.0063333340222,64.44833470799495
15,left,2025-12-31 19:46:55.063083,2025-12-31 19:46:55.074841,2025-12-31 19:46:55.449612,0.374771,hit,68.0,68.01175736996811,68.38652850000653
16,right,2025-12-31 19:46:59.063083,2025-12-31 19:46:59.068686,2025-12-31 19:46:59.454936,0.386249,hit,72.0,72.00560317467898,72.39185245800763
17,left,2025-12-31 19:47:04.063083,2025-12-31 19:47:04.066772,2025-12-31 19:47:04.451873,0.385100,hit,77.0,77.00368934276048,77.38878962502349
18,left,2025-12-31 19:47:11.063083,2025-12-31 19:47:11.067598,2025-12-31 19:47:11.483721,0.416123,hit,84.0,84.0045147392666,84.42063733300893
19,left,2025-12-31 19:47:15.063083,2025-12-31 19:47:15.073045,2025-12-31 19:47:15.471867,0.398823,hit,88.0,88.00996145192767,88.40878395800246
20,right,2025-12-31 19:47:17.063083,2025-12-31 19:47:17.069961,2025-12-31 19:47:17.513504,0.443543,hit,90.0,90.0068775517284,90.45042050001211
