trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,none,,2025-12-17 14:49:59.752347,,,false_positive
1,left,2025-12-17 14:50:03.642908,2025-12-17 14:50:03.649520,2025-12-17 14:50:04.338902,0.689381,hit
2,left,2025-12-17 14:50:07.642908,2025-12-17 14:50:07.649158,2025-12-17 14:50:08.112723,0.463566,hit
3,right,2025-12-17 14:50:14.642908,2025-12-17 14:50:14.649965,2025-12-17 14:50:15.115099,0.465134,hit
4,right,2025-12-17 14:50:16.642908,2025-12-17 14:50:16.652686,2025-12-17 14:50:17.193882,0.541196,hit
5,left,2025-12-17 14:50:21.642908,2025-12-17 14:50:21.648051,2025-12-17 14:50:22.218399,0.570348,hit
6,left,2025-12-17 14:50:23.642908,2025-12-17 14:50:23.650754,2025-12-17 14:50:24.140182,0.489429,hit
7,right,2025-12-17 14:50:27.642908,2025-12-17 14:50:27.650391,2025-12-17 14:50:28.152854,0.502463,hit
8,right,2025-12-17 14:50:32.642908,2025-12-17 14:50:32.648495,2025-12-17 14:50:33.136330,0.487835,hit
9,left,2025-12-17 14:50:34.642908,2025-12-17 14:50:34.651217,2025-12-17 14:50:35.147673,0.496456,hit
10,left,2025-12-17 14:50:39.642908,2025-12-17 14:50:39.655112,2025-12-17 14:50:40.175405,0.520292,hit
11,right,2025-12-17 14:50:44.642908,2025-12-17 14:50:44.647407,2025-12-17 14:50:45.148965,0.501558,hit
12,right,2025-12-17 14:50:46.642908,2025-12-17 14:50:46.650128,2025-12-17 14:50:47.172501,0.522373,hit
13,left,2025-12-17 14:50:53.642908,2025-12-17 14:50:53.645148,2025-12-17 14:50:54.198669,0.553520,hit
14,right,2025-12-17 14:51:00.642908,2025-12-17 14:51:00.651761,2025-12-17 14:51:01.133082,0.481321,hit
15,left,2025-12-17 14:51:04.642908,2025-12-17 14:51:04.651398,2025-12-17 14:51:05.140889,0.489491,hit
16,right,2025-12-17 14:51:08.642908,2025-12-17 14:51:08.651035,2025-12-17 14:51:09.132144,0.481109,hit
17,left,2025-12-17 14:51:13.642908,2025-12-17 14:51:13.654931,2025-12-17 14:51:14.102228,0.447298,hit
18,left,2025-12-17 14:51:20.642908,2025-12-17 14:51:20.649946,2025-12-17 14:51:21.137051,0.487104,hit
19,left,2025-12-17 14:51:24.642908,2025-12-17 14:51:24.649584,2025-12-17 14:51:25.130169,0.480586,hit
20,right,2025-12-17 14:51:26.642908,2025-12-17 14:51:26.652309,2025-12-17 14:51:27.200132,0.547823,hit
21,left,2025-12-17 14:51:28.642908,2025-12-17 14:51:28.649221,2025-12-17 14:51:29.159839,0.510618,hit
22,right,2025-12-17 14:51:35.642908,2025-12-17 14:51:35.644241,2025-12-17 14:51:36.106213,0.461971,hit
23,right,2025-12-17 14:51:39.642908,2025-12-17 14:51:39.649665,2025-12-17 14:51:40.172572,0.522907,hit
24,right,2025-12-17 14:51:44.642908,2025-12-17 14:51:44.647770,2025-12-17 14:51:45.105413,0.457643,hit
25,left,2025-12-17 14:51:46.642908,2025-12-17 14:51:46.650491,2025-12-17 14:51:47.167152,0.516662,hit
26,right,2025-12-17 14:51:51.642908,2025-12-17 14:51:51.651452,2025-12-17 14:51:52.157844,0.506392,hit
27,right,2025-12-17 14:51:53.642908,2025-12-17 14:51:53.648368,2025-12-17 14:51:54.133502,0.485134,hit
28,right,2025-12-17 14:51:57.642908,2025-12-17 14:51:57.648005,2025-12-17 14:51:58.123230,0.475225,hit
29,left,2025-12-17 14:52:02.642908,2025-12-17 14:52:02.646087,2025-12-17 14:52:03.122692,0.476605,hit
30,right,2025-12-17 14:52:09.642908,2025-12-17 14:52:09.652722,2025-12-17 14:52:10.117930,0.465208,hit
31,left,2025-12-17 14:52:16.642908,2025-12-17 14:52:16.647720,2025-12-17 14:52:17.081542,0.433822,hit
32,left,2025-12-17 14:52:20.642908,2025-12-17 14:52:20.647357,2025-12-17 14:52:21.069234,0.421877,hit
33,right,2025-12-17 14:52:25.642908,2025-12-17 14:52:25.651271,2025-12-17 14:52:26.093594,0.442323,hit
34,right,2025-12-17 14:52:32.642908,2025-12-17 14:52:32.646269,2025-12-17 14:52:33.082388,0.436120,hit
35,left,2025-12-17 14:52:37.642908,2025-12-17 14:52:37.650182,2025-12-17 14:52:38.112829,0.462647,hit
36,left,2025-12-17 14:52:44.642908,2025-12-17 14:52:44.645180,2025-12-17 14:52:45.075521,0.430341,hit
37,left,2025-12-17 14:52:48.642908,2025-12-17 14:52:48.650627,2025-12-17 14:52:49.084408,0.433781,hit
38,right,2025-12-17 14:52:50.642908,2025-12-17 14:52:50.653348,2025-12-17 14:52:51.197149,0.543801,hit
39,right,2025-12-17 14:52:54.642908,2025-12-17 14:52:54.647176,2025-12-17 14:52:55.076735,0.429560,hit
40,left,2025-12-17 14:52:56.642908,2025-12-17 14:52:56.654839,2025-12-17 14:52:57.087620,0.432781,hit
41,left,2025-12-17 14:53:03.642908,2025-12-17 14:53:03.649855,2025-12-17 14:53:04.044091,0.394237,hit
42,right,2025-12-17 14:53:05.642908,2025-12-17 14:53:05.646771,2025-12-17 14:53:06.165876,0.519105,hit
43,right,2025-12-17 14:53:10.642908,2025-12-17 14:53:10.650662,2025-12-17 14:53:11.147587,0.496925,hit
44,left,2025-12-17 14:53:12.642908,2025-12-17 14:53:12.653383,2025-12-17 14:53:13.176335,0.522952,hit
45,right,2025-12-17 14:53:19.642908,2025-12-17 14:53:19.648403,2025-12-17 14:53:20.088552,0.440149,hit
46,left,2025-12-17 14:53:23.642908,2025-12-17 14:53:23.648041,2025-12-17 14:53:24.124043,0.476003,hit
47,right,2025-12-17 14:53:27.642908,2025-12-17 14:53:27.647678,2025-12-17 14:53:28.101923,0.454245,hit
48,left,2025-12-17 14:53:32.642908,2025-12-17 14:53:32.651569,2025-12-17 14:53:33.111646,0.460077,hit
49,right,2025-12-17 14:53:37.642908,2025-12-17 14:53:37.649673,2025-12-17 14:53:38.084877,0.435203,hit
