trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,left,2026-01-03 15:13:35.144702,2026-01-03 15:13:35.151315,2026-01-03 15:13:35.744425,0.593110,hit,7.0,7.006612244236749,7.5997225000173785
2,left,2026-01-03 15:13:39.144702,2026-01-03 15:13:39.150952,2026-01-03 15:13:39.650420,0.499468,hit,11.0,11.006249432452023,11.505717749998439
3,right,2026-01-03 15:13:46.144702,2026-01-03 15:13:46.151759,2026-01-03 15:13:46.681406,0.529647,hit,18.0,18.007056689006276,18.536704124999233
4,right,2026-01-03 15:13:48.144702,2026-01-03 15:13:48.154480,2026-01-03 15:13:48.671412,0.516932,hit,20.0,20.009777777420823,20.52670979098184
5,left,2026-01-03 15:13:53.144702,2026-01-03 15:13:53.152585,2026-01-03 15:13:53.613780,0.461196,hit,25.0,25.007882085512392,25.469077790970914
6,left,2026-01-03 15:13:55.144702,2026-01-03 15:13:55.155310,2026-01-03 15:13:55.664671,0.509361,hit,27.0,27.010607709700707,27.519968750013504
7,right,2026-01-03 15:13:59.144702,2026-01-03 15:13:59.149138,2026-01-03 15:13:59.588226,0.439088,hit,31.0,31.004435373470187,31.443523666006513
8,right,2026-01-03 15:14:04.144702,2026-01-03 15:14:04.153029,2026-01-03 15:14:04.630770,0.477741,hit,36.0,36.00832653028192,36.4860672079958
9,left,2026-01-03 15:14:06.144702,2026-01-03 15:14:06.155755,2026-01-03 15:14:06.680729,0.524974,hit,38.0,38.011052153480705,38.53602612501709
10,left,2026-01-03 15:14:11.144702,2026-01-03 15:14:11.153859,2026-01-03 15:14:11.608047,0.454189,hit,43.0,43.009156462561805,43.463345125026535
11,right,2026-01-03 15:14:16.144702,2026-01-03 15:14:16.151941,2026-01-03 15:14:16.596463,0.444523,hit,48.0,48.007238094869535,48.45176074997289
12,right,2026-01-03 15:14:18.144702,2026-01-03 15:14:18.154662,2026-01-03 15:14:18.614019,0.459358,hit,50.0,50.00995918334229,50.46931675000815
13,left,2026-01-03 15:14:25.144702,2026-01-03 15:14:25.155492,2026-01-03 15:14:25.604377,0.448886,hit,57.0,57.010789115622174,57.459674625017215
14,right,2026-01-03 15:14:32.144702,2026-01-03 15:14:32.153452,2026-01-03 15:14:32.611148,0.457695,hit,64.0,64.00874999997905,64.46644512499915
15,left,2026-01-03 15:14:36.144702,2026-01-03 15:14:36.153085,2026-01-03 15:14:36.593042,0.439957,hit,68.0,68.00838265242055,68.4483394579729
16,right,2026-01-03 15:14:40.144702,2026-01-03 15:14:40.152722,2026-01-03 15:14:40.607089,0.454366,hit,72.0,72.00801984063582,72.46238599997014
17,left,2026-01-03 15:14:45.144702,2026-01-03 15:14:45.150809,2026-01-03 15:14:45.610840,0.460032,hit,77.0,77.00610600871732,77.466137624986
18,left,2026-01-03 15:14:52.144702,2026-01-03 15:14:52.151634,2026-01-03 15:14:52.608923,0.457289,hit,84.0,84.00693140522344,84.46422033297131
19,left,2026-01-03 15:14:56.144702,2026-01-03 15:14:56.151271,2026-01-03 15:14:56.635910,0.484639,hit,88.0,88.00656859343871,88.49120749998838
20,right,2026-01-03 15:14:58.144702,2026-01-03 15:14:58.148187,2026-01-03 15:14:58.790111,0.641924,hit,90.0,90.00348469323944,90.64540891599609
21,left,2026-01-03 15:15:00.144702,2026-01-03 15:15:00.150908,2026-01-03 15:15:00.610988,0.460080,hit,92.0,92.00620578165399,92.46628587500891
22,right,2026-01-03 15:15:07.144702,2026-01-03 15:15:07.151716,2026-01-03 15:15:07.624552,0.472836,hit,99.0,99.00701303820824,99.47984949999955
23,right,2026-01-03 15:15:11.144702,2026-01-03 15:15:11.151353,2026-01-03 15:15:11.635207,0.483854,hit,103.0,103.00665022642352,103.4905044999905
24,right,2026-01-03 15:15:16.144702,2026-01-03 15:15:16.149457,2026-01-03 15:15:16.633142,0.483685,hit,108.0,108.00475453445688,108.48843924998073
25,left,2026-01-03 15:15:18.144702,2026-01-03 15:15:18.152178,2026-01-03 15:15:18.691968,0.539790,hit,110.0,110.00747562292963,110.54726566601312
26,right,2026-01-03 15:15:23.144702,2026-01-03 15:15:23.156069,2026-01-03 15:15:23.637655,0.481585,hit,115.0,115.01136677968316,115.49295212497236
27,right,2026-01-03 15:15:25.144702,2026-01-03 15:15:25.152985,2026-01-03 15:15:25.657232,0.504247,hit,117.0,117.00828287948389,117.51252970797941
28,right,2026-01-03 15:15:29.144702,2026-01-03 15:15:29.152622,2026-01-03 15:15:29.594304,0.441681,hit,121.0,121.00792006769916,121.44960145797813
29,left,2026-01-03 15:15:34.144702,2026-01-03 15:15:34.150727,2026-01-03 15:15:34.588469,0.437742,hit,126.0,126.00602437573252,126.443766625016
30,right,2026-01-03 15:15:41.144702,2026-01-03 15:15:41.151534,2026-01-03 15:15:41.623708,0.472174,hit,133.0,133.00683163228678,133.47900549997576
31,left,2026-01-03 15:15:48.144702,2026-01-03 15:15:48.152359,2026-01-03 15:15:48.692788,0.540428,hit,140.0,140.0076570287929,140.5480854579946
32,left,2026-01-03 15:15:52.144702,2026-01-03 15:15:52.151997,2026-01-03 15:15:52.601240,0.449244,hit,144.0,144.00729421700817,144.4565379159758
33,right,2026-01-03 15:15:57.144702,2026-01-03 15:15:57.155888,2026-01-03 15:15:57.637704,0.481816,hit,149.0,149.0111853738199,149.49300154100638
34,right,2026-01-03 15:16:04.144702,2026-01-03 15:16:04.150908,2026-01-03 15:16:04.671802,0.520894,hit,156.0,156.006205781654,156.52709987497656
35,left,2026-01-03 15:16:09.144702,2026-01-03 15:16:09.154799,2026-01-03 15:16:09.631335,0.476535,hit,161.0,161.01009693840751,161.48663229099475
36,left,2026-01-03 15:16:16.144702,2026-01-03 15:16:16.149820,2026-01-03 15:16:16.635765,0.485945,hit,168.0,168.0051173462998,168.49106279097032
37,left,2026-01-03 15:16:20.144702,2026-01-03 15:16:20.149457,2026-01-03 15:16:20.640355,0.490898,hit,172.0,172.00475453445688,172.4956523749861
38,right,2026-01-03 15:16:22.144702,2026-01-03 15:16:22.152178,2026-01-03 15:16:22.665078,0.512900,hit,174.0,174.00747562292963,174.5203758329735
39,right,2026-01-03 15:16:26.144702,2026-01-03 15:16:26.151815,2026-01-03 15:16:26.600337,0.448522,hit,178.0,178.0071128111449,178.45563458302058
40,left,2026-01-03 15:16:28.144702,2026-01-03 15:16:28.148731,2026-01-03 15:16:28.599710,0.450979,hit,180.0,180.00402891088743,180.45500770799117
41,left,2026-01-03 15:16:35.144702,2026-01-08 10:44:48.994510,2026-01-03 15:16:35.670662,-415693.323848,hit,187.0,415880.8498076488,187.52595924999332
42,right,2026-01-03 15:16:37.144702,2026-01-08 10:44:48.991426,2026-01-03 15:16:37.688168,-415691.303258,hit,189.0,415880.8467237486,189.54346566600725
43,right,2026-01-03 15:16:42.144702,2026-01-08 10:44:48.992651,2026-01-03 15:16:42.661764,-415686.330887,hit,194.0,415880.84794823837,194.51706120802555
44,left,2026-01-03 15:16:44.144702,2026-01-08 10:44:48.990043,2026-01-03 15:16:44.601689,-415684.388354,hit,196.0,415880.84534052864,196.45698695798637
45,right,2026-01-03 15:16:51.144702,2026-01-08 10:44:48.993059,2026-01-03 15:16:51.700821,-415677.292238,hit,203.0,415880.84835640166,203.55611862498336
46,left,2026-01-03 15:16:55.144702,2026-01-08 10:44:48.992696,2026-01-03 15:16:55.654897,-415673.337799,hit,207.0,415880.8479935898,207.51019458298106
47,right,2026-01-03 15:16:59.144702,2026-01-08 10:44:48.992333,2026-01-03 15:16:59.567034,-415669.425300,hit,211.0,415880.847630778,211.42233108298387
48,left,2026-01-03 15:17:04.144702,2026-01-08 10:44:48.993558,2026-01-03 15:17:04.603858,-415664.389700,hit,216.0,415880.84885526786,216.45915504102595
49,right,2026-01-03 15:17:09.144702,2026-01-08 10:44:48.994329,2026-01-03 15:17:09.604694,-415659.389634,hit,221.0,415880.8496262429,221.45999195799232
50,right,2026-01-03 15:17:13.144702,2026-01-08 10:44:48.993966,2026-01-03 15:17:13.612055,-415655.381911,hit,225.0,415880.84926343104,225.46735254098894
51,left,2026-01-03 15:17:20.144702,2026-01-08 10:44:48.992106,2026-01-03 15:17:20.695887,-415648.296220,hit,232.0,415880.8474040207,232.5511841250118
52,left,2026-01-03 15:17:22.144702,2026-01-08 10:44:48.994828,2026-01-03 15:17:22.687212,-415646.307615,hit,234.0,415880.8501251091,234.54250987502746
53,left,2026-01-03 15:17:27.144702,2026-01-08 10:44:48.989794,2026-01-03 15:17:27.626872,-415641.362922,hit,239.0,415880.84509109554,239.4821693749982
54,right,2026-01-03 15:17:34.144702,2026-01-08 10:44:48.993739,2026-01-03 15:17:34.621507,-415634.372232,hit,246.0,415880.8490366738,246.47680462501012
55,left,2026-01-03 15:17:38.144702,2026-01-08 10:44:48.993376,2026-01-03 15:17:38.617377,-415630.376000,hit,250.0,415880.84867386194,250.47267408302287
56,right,2026-01-03 15:17:40.144702,2026-01-08 10:44:48.990292,2026-01-03 15:17:40.656490,-415628.333802,hit,252.0,415880.84558996174,252.51178749999963
57,left,2026-01-03 15:17:45.144702,2026-01-08 10:44:48.991063,2026-01-03 15:17:45.585927,-415623.405136,hit,257.0,415880.84636093676,257.4412245830172
58,right,2026-01-03 15:17:52.144702,2026-01-08 10:44:48.989680,2026-01-03 15:17:52.619837,-415616.369844,hit,264.0,415880.8449777168,264.4751340409857
59,left,2026-01-03 15:17:59.144702,2026-01-08 10:44:48.992696,2026-01-03 15:17:59.618702,-415609.373994,hit,271.0,415880.8479935898,271.47399954102
60,left,2026-01-03 15:18:03.144702,2026-01-08 10:44:48.992333,2026-01-03 15:18:03.599668,-415605.392665,hit,275.0,415880.847630778,275.4549656659947
61,left,2026-01-03 15:18:05.144702,2026-01-08 10:44:48.989726,2026-01-03 15:18:05.660522,-415603.329204,hit,277.0,415880.84502306825,277.5158190410002
62,right,2026-01-03 15:18:07.144702,2026-01-08 10:44:48.991971,2026-01-03 15:18:07.644165,-415601.347806,hit,279.0,415880.84726796625,279.49946233298397
63,right,2026-01-03 15:18:11.144702,2026-01-08 10:44:48.991608,2026-01-03 15:18:11.595787,-415597.395821,hit,283.0,415880.8469051544,283.45108425000217
64,right,2026-01-03 15:18:16.144702,2026-01-08 10:44:48.992832,2026-01-03 15:18:16.597688,-415592.395144,hit,288.0,415880.8481296443,288.4529854580178
65,right,2026-01-03 15:18:18.144702,2026-01-08 10:44:48.989748,2026-01-03 15:18:18.636779,-415590.352969,hit,290.0,415880.845045744,290.49207641597604
66,left,2026-01-03 15:18:25.144702,2026-01-08 10:44:48.992764,2026-01-03 15:18:25.614510,-415583.378254,hit,297.0,415880.848061617,297.4698075830238
67,left,2026-01-03 15:18:30.144702,2026-01-08 10:44:48.993059,2026-01-03 15:18:30.576066,-415578.416992,hit,302.0,415880.84835640166,302.43136408302234
68,right,2026-01-03 15:18:37.144702,2026-01-08 10:44:48.990746,2026-01-03 15:18:37.616890,-415571.373856,hit,309.0,415880.8460434765,309.47218724997947
69,right,2026-01-03 15:18:41.144702,2026-01-08 10:44:48.990383,2026-01-03 15:18:41.652219,-415567.338164,hit,313.0,415880.84568066464,313.50751641602255
70,left,2026-01-03 15:18:45.144702,2026-01-08 10:44:48.990020,2026-01-03 15:18:45.620186,-415563.369834,hit,317.0,415880.8453178529,317.4754836659995
71,right,2026-01-03 15:18:50.144702,2026-01-08 10:44:48.991245,2026-01-03 15:18:50.594373,-415558.396872,hit,322.0,415880.8465423427,322.4496705830097
