trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,left,2025-12-17 11:56:38.719517,2025-12-17 11:56:38.726129,2025-12-17 11:56:39.372774,0.646645,hit
2,left,2025-12-17 11:56:42.719517,2025-12-17 11:56:42.725766,2025-12-17 11:56:43.267114,0.541348,hit
3,right,2025-12-17 11:56:49.719517,2025-12-17 11:56:49.726573,2025-12-17 11:56:50.233567,0.506994,hit
4,right,2025-12-17 11:56:51.719517,2025-12-17 11:56:51.729295,2025-12-17 11:56:52.301264,0.571969,hit
5,left,2025-12-17 11:56:56.719517,2025-12-17 11:56:56.727399,2025-12-17 11:56:57.299537,0.572138,hit
6,left,2025-12-17 11:56:58.719517,2025-12-17 11:56:58.724315,2025-12-17 11:56:59.256682,0.532367,hit
7,right,2025-12-17 11:57:02.719517,2025-12-17 11:57:02.723952,2025-12-17 11:57:03.224098,0.500146,hit
8,right,2025-12-17 11:57:07.719517,2025-12-17 11:57:07.727843,2025-12-17 11:57:08.416033,0.688190,hit
9,left,2025-12-17 11:57:09.719517,2025-12-17 11:57:09.730569,2025-12-17 11:57:10.265605,0.535037,hit
10,left,2025-12-17 11:57:14.719517,2025-12-17 11:57:14.722864,2025-12-17 11:57:15.374804,0.651941,hit
11,right,2025-12-17 11:57:19.719517,2025-12-17 11:57:19.726755,2025-12-17 11:57:20.211408,0.484654,hit
12,right,2025-12-17 11:57:21.719517,2025-12-17 11:57:21.729476,2025-12-17 11:57:22.234098,0.504622,hit
13,left,2025-12-17 11:57:28.719517,2025-12-17 11:57:28.724496,2025-12-17 11:57:29.267680,0.543184,hit
14,right,2025-12-17 11:57:35.719517,2025-12-17 11:57:35.726933,2025-12-17 11:57:36.407184,0.680251,hit
15,left,2025-12-17 11:57:39.719517,2025-12-17 11:57:39.726566,2025-12-17 11:57:40.244750,0.518184,hit
16,right,2025-12-17 11:57:43.719517,2025-12-17 11:57:43.726203,2025-12-17 11:57:44.246932,0.520729,hit
17,left,2025-12-17 11:57:48.719517,2025-12-17 11:57:48.724289,2025-12-17 11:57:49.374986,0.650697,hit
18,left,2025-12-17 11:57:55.719517,2025-12-17 11:57:55.725115,2025-12-17 11:57:56.257191,0.532076,hit
19,left,2025-12-17 11:57:59.719517,2025-12-17 11:57:59.728526,2025-12-17 11:58:00.389287,0.660762,hit
20,right,2025-12-17 11:58:01.719517,2025-12-17 11:58:01.731251,2025-12-17 11:58:02.280575,0.549323,hit
21,left,2025-12-17 11:58:03.719517,2025-12-17 11:58:03.723877,2025-12-17 11:58:04.331945,0.608068,hit
22,right,2025-12-17 11:58:10.719517,2025-12-17 11:58:10.730517,2025-12-17 11:58:11.311093,0.580577,hit
23,right,2025-12-17 11:58:14.719517,2025-12-17 11:58:14.730150,2025-12-17 11:58:15.225283,0.495134,hit
24,right,2025-12-17 11:58:19.719517,2025-12-17 11:58:19.728235,2025-12-17 11:58:20.336664,0.608429,hit
25,left,2025-12-17 11:58:21.719517,2025-12-17 11:58:21.725147,2025-12-17 11:58:22.321367,0.596220,hit
26,right,2025-12-17 11:58:26.719517,2025-12-17 11:58:26.729061,2025-12-17 11:58:27.413882,0.684821,hit
27,right,2025-12-17 11:58:28.719517,2025-12-17 11:58:28.727584,2025-12-17 11:58:29.243284,0.515700,hit
28,right,2025-12-17 11:58:32.719517,2025-12-17 11:58:32.727217,2025-12-17 11:58:33.239351,0.512134,hit
29,left,2025-12-17 11:58:37.719517,2025-12-17 11:58:37.725326,2025-12-17 11:58:38.376556,0.651231,hit
30,right,2025-12-17 11:58:44.719517,2025-12-17 11:58:44.731938,2025-12-17 11:58:45.385951,0.654013,hit
31,left,2025-12-17 11:58:51.719517,2025-12-17 11:58:51.726958,2025-12-17 11:58:52.261402,0.534444,hit
32,left,2025-12-17 11:58:55.719517,2025-12-17 11:58:55.726596,2025-12-17 11:58:56.258563,0.531967,hit
33,right,2025-12-17 11:59:00.719517,2025-12-17 11:59:00.724677,2025-12-17 11:59:01.382289,0.657612,hit
34,right,2025-12-17 11:59:07.719517,2025-12-17 11:59:07.725507,2025-12-17 11:59:08.257625,0.532118,hit
35,left,2025-12-17 11:59:12.719517,2025-12-17 11:59:12.723589,2025-12-17 11:59:13.307447,0.583859,hit
36,left,2025-12-17 11:59:19.719517,2025-12-17 11:59:19.730206,2025-12-17 11:59:20.244716,0.514511,hit
37,left,2025-12-17 11:59:23.719517,2025-12-17 11:59:23.729861,2025-12-17 11:59:24.317267,0.587407,hit
38,right,2025-12-17 11:59:25.719517,2025-12-17 11:59:25.726777,2025-12-17 11:59:26.298785,0.572009,hit
39,right,2025-12-17 11:59:29.719517,2025-12-17 11:59:29.726414,2025-12-17 11:59:30.169892,0.443478,hit
40,left,2025-12-17 11:59:31.719517,2025-12-17 11:59:31.729135,2025-12-17 11:59:32.348675,0.619540,hit
41,left,2025-12-17 11:59:38.719517,2025-12-20 08:03:30.160449,2025-12-17 11:59:39.280684,-245030.879765,hit
42,right,2025-12-17 11:59:40.719517,2025-12-20 08:03:30.163170,2025-12-17 11:59:41.244999,-245028.918171,hit
43,right,2025-12-17 11:59:45.719517,2025-12-20 08:03:30.158612,2025-12-17 11:59:46.196884,-245023.961728,hit
44,left,2025-12-17 11:59:47.719517,2025-12-20 08:03:30.160857,2025-12-17 11:59:48.282189,-245021.878668,hit
45,right,2025-12-17 11:59:54.719517,2025-12-20 08:03:30.158998,2025-12-17 11:59:55.190835,-245014.968162,hit
46,left,2025-12-17 11:59:58.719517,2025-12-20 08:03:30.158635,2025-12-17 11:59:59.682668,-245010.475967,hit
47,right,2025-12-17 12:00:02.719517,2025-12-20 08:03:30.158748,2025-12-17 12:00:03.285954,-245006.872795,hit
48,left,2025-12-17 12:00:07.719517,2025-12-20 08:03:30.159043,2025-12-17 12:00:08.332688,-245001.826355,hit
49,right,2025-12-17 12:00:12.719517,2025-12-20 08:03:30.160267,2025-12-17 12:00:13.239086,-244996.921181,hit
50,right,2025-12-17 12:00:16.719517,2025-12-20 08:03:30.159904,2025-12-17 12:00:17.201779,-244992.958126,hit
51,left,2025-12-17 12:00:23.719517,2025-12-20 08:03:30.163397,2025-12-17 12:00:24.236787,-244985.926609,hit
52,left,2025-12-17 12:00:25.719517,2025-12-20 08:03:30.160313,2025-12-17 12:00:26.220515,-244983.939798,hit
53,left,2025-12-17 12:00:30.719517,2025-12-20 08:03:30.161537,2025-12-17 12:00:31.313951,-244978.847586,hit
54,right,2025-12-17 12:00:37.719517,2025-12-20 08:03:30.159224,2025-12-17 12:00:38.221436,-244971.937789,hit
55,left,2025-12-17 12:00:41.719517,2025-12-20 08:03:30.158861,2025-12-17 12:00:42.246499,-244967.912363,hit
56,right,2025-12-17 12:00:43.719517,2025-12-20 08:03:30.161582,2025-12-17 12:00:44.216375,-244965.945207,hit
57,left,2025-12-17 12:00:48.719517,2025-12-20 08:03:30.162807,2025-12-17 12:00:49.257279,-244960.905528,hit
58,right,2025-12-17 12:00:55.719517,2025-12-20 08:03:30.160494,2025-12-17 12:00:56.175558,-244953.984936,hit
59,left,2025-12-17 12:01:02.719517,2025-12-20 08:03:30.158635,2025-12-17 12:01:03.409067,-244946.749567,hit
60,left,2025-12-17 12:01:06.719517,2025-12-20 08:03:30.158748,2025-12-17 12:01:07.237748,-244942.921000,hit
61,left,2025-12-17 12:01:08.719517,2025-12-20 08:03:30.160993,2025-12-17 12:01:09.245634,-244940.915359,hit
62,right,2025-12-17 12:01:10.719517,2025-12-20 08:03:30.163714,2025-12-17 12:01:11.195168,-244938.968546,hit
63,right,2025-12-17 12:01:14.719517,2025-12-20 08:03:30.163351,2025-12-17 12:01:15.199136,-244934.964215,hit
64,right,2025-12-17 12:01:19.719517,2025-12-20 08:03:30.158793,2025-12-17 12:01:20.259584,-244929.899209,hit
65,right,2025-12-17 12:01:21.719517,2025-12-20 08:03:30.161038,2025-12-17 12:01:22.237165,-244927.923873,hit
66,left,2025-12-17 12:01:28.719517,2025-12-20 08:03:30.159179,2025-12-17 12:01:29.211521,-244920.947658,hit
67,left,2025-12-17 12:01:33.719517,2025-12-20 08:03:30.159950,2025-12-17 12:01:34.181649,-244915.978301,hit
68,right,2025-12-17 12:01:40.719517,2025-12-20 08:03:30.158567,2025-12-17 12:01:41.235162,-244908.923405,hit
69,right,2025-12-17 12:01:44.719517,2025-12-20 08:03:30.163533,2025-12-17 12:01:45.227793,-244904.935740,hit
70,left,2025-12-17 12:01:48.719517,2025-12-20 08:03:30.162240,2025-12-17 12:01:49.380490,-244900.781750,hit
71,right,2025-12-17 12:01:53.719517,2025-12-20 08:03:30.163465,2025-12-17 12:01:54.230417,-244895.933048,hit
72,left,2025-12-17 12:01:55.719517,2025-12-20 08:03:30.160381,2025-12-17 12:01:56.294976,-244893.865404,hit
73,left,2025-12-17 12:01:59.719517,2025-12-20 08:03:30.160018,2025-12-17 12:02:00.253243,-244889.906775,hit
74,left,2025-12-17 12:02:04.719517,2025-12-20 08:03:30.160313,2025-12-17 12:02:05.304080,-244884.856232,hit
75,right,2025-12-17 12:02:11.719517,2025-12-20 08:03:30.158453,2025-12-17 12:02:12.191570,-244877.966884,hit
76,left,2025-12-17 12:02:13.719517,2025-12-20 08:03:30.161174,2025-12-17 12:02:14.288831,-244875.872343,hit
77,left,2025-12-17 12:02:20.719517,2025-12-20 08:03:30.158861,2025-12-17 12:02:21.329279,-244868.829583,hit
78,right,2025-12-17 12:02:22.719517,2025-12-20 08:03:30.161582,2025-12-17 12:02:23.259617,-244866.901965,hit
79,right,2025-12-17 12:02:27.719517,2025-12-20 08:03:30.162807,2025-12-17 12:02:28.207396,-244861.955411,hit
80,right,2025-12-17 12:02:31.719517,2025-12-20 08:03:30.162444,2025-12-17 12:02:32.254504,-244857.907940,hit
81,right,2025-12-17 12:02:33.719517,2025-12-20 08:03:30.159360,2025-12-17 12:02:34.251807,-244855.907554,hit
82,left,2025-12-17 12:02:38.719517,2025-12-20 08:03:30.160131,2025-12-17 12:02:39.267085,-244850.893046,hit
83,right,2025-12-17 12:02:43.719517,2025-12-20 08:03:30.161356,2025-12-17 12:02:44.326729,-244845.834627,hit
84,left,2025-12-17 12:02:50.719517,2025-12-20 08:03:30.159043,2025-12-17 12:02:51.347110,-244838.811933,hit
85,left,2025-12-17 12:02:54.719517,2025-12-20 08:03:30.158680,2025-12-17 12:02:55.248495,-244834.910185,hit
86,right,2025-12-17 12:02:58.719517,2025-12-20 08:03:30.158793,2025-12-17 12:02:59.223439,-244830.935355,hit
87,left,2025-12-17 12:03:00.719517,2025-12-20 08:03:30.161038,2025-12-17 12:03:01.248087,-244828.912951,hit
88,right,2025-12-17 12:03:07.719517,2025-12-20 08:03:30.159179,2025-12-17 12:03:08.203688,-244821.955491,hit
89,right,2025-12-17 12:03:11.719517,2025-12-20 08:03:30.158816,2025-12-17 12:03:12.224561,-244817.934255,hit
90,left,2025-12-17 12:03:13.719517,2025-12-20 08:03:30.161537,2025-12-17 12:03:14.269245,-244815.892292,hit
91,left,2025-12-17 12:03:17.719517,2025-12-20 08:03:30.161174,2025-12-17 12:03:18.204614,-244811.956561,hit
92,right,2025-12-17 12:03:22.719517,2025-12-20 08:03:30.161945,2025-12-17 12:03:23.252586,-244806.909359,hit
93,right,2025-12-17 12:03:24.719517,2025-12-20 08:03:30.158861,2025-12-17 12:03:25.188595,-244804.970266,hit
94,right,2025-12-17 12:03:31.719517,2025-12-20 08:03:30.162807,2025-12-17 12:03:32.247046,-244797.915761,hit
95,left,2025-12-17 12:03:38.719517,2025-12-20 08:03:30.160494,2025-12-17 12:03:39.271466,-244790.889028,hit
96,left,2025-12-17 12:03:43.719517,2025-12-20 08:03:30.161719,2025-12-17 12:03:44.340156,-244785.821562,hit
97,left,2025-12-17 12:03:50.719517,2025-12-20 08:03:30.159406,2025-12-17 12:03:51.737262,-244778.422143,hit
98,left,2025-12-17 12:03:54.719517,2025-12-20 08:03:30.159043,2025-12-17 12:03:55.253713,-244774.905330,hit
99,left,2025-12-17 12:03:56.719517,2025-12-20 08:03:30.161764,2025-12-17 12:03:57.312830,-244772.848933,hit
100,right,2025-12-17 12:04:01.719517,2025-12-20 08:03:30.162988,2025-12-17 12:04:02.226114,-244767.936874,hit
101,right,2025-12-17 12:04:08.719517,2025-12-20 08:03:30.160676,2025-12-17 12:04:09.216231,-244760.944445,hit
102,right,2025-12-17 12:04:12.719517,2025-12-20 08:03:30.160313,2025-12-17 12:04:13.228062,-244756.932250,hit
103,right,2025-12-17 12:04:14.719517,2025-12-20 08:03:30.163034,2025-12-17 12:04:15.276528,-244754.886506,hit
104,left,2025-12-17 12:04:19.719517,2025-12-20 08:03:30.158453,2025-12-17 12:04:20.255507,-244749.902946,hit
105,right,2025-12-17 12:04:21.719517,2025-12-20 08:03:30.161174,2025-12-17 12:04:22.246337,-244747.914837,hit
106,left,2025-12-17 12:04:26.719517,2025-12-20 08:03:30.161945,2025-12-17 12:04:27.331766,-244742.830179,hit
107,right,2025-12-17 12:04:33.719517,2025-12-20 08:03:30.160086,2025-12-17 12:04:34.231203,-244735.928883,hit
108,left,2025-12-17 12:04:37.719517,2025-12-20 08:03:30.159723,2025-12-17 12:04:38.284602,-244731.875121,hit
109,left,2025-12-17 12:04:44.719517,2025-12-20 08:03:30.163215,2025-12-17 12:04:45.222664,-244724.940551,hit
110,right,2025-12-17 12:04:48.719517,2025-12-20 08:03:30.162376,2025-12-17 12:04:49.247880,-244720.914497,hit
111,left,2025-12-17 12:04:50.719517,2025-12-20 08:03:30.159292,2025-12-17 12:04:51.364190,-244718.795102,hit
112,right,2025-12-17 12:04:55.719517,2025-12-20 08:03:30.160063,2025-12-17 12:04:56.225470,-244713.934593,hit
113,left,2025-12-17 12:04:57.719517,2025-12-20 08:03:30.162784,2025-12-17 12:04:58.248274,-244711.914510,hit
114,left,2025-12-17 12:05:01.719517,2025-12-20 08:03:30.162421,2025-12-17 12:05:02.397408,-244707.765014,hit
115,right,2025-12-17 12:05:03.719517,2025-12-20 08:03:30.159338,2025-12-17 12:05:04.217387,-244705.941951,hit
116,left,2025-12-17 12:05:10.719517,2025-12-20 08:03:30.163283,2025-12-17 12:05:11.304398,-244698.858885,hit
117,right,2025-12-17 12:05:14.719517,2025-12-20 08:03:30.162920,2025-12-17 12:05:15.268789,-244694.894131,hit
118,left,2025-12-17 12:05:19.719517,2025-12-20 08:03:30.163691,2025-12-17 12:05:20.305167,-244689.858524,hit
119,right,2025-12-17 12:05:24.719517,2025-12-20 08:03:30.159111,2025-12-17 12:05:25.348278,-244684.810833,hit
120,right,2025-12-17 12:05:31.719517,2025-12-20 08:03:30.162603,2025-12-17 12:05:32.259343,-244677.903260,hit
121,left,2025-12-17 12:05:35.719517,2025-12-20 08:03:30.162240,2025-12-17 12:05:36.267681,-244673.894559,hit
122,right,2025-12-17 12:05:42.719517,2025-12-20 08:03:30.160381,2025-12-17 12:05:43.258746,-244666.901635,hit
123,left,2025-12-17 12:05:49.719517,2025-12-20 08:03:30.158521,2025-12-17 12:05:50.308879,-244659.849642,hit
124,left,2025-12-17 12:05:54.719517,2025-12-20 08:03:30.159292,2025-12-17 12:05:55.377035,-244654.782257,hit
125,right,2025-12-17 12:05:59.719517,2025-12-20 08:03:30.160063,2025-12-17 12:06:00.517611,-244649.642452,hit
126,left,2025-12-17 12:06:01.719517,2025-12-20 08:03:30.162784,2025-12-17 12:06:02.280668,-244647.882116,hit
127,right,2025-12-17 12:06:05.719517,2025-12-20 08:03:30.162421,2025-12-17 12:06:06.275937,-244643.886485,hit
128,right,2025-12-17 12:06:07.719517,2025-12-20 08:03:30.159338,2025-12-17 12:06:08.275559,-244641.883779,hit
129,left,2025-12-17 12:06:09.719517,2025-12-20 08:03:30.162059,2025-12-17 12:06:10.178862,-244639.983196,hit
130,right,2025-12-17 12:06:13.719517,2025-12-20 08:03:30.161696,2025-12-17 12:06:14.218420,-244635.943276,hit
131,left,2025-12-17 12:06:18.719517,2025-12-20 08:03:30.162920,2025-12-17 12:06:19.232956,-244630.929964,hit
132,left,2025-12-17 12:06:25.719517,2025-12-20 08:03:30.160607,2025-12-17 12:06:26.234172,-244623.926436,hit
133,left,2025-12-17 12:06:29.719517,2025-12-20 08:03:30.160245,2025-12-17 12:06:30.248971,-244619.911273,hit
134,right,2025-12-17 12:06:34.719517,2025-12-20 08:03:30.161469,2025-12-17 12:06:35.220970,-244614.940499,hit
135,right,2025-12-17 12:06:41.719517,2025-12-20 08:03:30.159156,2025-12-17 12:06:42.192412,-244607.966744,hit
136,right,2025-12-17 12:06:43.719517,2025-12-20 08:03:30.161877,2025-12-17 12:06:44.289496,-244605.872381,hit
137,left,2025-12-17 12:06:47.719517,2025-12-20 08:03:30.160562,2025-12-17 12:06:48.320868,-244601.839694,hit
138,left,2025-12-17 12:06:52.719517,2025-12-20 08:03:30.161787,2025-12-17 12:06:53.291570,-244596.870216,hit
139,left,2025-12-17 12:06:54.719517,2025-12-20 08:03:30.158703,2025-12-17 12:06:55.261387,-244594.897316,hit
140,right,2025-12-17 12:06:56.719517,2025-12-20 08:03:30.161424,2025-12-17 12:06:57.181676,-244592.979747,hit
141,right,2025-12-17 12:07:01.719517,2025-12-20 08:03:30.162195,2025-12-17 12:07:02.227532,-244587.934663,hit
142,left,2025-12-17 12:07:08.719517,2025-12-20 08:03:30.160335,2025-12-17 12:07:09.264942,-244580.895393,hit
143,right,2025-12-17 12:07:15.719517,2025-12-20 08:03:30.158499,2025-12-17 12:07:16.271872,-244573.886627,hit
144,right,2025-12-17 12:07:19.719517,2025-12-20 08:03:30.163465,2025-12-17 12:07:20.215132,-244569.948332,hit
145,right,2025-12-17 12:07:24.719517,2025-12-20 08:03:30.158884,2025-12-17 12:07:25.257277,-244564.901607,hit
146,left,2025-12-17 12:07:31.719517,2025-12-20 08:03:30.161900,2025-12-17 12:07:32.299852,-244557.862048,hit
147,right,2025-12-17 12:07:35.719517,2025-12-20 08:03:30.161537,2025-12-17 12:07:36.234494,-244553.927043,hit
148,right,2025-12-17 12:07:37.719517,2025-12-20 08:03:30.158453,2025-12-17 12:07:38.357332,-244551.801122,hit
149,left,2025-12-17 12:07:42.719517,2025-12-20 08:03:30.159700,2025-12-17 12:07:43.247641,-244546.912060,hit
150,right,2025-12-17 12:07:49.719517,2025-12-20 08:03:30.163170,2025-12-17 12:07:50.225700,-244539.937470,hit
151,left,2025-12-17 12:07:51.719517,2025-12-20 08:03:30.160086,2025-12-17 12:07:52.288044,-244537.872041,hit
152,left,2025-12-17 12:07:55.719517,2025-12-20 08:03:30.159723,2025-12-17 12:07:56.413200,-244533.746523,hit
153,left,2025-12-17 12:08:02.719517,2025-12-20 08:03:30.163215,2025-12-17 12:08:03.305404,-244526.857811,hit
154,right,2025-12-17 12:08:09.719517,2025-12-20 08:03:30.161356,2025-12-17 12:08:10.253786,-244519.907570,hit
155,right,2025-12-17 12:08:14.719517,2025-12-20 08:03:30.162603,2025-12-17 12:08:15.217033,-244514.945569,hit
156,right,2025-12-17 12:08:18.719517,2025-12-20 08:03:30.162240,2025-12-17 12:08:19.217097,-244510.945143,hit
157,left,2025-12-17 12:08:20.719517,2025-12-20 08:03:30.159156,2025-12-17 12:08:21.382962,-244508.776194,hit
158,left,2025-12-17 12:08:25.719517,2025-12-20 08:03:30.159904,2025-12-17 12:08:26.340377,-244503.819527,hit
159,left,2025-12-17 12:08:29.719517,2025-12-20 08:03:30.159542,2025-12-17 12:08:30.241537,-244499.918005,hit
160,right,2025-12-17 12:08:31.719517,2025-12-20 08:03:30.162263,2025-12-17 12:08:32.231505,-244497.930758,hit
161,right,2025-12-17 12:08:35.719517,2025-12-20 08:03:30.161900,2025-12-17 12:08:36.190029,-244493.971871,hit
162,left,2025-12-17 12:08:42.719517,2025-12-20 08:03:30.160063,2025-12-17 12:08:43.262968,-244486.897095,hit
163,right,2025-12-17 12:08:47.719517,2025-12-20 08:03:30.160811,2025-12-17 12:08:48.277275,-244481.883536,hit
164,left,2025-12-17 12:08:51.719517,2025-12-20 08:03:30.160449,2025-12-17 12:08:52.215159,-244477.945290,hit
165,left,2025-12-17 12:08:53.719517,2025-12-20 08:03:30.163170,2025-12-17 12:08:54.245356,-244475.917813,hit
166,right,2025-12-17 12:09:00.719517,2025-12-20 08:03:30.160857,2025-12-17 12:09:01.270467,-244468.890390,hit
167,left,2025-12-17 12:09:05.719517,2025-12-20 08:03:30.162081,2025-12-17 12:09:06.211206,-244463.950875,hit
168,right,2025-12-17 12:09:07.719517,2025-12-20 08:03:30.158998,2025-12-17 12:09:08.234661,-244461.924336,hit
169,right,2025-12-17 12:09:09.719517,2025-12-20 08:03:30.161719,2025-12-17 12:09:10.226168,-244459.935550,hit
170,right,2025-12-17 12:09:13.719517,2025-12-20 08:03:30.161356,2025-12-17 12:09:14.199131,-244455.962225,hit
171,right,2025-12-17 12:09:20.719517,2025-12-20 08:03:30.158567,2025-12-17 12:09:21.207273,-244448.951293,hit
172,none,,2025-12-17 12:09:24.955694,,,false_positive
172,left,2025-12-17 12:09:27.719517,2025-12-20 08:03:30.162512,2025-12-17 12:09:28.239202,-244441.923310,hit
173,left,2025-12-17 12:09:32.719517,2025-12-20 08:03:30.163283,2025-12-17 12:09:33.254309,-244436.908974,hit
174,left,2025-12-17 12:09:34.719517,2025-12-20 08:03:30.160199,2025-12-17 12:09:35.386936,-244434.773263,hit
175,right,2025-12-17 12:09:39.719517,2025-12-20 08:03:30.161424,2025-12-17 12:09:40.232052,-244429.929371,hit
176,left,2025-12-17 12:09:43.719517,2025-12-20 08:03:30.161061,2025-12-17 12:09:44.270093,-244425.890968,hit
177,right,2025-12-17 12:09:47.719517,2025-12-20 08:03:30.159768,2025-12-17 12:09:48.168573,-244421.991195,hit
178,left,2025-12-17 12:09:51.719517,2025-12-20 08:03:30.159406,2025-12-17 12:09:52.195888,-244417.963518,hit
179,left,2025-12-17 12:09:53.719517,2025-12-20 08:03:30.162603,2025-12-17 12:09:54.291058,-244415.871545,hit
180,right,2025-12-17 12:10:00.719517,2025-12-20 08:03:30.160267,2025-12-17 12:10:01.292740,-244408.867527,hit
181,right,2025-12-17 12:10:02.719517,2025-12-20 08:03:30.162988,2025-12-17 12:10:03.202384,-244406.960604,hit
182,left,2025-12-17 12:10:09.719517,2025-12-20 08:03:30.160676,2025-12-17 12:10:10.307881,-244399.852795,hit
183,right,2025-12-17 12:10:14.719517,2025-12-20 08:03:30.161900,2025-12-17 12:10:15.296196,-244394.865704,hit
184,left,2025-12-17 12:10:19.719517,2025-12-20 08:03:30.163147,2025-12-17 12:10:20.352908,-244389.810240,hit
185,right,2025-12-17 12:10:21.719517,2025-12-20 08:03:30.159587,2025-12-17 12:10:22.266185,-244387.893402,hit
186,right,2025-12-17 12:10:26.719517,2025-12-20 08:03:30.160811,2025-12-17 12:10:27.296343,-244382.864469,hit
