trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,left,2025-12-29 19:48:39.851540,2025-12-29 19:48:39.863963,2025-12-29 19:48:40.557943,0.693980,hit,7.0,7.0124229160137475,7.706403166987002
2,left,2025-12-29 19:48:43.851540,2025-12-29 19:48:43.857793,2025-12-29 19:48:44.506185,0.648392,hit,11.0,11.00625316600781,11.654645209026057
3,right,2025-12-29 19:48:50.851540,2025-12-29 19:48:50.858606,2025-12-29 19:48:51.513996,0.655390,hit,18.0,18.007066083024256,18.66245624999283
4,right,2025-12-29 19:48:52.851540,2025-12-29 19:48:52.855521,2025-12-29 19:48:53.481858,0.626337,hit,20.0,20.00398124998901,20.6303181250114
5,left,2025-12-29 19:48:57.851540,2025-12-29 19:48:57.859419,2025-12-29 19:48:58.535357,0.675938,hit,25.0,25.007879041018896,25.683816667005885
6,left,2025-12-29 19:48:59.851540,2025-12-29 19:48:59.856334,2025-12-29 19:49:00.561495,0.705161,hit,27.0,27.004794166015927,27.709955334023107
7,right,2025-12-29 19:49:03.851540,2025-12-29 19:49:03.861774,2025-12-29 19:49:04.465875,0.604100,hit,31.0,31.010234375018626,31.614334834041074
8,right,2025-12-29 19:49:08.851540,2025-12-29 19:49:08.865672,2025-12-29 19:49:09.632787,0.767115,hit,36.0,36.014132208016235,36.78124712500721
9,left,2025-12-29 19:49:10.851540,2025-12-29 19:49:10.862587,2025-12-29 19:49:11.710768,0.848181,hit,38.0,38.011047333013266,38.859228209010325
10,left,2025-12-29 19:49:15.851540,2025-12-29 19:49:15.854875,2025-12-29 19:49:16.662128,0.807253,hit,43.0,43.003335166024044,43.8105877499911
11,right,2025-12-29 19:49:20.851540,2025-12-29 19:49:20.858773,2025-12-29 19:49:21.630730,0.771957,hit,48.0,48.00723295798525,48.779190041997936
12,right,2025-12-29 19:49:22.851540,2025-12-29 19:49:22.855688,2025-12-29 19:49:23.576964,0.721276,hit,50.0,50.00414808298228,50.72542400000384
13,left,2025-12-29 19:49:29.851540,2025-12-29 19:49:29.856501,2025-12-29 19:49:30.553589,0.697089,hit,57.0,57.00496099999873,57.70204950001789
14,right,2025-12-29 19:49:36.851540,2025-12-29 19:49:36.857314,2025-12-29 19:49:37.594035,0.736721,hit,64.0,64.00577395799337,64.74249495903496
15,left,2025-12-29 19:49:40.851540,2025-12-29 19:49:40.862754,2025-12-29 19:49:41.528205,0.665451,hit,68.0,68.01121416600654,68.67666545900283
16,right,2025-12-29 19:49:44.851540,2025-12-29 19:49:44.856584,2025-12-29 19:49:45.557969,0.701385,hit,72.0,72.00504445802653,72.70642937498633
17,left,2025-12-29 19:49:49.851540,2025-12-29 19:49:49.860482,2025-12-29 19:49:50.672406,0.811924,hit,77.0,77.00894224998774,77.82086595898727
18,left,2025-12-29 19:49:56.851540,2025-12-29 19:49:56.861295,2025-12-29 19:49:57.519959,0.658664,hit,84.0,84.00975516601466,84.6684187920182
19,left,2025-12-29 19:50:00.851540,2025-12-29 19:50:00.855125,2025-12-29 19:50:01.531957,0.676832,hit,88.0,88.00358545803465,88.68041741702473
20,right,2025-12-29 19:50:02.851540,2025-12-29 19:50:02.863651,2025-12-29 19:50:03.523293,0.659643,hit,90.0,90.01211054099258,90.67175304202829
21,left,2025-12-29 19:50:04.851540,2025-12-29 19:50:04.860566,2025-12-29 19:50:05.504186,0.643620,hit,92.0,92.00902566598961,92.65264570899308
22,right,2025-12-29 19:50:11.851540,2025-12-29 19:50:11.861379,2025-12-29 19:50:12.518633,0.657254,hit,99.0,99.00983862503199,99.66709295898909
23,right,2025-12-29 19:50:15.851540,2025-12-29 19:50:15.855209,2025-12-29 19:50:16.536521,0.681312,hit,103.0,103.00366887502605,103.68498120899312
24,right,2025-12-29 19:50:20.851540,2025-12-29 19:50:20.859107,2025-12-29 19:50:21.641417,0.782310,hit,108.0,108.00756666599773,108.78987666702596
25,left,2025-12-29 19:50:22.851540,2025-12-29 19:50:22.856022,2025-12-29 19:50:23.664077,0.808055,hit,110.0,110.00448179099476,110.81253687501885
26,right,2025-12-29 19:50:27.851540,2025-12-29 19:50:27.859920,2025-12-29 19:50:28.705110,0.845190,hit,115.0,115.00837958301418,115.85357004200341
27,right,2025-12-29 19:50:29.851540,2025-12-29 19:50:29.856835,2025-12-29 19:50:30.768510,0.911676,hit,117.0,117.00529474997893,117.91697025002213
28,right,2025-12-29 19:50:33.851540,2025-12-29 19:50:33.862275,2025-12-29 19:50:34.596281,0.734007,hit,121.0,121.0107349579921,121.74474145902786
29,left,2025-12-29 19:50:38.851540,2025-12-29 19:50:38.854563,2025-12-29 19:50:39.571786,0.717223,hit,126.0,126.00302279100288,126.72024620900629
30,right,2025-12-29 19:50:45.851540,2025-12-29 19:50:45.855376,2025-12-29 19:50:46.530015,0.674640,hit,133.0,133.00383570801932,133.6784755840199
31,left,2025-12-29 19:50:52.851540,2025-12-29 19:50:52.856189,2025-12-29 19:50:53.482871,0.626683,hit,140.0,140.00464866601396,140.6313311670092
