trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,left,2025-12-17 11:17:25.908283,2025-12-17 11:17:25.916776,2025-12-17 11:17:26.659796,0.743020,hit
2,left,2025-12-17 11:17:29.908283,2025-12-17 11:17:29.916414,2025-12-17 11:17:30.566694,0.650281,hit
3,right,2025-12-17 11:17:36.908283,2025-12-17 11:17:36.917243,2025-12-17 11:17:37.480823,0.563580,hit
4,right,2025-12-17 11:17:38.908283,2025-12-17 11:17:38.914155,2025-12-17 11:17:39.450634,0.536479,hit
5,left,2025-12-17 11:17:43.908283,2025-12-17 11:17:43.918046,2025-12-17 11:17:44.550732,0.632685,hit
6,left,2025-12-17 11:17:45.908283,2025-12-17 11:17:45.914962,2025-12-17 11:17:46.547228,0.632266,hit
7,right,2025-12-17 11:17:49.908283,2025-12-17 11:17:49.914599,2025-12-17 11:17:50.418792,0.504193,hit
8,right,2025-12-17 11:17:54.908283,2025-12-17 11:17:54.912704,2025-12-17 11:17:55.467578,0.554874,hit
9,left,2025-12-17 11:17:56.908283,2025-12-17 11:17:56.915425,2025-12-17 11:17:57.507981,0.592556,hit
10,left,2025-12-17 11:18:01.908283,2025-12-17 11:18:01.919321,2025-12-17 11:18:02.413040,0.493719,hit
11,right,2025-12-17 11:18:06.908283,2025-12-17 11:18:06.911615,2025-12-17 11:18:07.482404,0.570789,hit
12,right,2025-12-17 11:18:08.908283,2025-12-17 11:18:08.914336,2025-12-17 11:18:09.474592,0.560256,hit
13,left,2025-12-17 11:18:15.908283,2025-12-17 11:18:15.915144,2025-12-17 11:18:16.514359,0.599215,hit
14,right,2025-12-17 11:18:22.908283,2025-12-17 11:18:22.915969,2025-12-17 11:18:23.523605,0.607636,hit
15,left,2025-12-17 11:18:26.908283,2025-12-17 11:18:26.921416,2025-12-17 11:18:27.534785,0.613369,hit
16,right,2025-12-17 11:18:30.908283,2025-12-17 11:18:30.915684,2025-12-17 11:18:31.461882,0.546198,hit
