trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,none,,2025-12-17 15:31:00.427087,,,false_positive
1,left,2025-12-17 15:31:06.328563,2025-12-17 15:31:06.335176,2025-12-17 15:31:06.931992,0.596816,hit
2,left,2025-12-17 15:31:10.328563,2025-12-17 15:31:10.334813,2025-12-17 15:31:10.789853,0.455040,hit
3,right,2025-12-17 15:31:17.328563,2025-12-17 15:31:17.335620,2025-12-17 15:31:17.825157,0.489537,hit
4,right,2025-12-17 15:31:19.328563,2025-12-17 15:31:19.338341,2025-12-17 15:31:19.887701,0.549360,hit
5,left,2025-12-17 15:31:24.328563,2025-12-17 15:31:24.336446,2025-12-17 15:31:24.879045,0.542600,hit
6,left,2025-12-17 15:31:26.328563,2025-12-17 15:31:26.339171,2025-12-17 15:31:27.066567,0.727396,hit
7,right,2025-12-17 15:31:30.328563,2025-12-17 15:31:30.338808,2025-12-17 15:31:30.784878,0.446069,hit
8,right,2025-12-17 15:31:35.328563,2025-12-17 15:31:35.336890,2025-12-17 15:31:35.843011,0.506121,hit
9,left,2025-12-17 15:31:37.328563,2025-12-17 15:31:37.339616,2025-12-17 15:31:37.947345,0.607729,hit
10,left,2025-12-17 15:31:42.328563,2025-12-17 15:31:42.331910,2025-12-17 15:31:42.831533,0.499623,hit
11,right,2025-12-17 15:31:47.328563,2025-12-17 15:31:47.335802,2025-12-17 15:31:47.821659,0.485858,hit
12,right,2025-12-17 15:31:49.328563,2025-12-17 15:31:49.338523,2025-12-17 15:31:49.853187,0.514664,hit
13,left,2025-12-17 15:31:56.328563,2025-12-17 15:31:56.339353,2025-12-17 15:31:56.837067,0.497714,hit
14,right,2025-12-17 15:32:03.328563,2025-12-17 15:32:03.334350,2025-12-17 15:32:03.850066,0.515716,hit
15,left,2025-12-17 15:32:07.328563,2025-12-17 15:32:07.333987,2025-12-17 15:32:07.809195,0.475208,hit
16,right,2025-12-17 15:32:11.328563,2025-12-17 15:32:11.339434,2025-12-17 15:32:11.809946,0.470512,hit
17,left,2025-12-17 15:32:16.328563,2025-12-17 15:32:16.331729,2025-12-17 15:32:16.765633,0.433904,hit
18,left,2025-12-17 15:32:23.328563,2025-12-17 15:32:23.338341,2025-12-17 15:32:23.763370,0.425029,hit
19,left,2025-12-17 15:32:27.328563,2025-12-17 15:32:27.337978,2025-12-17 15:32:27.817891,0.479913,hit
20,right,2025-12-17 15:32:29.328563,2025-12-17 15:32:29.334894,2025-12-17 15:32:29.877764,0.542870,hit
21,left,2025-12-17 15:32:31.328563,2025-12-17 15:32:31.337616,2025-12-17 15:32:31.798215,0.460599,hit
22,right,2025-12-17 15:32:38.328563,2025-12-17 15:32:38.332636,2025-12-17 15:32:38.733730,0.401094,hit
23,right,2025-12-17 15:32:42.328563,2025-12-17 15:32:42.332273,2025-12-17 15:32:42.795818,0.463545,hit
24,right,2025-12-17 15:32:47.328563,2025-12-17 15:32:47.336164,2025-12-17 15:32:47.771343,0.435178,hit
25,left,2025-12-17 15:32:49.328563,2025-12-17 15:32:49.338886,2025-12-17 15:32:49.836968,0.498083,hit
26,right,2025-12-17 15:32:54.328563,2025-12-17 15:32:54.336994,2025-12-17 15:32:54.819259,0.482265,hit
27,right,2025-12-17 15:32:56.328563,2025-12-17 15:32:56.339715,2025-12-17 15:32:56.917042,0.577327,hit
28,right,2025-12-17 15:33:00.328563,2025-12-17 15:33:00.333543,2025-12-17 15:33:00.767116,0.433573,hit
29,left,2025-12-17 15:33:05.328563,2025-12-17 15:33:05.337434,2025-12-17 15:33:05.784343,0.446909,hit
30,right,2025-12-17 15:33:12.328563,2025-12-17 15:33:12.332455,2025-12-17 15:33:12.872205,0.539750,hit
31,left,2025-12-17 15:33:19.328563,2025-12-17 15:33:19.339067,2025-12-17 15:33:19.772162,0.433095,hit
32,left,2025-12-17 15:33:23.328563,2025-12-17 15:33:23.338704,2025-12-17 15:33:23.867962,0.529258,hit
33,right,2025-12-17 15:33:28.328563,2025-12-17 15:33:28.336813,2025-12-17 15:33:28.803074,0.466261,hit
34,right,2025-12-17 15:33:35.328563,2025-12-17 15:33:35.337616,2025-12-17 15:33:35.925364,0.587749,hit
35,left,2025-12-17 15:33:40.328563,2025-12-17 15:33:40.341529,2025-12-17 15:33:40.899171,0.557642,hit
36,left,2025-12-17 15:33:47.328563,2025-12-17 15:33:47.336527,2025-12-17 15:33:47.743781,0.407253,hit
37,left,2025-12-17 15:33:51.328563,2025-12-17 15:33:51.336164,2025-12-17 15:33:51.838121,0.501957,hit
38,right,2025-12-17 15:33:53.328563,2025-12-17 15:33:53.338886,2025-12-17 15:33:53.844618,0.505733,hit
39,right,2025-12-17 15:33:57.328563,2025-12-17 15:33:57.338523,2025-12-17 15:33:57.797459,0.458937,hit
40,left,2025-12-17 15:33:59.328563,2025-12-20 15:44:33.653658,2025-12-17 15:33:59.897510,-259833.756148,hit
41,left,2025-12-17 15:34:06.328563,2025-12-20 15:44:33.657150,2025-12-17 15:34:06.829131,-259826.828019,hit
42,right,2025-12-17 15:34:08.328563,2025-12-20 15:44:33.654066,2025-12-17 15:34:08.879535,-259824.774531,hit
43,right,2025-12-17 15:34:13.328563,2025-12-20 15:44:33.655291,2025-12-17 15:34:13.852905,-259819.802386,hit
44,left,2025-12-17 15:34:15.328563,2025-12-20 15:44:33.652683,2025-12-17 15:34:15.855060,-259817.797623,hit
45,right,2025-12-17 15:34:22.328563,2025-12-20 15:44:33.655699,2025-12-17 15:34:22.883388,-259810.772311,hit
46,left,2025-12-17 15:34:26.328563,2025-12-20 15:44:33.655336,2025-12-17 15:34:26.831616,-259806.823720,hit
47,right,2025-12-17 15:34:30.328563,2025-12-20 15:44:33.654973,2025-12-17 15:34:30.839458,-259802.815515,hit
48,left,2025-12-17 15:34:35.328563,2025-12-20 15:44:33.656198,2025-12-17 15:34:35.824450,-259797.831747,hit
49,right,2025-12-17 15:34:40.328563,2025-12-20 15:44:33.656969,2025-12-17 15:34:40.868943,-259792.788025,hit
50,right,2025-12-17 15:34:44.328563,2025-12-20 15:44:33.656606,2025-12-17 15:34:44.884869,-259788.771737,hit
51,left,2025-12-17 15:34:51.328563,2025-12-20 15:44:33.654746,2025-12-17 15:34:51.803014,-259781.851732,hit
52,left,2025-12-17 15:34:53.328563,2025-12-20 15:44:33.657468,2025-12-17 15:34:53.855932,-259779.801536,hit
53,left,2025-12-17 15:34:58.328563,2025-12-20 15:44:33.652433,2025-12-17 15:34:58.811780,-259774.840653,hit
54,right,2025-12-17 15:35:05.328563,2025-12-20 15:44:33.655449,2025-12-17 15:35:05.803771,-259767.851678,hit
55,left,2025-12-17 15:35:09.328563,2025-12-20 15:44:33.655087,2025-12-17 15:35:09.795147,-259763.859940,hit
56,right,2025-12-17 15:35:11.328563,2025-12-20 15:44:33.652479,2025-12-17 15:35:11.833674,-259761.818805,hit
57,left,2025-12-17 15:35:16.328563,2025-12-20 15:44:33.653227,2025-12-17 15:35:16.789824,-259756.863403,hit
58,right,2025-12-17 15:35:23.328563,2025-12-20 15:44:33.656719,2025-12-17 15:35:23.794114,-259749.862605,hit
59,left,2025-12-17 15:35:30.328563,2025-12-20 15:44:33.654860,2025-12-17 15:35:30.805762,-259742.849098,hit
60,left,2025-12-17 15:35:34.328563,2025-12-20 15:44:33.654497,2025-12-17 15:35:34.823083,-259738.831414,hit
61,left,2025-12-17 15:35:36.328563,2025-12-20 15:44:33.657218,2025-12-17 15:35:36.885797,-259736.771421,hit
62,right,2025-12-17 15:35:38.328563,2025-12-20 15:44:33.654134,2025-12-17 15:35:38.807010,-259734.847124,hit
63,right,2025-12-17 15:35:42.328563,2025-12-20 15:44:33.653771,2025-12-17 15:35:42.750161,-259730.903610,hit
64,right,2025-12-17 15:35:47.328563,2025-12-20 15:44:33.654542,2025-12-17 15:35:47.903124,-259725.751418,hit
65,right,2025-12-17 15:35:49.328563,2025-12-20 15:44:33.657264,2025-12-17 15:35:49.853454,-259723.803809,hit
66,left,2025-12-17 15:35:56.328563,2025-12-20 15:44:33.655404,2025-12-17 15:35:56.772486,-259716.882918,hit
67,left,2025-12-17 15:36:01.328563,2025-12-20 15:44:33.656175,2025-12-17 15:36:01.796056,-259711.860119,hit
68,right,2025-12-17 15:36:08.328563,2025-12-20 15:44:33.654315,2025-12-17 15:36:08.858101,-259704.796215,hit
69,right,2025-12-17 15:36:12.328563,2025-12-20 15:44:33.653953,2025-12-17 15:36:12.790685,-259700.863268,hit
70,left,2025-12-17 15:36:16.328563,2025-12-20 15:44:33.653590,2025-12-17 15:36:16.788275,-259696.865315,hit
71,right,2025-12-17 15:36:21.328563,2025-12-20 15:44:33.654361,2025-12-17 15:36:21.748847,-259691.905514,hit
72,left,2025-12-17 15:36:23.328563,2025-12-20 15:44:33.657082,2025-12-17 15:36:23.862238,-259689.794844,hit
73,left,2025-12-17 15:36:27.328563,2025-12-20 15:44:33.656719,2025-12-17 15:36:27.802165,-259685.854554,hit
74,left,2025-12-17 15:36:32.328563,2025-12-20 15:44:33.652615,2025-12-17 15:36:32.806702,-259680.845913,hit
75,right,2025-12-17 15:36:39.328563,2025-12-20 15:44:33.655631,2025-12-17 15:36:39.767489,-259673.888142,hit
76,left,2025-12-17 15:36:41.328563,2025-12-20 15:44:33.652547,2025-12-17 15:36:41.900581,-259671.751966,hit
77,left,2025-12-17 15:36:48.328563,2025-12-20 15:44:33.656492,2025-12-17 15:36:48.825075,-259664.831418,hit
78,right,2025-12-17 15:36:50.328563,2025-12-20 15:44:33.653409,2025-12-17 15:36:50.814437,-259662.838972,hit
79,right,2025-12-17 15:36:55.328563,2025-12-20 15:44:33.654180,2025-12-17 15:36:55.795135,-259657.859044,hit
80,right,2025-12-17 15:36:59.328563,2025-12-20 15:44:33.653817,2025-12-17 15:36:59.819765,-259653.834052,hit
81,right,2025-12-17 15:37:01.328563,2025-12-20 15:44:33.656538,2025-12-17 15:37:01.814573,-259651.841965,hit
82,left,2025-12-17 15:37:06.328563,2025-12-20 15:44:33.652433,2025-12-17 15:37:06.796399,-259646.856034,hit
83,right,2025-12-17 15:37:11.328563,2025-12-20 15:44:33.652728,2025-12-17 15:37:11.875732,-259641.776996,hit
84,left,2025-12-17 15:37:18.328563,2025-12-20 15:44:33.656674,2025-12-17 15:37:18.793233,-259634.863440,hit
85,left,2025-12-17 15:37:22.328563,2025-12-20 15:44:33.656311,2025-12-17 15:37:22.815332,-259630.840979,hit
86,right,2025-12-17 15:37:26.328563,2025-12-20 15:44:33.655948,2025-12-17 15:37:26.770753,-259626.885196,hit
87,left,2025-12-17 15:37:28.328563,2025-12-20 15:44:33.652864,2025-12-17 15:37:28.888549,-259624.764315,hit
88,right,2025-12-17 15:37:35.328563,2025-12-20 15:44:33.656356,2025-12-17 15:37:35.890008,-259617.766348,hit
89,right,2025-12-17 15:37:39.328563,2025-12-20 15:44:33.655993,2025-12-17 15:37:39.879081,-259613.776912,hit
90,left,2025-12-17 15:37:41.328563,2025-12-20 15:44:33.652910,2025-12-17 15:37:41.790224,-259611.862686,hit
91,left,2025-12-17 15:37:45.328563,2025-12-20 15:44:33.652547,2025-12-17 15:37:45.867436,-259607.785111,hit
92,right,2025-12-17 15:37:50.328563,2025-12-20 15:44:33.653771,2025-12-17 15:37:50.792834,-259602.860937,hit
93,right,2025-12-17 15:37:52.328563,2025-12-20 15:44:33.656492,2025-12-17 15:37:52.834281,-259600.822211,hit
94,right,2025-12-17 15:37:59.328563,2025-12-20 15:44:33.654180,2025-12-17 15:37:59.835978,-259593.818202,hit
95,left,2025-12-17 15:38:06.328563,2025-12-20 15:44:33.652320,2025-12-17 15:38:06.757681,-259586.894639,hit
96,left,2025-12-17 15:38:11.328563,2025-12-20 15:44:33.653091,2025-12-17 15:38:11.843423,-259581.809668,hit
97,left,2025-12-17 15:38:18.328563,2025-12-20 15:44:33.657037,2025-12-17 15:38:18.785110,-259574.871926,hit
98,left,2025-12-17 15:38:22.328563,2025-12-20 15:44:33.655744,2025-12-17 15:38:22.919398,-259570.736346,hit
99,left,2025-12-17 15:38:24.328563,2025-12-20 15:44:33.652660,2025-12-17 15:38:24.908741,-259568.743920,hit
100,right,2025-12-17 15:38:29.328563,2025-12-20 15:44:33.653885,2025-12-17 15:38:29.804803,-259563.849082,hit
101,right,2025-12-17 15:38:36.328563,2025-12-20 15:44:33.657377,2025-12-17 15:38:36.828861,-259556.828516,hit
102,right,2025-12-17 15:38:40.328563,2025-12-20 15:44:33.657014,2025-12-17 15:38:40.822243,-259552.834771,hit
103,right,2025-12-17 15:38:42.328563,2025-12-20 15:44:33.653930,2025-12-17 15:38:42.811018,-259550.842912,hit
104,left,2025-12-17 15:38:47.328563,2025-12-20 15:44:33.655154,2025-12-17 15:38:47.775889,-259545.879265,hit
105,right,2025-12-17 15:38:49.328563,2025-12-20 15:44:33.652547,2025-12-17 15:38:49.771358,-259543.881188,hit
106,left,2025-12-17 15:38:54.328563,2025-12-20 15:44:33.652842,2025-12-17 15:38:54.855983,-259538.796858,hit
107,right,2025-12-17 15:39:01.328563,2025-12-20 15:44:33.656787,2025-12-17 15:39:01.756144,-259531.900644,hit
108,left,2025-12-17 15:39:05.328563,2025-12-20 15:44:33.656425,2025-12-17 15:39:05.821145,-259527.835280,hit
109,left,2025-12-17 15:39:12.328563,2025-12-20 15:44:33.654111,2025-12-17 15:39:13.143480,-259520.510631,hit
110,right,2025-12-17 15:39:16.328563,2025-12-20 15:44:33.653749,2025-12-17 15:39:16.946192,-259516.707557,hit
111,left,2025-12-17 15:39:18.328563,2025-12-20 15:44:33.656470,2025-12-17 15:39:19.002599,-259514.653871,hit
112,right,2025-12-17 15:39:23.328563,2025-12-20 15:44:33.652365,2025-12-17 15:39:23.777346,-259509.875019,hit
113,left,2025-12-17 15:39:25.328563,2025-12-20 15:44:33.654610,2025-12-17 15:39:25.779156,-259507.875454,hit
114,left,2025-12-17 15:39:29.328563,2025-12-20 15:44:33.654248,2025-12-17 15:39:29.810005,-259503.844243,hit
115,right,2025-12-17 15:39:31.328563,2025-12-20 15:44:33.656969,2025-12-17 15:39:31.794313,-259501.862656,hit
116,left,2025-12-17 15:39:38.328563,2025-12-20 15:44:33.654656,2025-12-17 15:39:38.774455,-259494.880201,hit
117,right,2025-12-17 15:39:42.328563,2025-12-20 15:44:33.654293,2025-12-17 15:39:42.775713,-259490.878580,hit
118,left,2025-12-17 15:39:47.328563,2025-12-20 15:44:33.655517,2025-12-17 15:39:47.782037,-259485.873481,hit
119,right,2025-12-17 15:39:52.328563,2025-12-20 15:44:33.656288,2025-12-17 15:39:52.821439,-259480.834849,hit
120,right,2025-12-17 15:39:59.328563,2025-12-20 15:44:33.654429,2025-12-17 15:39:59.786405,-259473.868024,hit
121,left,2025-12-17 15:40:03.328563,2025-12-20 15:44:33.654066,2025-12-17 15:40:03.814774,-259469.839293,hit
122,right,2025-12-17 15:40:10.328563,2025-12-20 15:44:33.657558,2025-12-17 15:40:10.779517,-259462.878041,hit
123,left,2025-12-17 15:40:17.328563,2025-12-20 15:44:33.655699,2025-12-17 15:40:17.906568,-259455.749131,hit
124,left,2025-12-17 15:40:22.328563,2025-12-20 15:44:33.656470,2025-12-17 15:40:22.879257,-259450.777213,hit
125,right,2025-12-17 15:40:27.328563,2025-12-20 15:44:33.652365,2025-12-17 15:40:27.837764,-259445.814601,hit
126,left,2025-12-17 15:40:29.328563,2025-12-20 15:44:33.654610,2025-12-17 15:40:30.142371,-259443.512240,hit
127,right,2025-12-17 15:40:33.328563,2025-12-20 15:44:33.654248,2025-12-17 15:40:33.795089,-259439.859159,hit
128,right,2025-12-17 15:40:35.328563,2025-12-20 15:44:33.656969,2025-12-17 15:40:35.841376,-259437.815592,hit
129,left,2025-12-17 15:40:37.328563,2025-12-20 15:44:33.653885,2025-12-17 15:40:37.798532,-259435.855352,hit
130,right,2025-12-17 15:40:41.328563,2025-12-20 15:44:33.653522,2025-12-17 15:40:41.747850,-259431.905672,hit
131,left,2025-12-17 15:40:46.328563,2025-12-20 15:44:33.653817,2025-12-17 15:40:46.805950,-259426.847867,hit
132,left,2025-12-17 15:40:53.328563,2025-12-20 15:44:33.657286,2025-12-17 15:40:53.785883,-259419.871403,hit
133,left,2025-12-17 15:40:57.328563,2025-12-20 15:44:33.656923,2025-12-17 15:40:57.853116,-259415.803808,hit
134,right,2025-12-17 15:41:02.328563,2025-12-20 15:44:33.652365,2025-12-17 15:41:02.790311,-259410.862054,hit
135,right,2025-12-17 15:41:09.328563,2025-12-20 15:44:33.655835,2025-12-17 15:41:09.736906,-259403.918929,hit
136,right,2025-12-17 15:41:11.328563,2025-12-20 15:44:33.652751,2025-12-17 15:41:11.849183,-259401.803568,hit
137,left,2025-12-17 15:41:15.328563,2025-12-20 15:44:33.652388,2025-12-17 15:41:15.767664,-259397.884724,hit
138,left,2025-12-17 15:41:20.328563,2025-12-20 15:44:33.653635,2025-12-17 15:41:20.760368,-259392.893267,hit
139,left,2025-12-17 15:41:22.328563,2025-12-20 15:44:33.656356,2025-12-17 15:41:22.837100,-259390.819257,hit
140,right,2025-12-17 15:41:24.328563,2025-12-20 15:44:33.653272,2025-12-17 15:41:24.819271,-259388.834001,hit
141,right,2025-12-17 15:41:29.328563,2025-12-20 15:44:33.654021,2025-12-17 15:41:29.762966,-259383.891054,hit
142,left,2025-12-17 15:41:36.328563,2025-12-20 15:44:33.657037,2025-12-17 15:41:36.895452,-259376.761585,hit
143,right,2025-12-17 15:41:43.328563,2025-12-20 15:44:33.654724,2025-12-17 15:41:43.773426,-259369.881298,hit
144,right,2025-12-17 15:41:47.328563,2025-12-20 15:44:33.654361,2025-12-17 15:41:47.771623,-259365.882738,hit
145,right,2025-12-17 15:41:52.328563,2025-12-20 15:44:33.655585,2025-12-17 15:41:52.778797,-259360.876788,hit
146,left,2025-12-17 15:41:59.328563,2025-12-20 15:44:33.653272,2025-12-17 15:41:59.819496,-259353.833777,hit
147,right,2025-12-17 15:42:03.328563,2025-12-20 15:44:33.652433,2025-12-17 15:42:03.849949,-259349.802485,hit
148,right,2025-12-17 15:42:05.328563,2025-12-20 15:44:33.655154,2025-12-17 15:42:05.899097,-259347.756058,hit
149,left,2025-12-17 15:42:10.328563,2025-12-20 15:44:33.655449,2025-12-17 15:42:10.862608,-259342.792841,hit
150,right,2025-12-17 15:42:17.328563,2025-12-20 15:44:33.653590,2025-12-17 15:42:17.796928,-259335.856661,hit
151,left,2025-12-17 15:42:19.328563,2025-12-20 15:44:33.656311,2025-12-17 15:42:19.855035,-259333.801276,hit
152,left,2025-12-17 15:42:23.328563,2025-12-20 15:44:33.655948,2025-12-17 15:42:24.084445,-259329.571503,hit
153,left,2025-12-17 15:42:30.328563,2025-12-20 15:44:33.653635,2025-12-17 15:42:30.828753,-259322.824882,hit
154,right,2025-12-17 15:42:37.328563,2025-12-20 15:44:33.657581,2025-12-17 15:42:37.817544,-259315.840037,hit
155,right,2025-12-17 15:42:42.328563,2025-12-20 15:44:33.652547,2025-12-17 15:42:42.812668,-259310.839879,hit
156,right,2025-12-17 15:42:46.328563,2025-12-20 15:44:33.652660,2025-12-17 15:42:46.773951,-259306.878709,hit
157,left,2025-12-17 15:42:48.328563,2025-12-20 15:44:33.654905,2025-12-17 15:42:48.826243,-259304.828662,hit
158,left,2025-12-17 15:42:53.328563,2025-12-20 15:44:33.656130,2025-12-17 15:42:53.812965,-259299.843165,hit
159,left,2025-12-17 15:42:57.328563,2025-12-20 15:44:33.655767,2025-12-17 15:42:57.799366,-259295.856401,hit
160,right,2025-12-17 15:42:59.328563,2025-12-20 15:44:33.652683,2025-12-17 15:42:59.831213,-259293.821470,hit
161,none,,2025-12-17 15:43:02.678249,,,false_positive
161,right,2025-12-17 15:43:03.328563,2025-12-20 15:44:33.652320,2025-12-17 15:43:03.871002,-259289.781318,hit
162,left,2025-12-17 15:43:10.328563,2025-12-20 15:44:33.655812,2025-12-17 15:43:10.821860,-259282.833952,hit
163,right,2025-12-17 15:43:15.328563,2025-12-20 15:44:33.657037,2025-12-17 15:43:15.844031,-259277.813005,hit
164,left,2025-12-17 15:43:19.328563,2025-12-20 15:44:33.656674,2025-12-17 15:43:19.816057,-259273.840617,hit
165,left,2025-12-17 15:43:21.328563,2025-12-20 15:44:33.653590,2025-12-17 15:43:21.887262,-259271.766328,hit
166,right,2025-12-17 15:43:28.328563,2025-12-20 15:44:33.657082,2025-12-17 15:43:28.837239,-259264.819843,hit
167,left,2025-12-17 15:43:33.328563,2025-12-20 15:44:33.652502,2025-12-17 15:43:33.814104,-259259.838398,hit
168,right,2025-12-17 15:43:35.328563,2025-12-20 15:44:33.655223,2025-12-17 15:43:35.822778,-259257.832445,hit
169,right,2025-12-17 15:43:37.328563,2025-12-20 15:44:33.652615,2025-12-17 15:43:37.816480,-259255.836134,hit
170,right,2025-12-17 15:43:41.328563,2025-12-20 15:44:33.656651,2025-12-17 15:43:41.781526,-259251.875125,hit
171,right,2025-12-17 15:43:48.328563,2025-12-20 15:44:33.654315,2025-12-17 15:43:48.924033,-259244.730283,hit
172,left,2025-12-17 15:43:55.328563,2025-12-20 15:44:33.657331,2025-12-17 15:43:55.863964,-259237.793367,hit
173,left,2025-12-17 15:44:00.328563,2025-12-20 15:44:33.652751,2025-12-17 15:44:00.857457,-259232.795294,hit
174,left,2025-12-17 15:44:02.328563,2025-12-20 15:44:33.655472,2025-12-17 15:44:02.848735,-259230.806737,hit
175,right,2025-12-17 15:44:07.328563,2025-12-20 15:44:33.656243,2025-12-17 15:44:07.821397,-259225.834846,hit
176,left,2025-12-17 15:44:11.328563,2025-12-20 15:44:33.655880,2025-12-17 15:44:11.750372,-259221.905508,hit
177,right,2025-12-17 15:44:15.328563,2025-12-20 15:44:33.655517,2025-12-17 15:44:15.795706,-259217.859812,hit
178,left,2025-12-17 15:44:19.328563,2025-12-20 15:44:33.655154,2025-12-17 15:44:19.758577,-259213.896577,hit
179,left,2025-12-17 15:44:21.328563,2025-12-20 15:44:33.652547,2025-12-17 15:44:21.841569,-259211.810978,hit
180,right,2025-12-17 15:44:28.328563,2025-12-20 15:44:33.656016,2025-12-17 15:44:28.755973,-259204.900043,hit
181,right,2025-12-17 15:44:30.328563,2025-12-20 15:44:33.652932,2025-12-17 15:44:30.797009,-259202.855923,hit
182,left,2025-12-17 15:44:37.328563,2025-12-20 15:44:33.656425,2025-12-17 15:44:37.743733,-259195.912691,hit
183,right,2025-12-17 15:44:42.328563,2025-12-20 15:44:33.652320,2025-12-17 15:44:42.746296,-259190.906024,hit
184,left,2025-12-17 15:44:47.328563,2025-12-20 15:44:33.652615,2025-12-17 15:44:47.758231,-259185.894384,hit
185,right,2025-12-17 15:44:49.328563,2025-12-20 15:44:33.655336,2025-12-17 15:44:49.811006,-259183.844330,hit
