trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,left,2026-01-03 10:53:20.735011,2026-01-03 10:53:20.741624,2026-01-03 10:53:21.239543,0.497920,hit,7.0,7.006612245284487,7.504531792015769
2,left,2026-01-03 10:53:24.735011,2026-01-03 10:53:24.741261,2026-01-03 10:53:25.141127,0.399866,hit,11.0,11.006249433499761,11.406115541991312
3,right,2026-01-03 10:53:31.735011,2026-01-03 10:53:31.742068,2026-01-03 10:53:32.140501,0.398433,hit,18.0,18.007056690054014,18.40548937499989
4,none,,2026-01-03 10:53:32.787616,,,false_positive,,,
4,right,2026-01-03 10:53:33.735011,2026-01-03 10:53:33.744789,2026-01-03 10:53:34.322997,0.578208,hit,20.0,20.00977777846856,20.58798533398658
5,left,2026-01-03 10:53:38.735011,2026-01-03 10:53:38.742893,2026-01-03 10:53:39.138881,0.395987,hit,25.0,25.00788208656013,25.40386933402624
6,left,2026-01-03 10:53:40.735011,2026-01-03 10:53:40.739810,2026-01-03 10:53:41.182781,0.442971,hit,27.0,27.00479818630265,27.447769374994095
7,right,2026-01-03 10:53:44.735011,2026-01-03 10:53:44.739447,2026-01-03 10:53:45.184536,0.445089,hit,31.0,31.004435374517925,31.449523999996018
8,right,2026-01-03 10:53:49.735011,2026-01-03 10:53:49.743338,2026-01-03 10:53:50.183705,0.440367,hit,36.0,36.00832653132966,36.448693500016816
9,left,2026-01-03 10:53:51.735011,2026-01-03 10:53:51.746064,2026-01-03 10:53:52.229494,0.483430,hit,38.0,38.01105215452844,38.49448241700884
10,left,2026-01-03 10:53:56.735011,2026-01-03 10:53:56.738358,2026-01-03 10:53:57.123599,0.385240,hit,43.0,43.00334693916375,43.38858700002311
11,right,2026-01-03 10:54:01.735011,2026-01-03 10:54:01.742249,2026-01-03 10:54:02.134295,0.392046,hit,48.0,48.00723809591727,48.399283792008646
12,right,2026-01-03 10:54:03.735011,2026-01-03 10:54:03.744971,2026-01-03 10:54:04.188809,0.443838,hit,50.0,50.00995918439003,50.45379745902028
13,left,2026-01-03 10:54:10.735011,2026-01-03 10:54:10.739991,2026-01-03 10:54:11.134630,0.394639,hit,57.0,57.00497959222412,57.399619000032544
14,right,2026-01-03 10:54:17.735011,2026-01-03 10:54:17.740798,2026-01-03 10:54:18.207011,0.466212,hit,64.0,64.00578684877837,64.47199895902304
15,left,2026-01-03 10:54:21.735011,2026-01-03 10:54:21.740436,2026-01-03 10:54:22.139102,0.398667,hit,68.0,68.00542403699365,68.40409070899477
16,right,2026-01-03 10:54:25.735011,2026-01-03 10:54:25.745882,2026-01-03 10:54:26.175763,0.429881,hit,72.0,72.01087074866518,72.44075166701805
17,left,2026-01-03 10:54:30.735011,2026-01-03 10:54:30.738177,2026-01-03 10:54:31.144396,0.406219,hit,77.0,77.00316553324228,77.4093849590281
18,left,2026-01-03 10:54:37.735011,2026-01-03 10:54:37.744789,2026-01-03 10:54:38.180635,0.435846,hit,84.0,84.00977777846856,84.44562404201133
19,left,2026-01-03 10:54:41.735011,2026-01-03 10:54:41.744426,2026-01-03 10:54:42.150341,0.405915,hit,88.0,88.00941496668383,88.41532962501515
20,right,2026-01-03 10:54:43.735011,2026-01-03 10:54:43.741343,2026-01-03 10:54:44.179540,0.438198,hit,90.0,90.00633106648456,90.44452858401928
21,left,2026-01-03 10:54:45.735011,2026-01-03 10:54:45.744064,2026-01-03 10:54:46.150723,0.406659,hit,92.0,92.00905215489911,92.4157111250097
22,right,2026-01-03 10:54:52.735011,2026-01-03 10:54:52.739084,2026-01-03 10:54:53.138350,0.399267,hit,99.0,99.0040725627332,99.40333908400498
23,right,2026-01-03 10:54:56.735011,2026-01-03 10:54:56.738721,2026-01-03 10:54:57.181860,0.443139,hit,103.0,103.00370975094847,103.44684849999612
24,right,2026-01-03 10:55:01.735011,2026-01-03 10:55:01.742612,2026-01-03 10:55:02.156834,0.414222,hit,108.0,108.007600907702,108.4218227090314
25,left,2026-01-03 10:55:03.735011,2026-01-03 10:55:03.745333,2026-01-03 10:55:04.157262,0.411929,hit,110.0,110.01032199617475,110.42225058400072
26,right,2026-01-03 10:55:08.735011,2026-01-03 10:55:08.746378,2026-01-03 10:55:09.176285,0.429907,hit,115.0,115.0113667807309,115.44127345900051
27,right,2026-01-03 10:55:10.735011,2026-01-03 10:55:10.743294,2026-01-03 10:55:11.219877,0.476583,hit,117.0,117.00828288053162,117.48486595903523
28,right,2026-01-03 10:55:14.735011,2026-01-03 10:55:14.742932,2026-01-03 10:55:15.135014,0.392083,hit,121.0,121.0079200687469,121.40000287501607
29,left,2026-01-03 10:55:19.735011,2026-01-03 10:55:19.741036,2026-01-03 10:55:20.149117,0.408081,hit,126.0,126.00602437678026,126.41410508402623
30,right,2026-01-03 10:55:26.735011,2026-01-03 10:55:26.741843,2026-01-03 10:55:27.167587,0.425743,hit,133.0,133.0068316333345,133.43257500004256
31,left,2026-01-03 10:55:33.735011,2026-01-03 10:55:33.742668,2026-01-03 10:55:34.155427,0.412759,hit,140.0,140.00765702984063,140.42041554203024
32,left,2026-01-03 10:55:37.735011,2026-01-03 10:55:37.742306,2026-01-03 10:55:38.143216,0.400911,hit,144.0,144.0072942180559,144.40820483403513
33,right,2026-01-03 10:55:42.735011,2026-01-03 10:55:42.746197,2026-01-03 10:55:43.265409,0.519212,hit,149.0,149.01118537486764,149.5303969589877
34,right,2026-01-03 10:55:49.735011,2026-01-03 10:55:49.741217,2026-01-03 10:55:50.119207,0.377990,hit,156.0,156.00620578270173,156.3841956250253
35,left,2026-01-03 10:55:54.735011,2026-01-03 10:55:54.745108,2026-01-03 10:55:55.132884,0.387776,hit,161.0,161.01009693945525,161.39787266700296
36,left,2026-01-03 10:56:01.735011,2026-01-03 10:56:01.740129,2026-01-03 10:56:02.150468,0.410339,hit,168.0,168.00511734734755,168.41545608401066
37,left,2026-01-03 10:56:05.735011,2026-01-03 10:56:05.739766,2026-01-03 10:56:06.248946,0.509180,hit,172.0,172.00475453550462,172.51393491699127
38,right,2026-01-03 10:56:07.735011,2026-01-03 10:56:07.742487,2026-01-03 10:56:08.148844,0.406357,hit,174.0,174.00747562397737,174.41383229201892
39,right,2026-01-03 10:56:11.735011,2026-01-03 10:56:11.742124,2026-01-03 10:56:12.139773,0.397648,hit,178.0,178.00711281219264,178.40476129204035
40,left,2026-01-03 10:56:13.735011,2026-01-08 03:57:43.820699,2026-01-03 10:56:14.171958,-406889.648741,hit,180.0,407070.0856876342,180.43694670900004
41,left,2026-01-03 10:56:20.735011,2026-01-08 03:57:43.818840,2026-01-03 10:56:21.125899,-406882.692941,hit,187.0,407070.08382822375,187.39088754198747
42,right,2026-01-03 10:56:22.735011,2026-01-08 03:57:43.821561,2026-01-03 10:56:23.142568,-406880.678993,hit,189.0,407070.0865493122,189.4075566669926
43,right,2026-01-03 10:56:27.735011,2026-01-08 03:57:43.822332,2026-01-03 10:56:28.127015,-406875.695317,hit,194.0,407070.08732028736,194.3920032500173
44,left,2026-01-03 10:56:29.735011,2026-01-08 03:57:43.819248,2026-01-03 10:56:30.100455,-406873.718793,hit,196.0,407070.08423638705,196.36544312501792
45,right,2026-01-03 10:56:36.735011,2026-01-08 03:57:43.823193,2026-01-03 10:56:37.144810,-406866.678383,hit,203.0,407070.0881819654,203.40979875001358
46,left,2026-01-03 10:56:40.735011,2026-01-08 03:57:43.822831,2026-01-03 10:56:41.111256,-406862.711575,hit,207.0,407070.08781915356,207.37624424998648
