trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,right,0.150,2025-11-30 11:41:05.011329,2025-11-30 11:41:05.630868,0.619540,hit
2,right,0.050,2025-11-30 11:41:09.011329,2025-11-30 11:41:09.505422,0.494093,hit
3,left,0.100,2025-11-30 11:41:13.011329,2025-11-30 11:41:13.521630,0.510301,hit
4,right,0.150,2025-11-30 11:41:15.011329,2025-11-30 11:41:15.514774,0.503445,hit
5,right,0.050,2025-11-30 11:41:22.011329,2025-11-30 11:41:22.477177,0.465848,hit
6,right,0.100,2025-11-30 11:41:27.011329,2025-11-30 11:41:27.528742,0.517413,hit
7,left,0.150,2025-11-30 11:41:31.011329,2025-11-30 11:41:31.436437,0.425108,hit
8,right,0.050,2025-11-30 11:41:38.011329,2025-11-30 11:41:38.627026,0.615697,hit
9,right,0.100,2025-11-30 11:41:45.011329,2025-11-30 11:41:45.550086,0.538758,hit
10,left,0.100,2025-11-30 11:41:50.011329,2025-11-30 11:41:50.451969,0.440640,hit
11,left,0.100,2025-11-30 11:41:54.011329,2025-11-30 11:41:54.491889,0.480561,hit
12,left,0.150,2025-11-30 11:41:58.011329,2025-11-30 11:41:58.433470,0.422142,hit
13,left,0.150,2025-11-30 11:42:05.011329,2025-11-30 11:42:05.506657,0.495328,hit
14,right,0.150,2025-11-30 11:42:10.011329,2025-11-30 11:42:10.561870,0.550541,hit
15,left,0.100,2025-11-30 11:42:17.011329,2025-11-30 11:42:17.433449,0.422120,hit
16,left,0.050,2025-11-30 11:42:22.011329,2025-11-30 11:42:22.438696,0.427367,hit
17,left,0.100,2025-11-30 11:42:24.011329,2025-11-30 11:42:24.564115,0.552786,hit
18,right,0.150,2025-11-30 11:42:29.011329,2025-11-30 11:42:29.556986,0.545657,hit
19,left,0.100,2025-11-30 11:42:33.011329,2025-11-30 11:42:33.509493,0.498164,hit
20,right,0.100,2025-11-30 11:42:38.011329,2025-11-30 11:42:38.463262,0.451934,hit
21,right,0.100,2025-11-30 11:42:40.011329,2025-11-30 11:42:40.441934,0.430605,hit
22,right,0.150,2025-11-30 11:42:42.011329,2025-11-30 11:42:42.413430,0.402101,hit
23,left,0.150,2025-11-30 11:42:44.011329,2025-11-30 11:42:44.626452,0.615124,hit
24,right,0.050,2025-11-30 11:42:51.011329,2025-11-30 11:42:51.434902,0.423574,hit
25,left,0.150,2025-11-30 11:42:56.011329,2025-11-30 11:42:56.589827,0.578498,hit
26,left,0.100,2025-11-30 11:43:00.011329,2025-11-30 11:43:00.459786,0.448457,hit
27,right,0.150,2025-11-30 11:43:02.011329,2025-11-30 11:43:02.528395,0.517066,hit
28,right,0.150,2025-11-30 11:43:04.011329,2025-11-30 11:43:04.467628,0.456299,hit
29,left,0.050,2025-11-30 11:43:08.011329,2025-11-30 11:43:08.518165,0.506836,hit
30,right,0.050,2025-11-30 11:43:15.011329,2025-11-30 11:43:15.519354,0.508025,hit
31,left,0.050,2025-11-30 11:43:22.011329,2025-11-30 11:43:22.454716,0.443387,hit
32,right,0.050,2025-11-30 11:43:29.011329,2025-11-30 11:43:29.460341,0.449012,hit
33,right,0.050,2025-11-30 11:43:31.011329,2025-11-30 11:43:31.643474,0.632145,hit
34,right,0.150,2025-11-30 11:43:36.011329,2025-11-30 11:43:36.561552,0.550223,hit
35,right,0.050,2025-11-30 11:43:38.011329,2025-11-30 11:43:38.546963,0.535634,hit
36,right,0.150,2025-11-30 11:43:42.011329,2025-11-30 11:43:42.499907,0.488578,hit
37,left,0.100,2025-11-30 11:43:47.011329,2025-11-30 11:43:47.470496,0.459168,hit
38,left,0.100,2025-11-30 11:43:51.011329,2025-11-30 11:43:51.522294,0.510965,hit
39,right,0.150,2025-11-30 11:43:58.011329,2025-11-30 11:43:58.594103,0.582774,hit
40,right,0.050,2025-11-30 11:44:05.011329,2025-11-30 11:44:05.738065,0.726737,hit
41,left,0.150,2025-11-30 11:44:09.011329,2025-11-30 11:44:09.765944,0.754615,hit
42,left,0.050,2025-11-30 11:44:14.011329,2025-11-30 11:44:14.654079,0.642750,hit
43,left,0.100,2025-11-30 11:44:19.011329,2025-11-30 11:44:19.580725,0.569397,hit
