trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,right,0.150,2025-11-30 19:34:06.954925,2025-11-30 19:34:07.468389,0.513464,hit
2,right,0.050,2025-11-30 19:34:10.954925,2025-11-30 19:34:11.471466,0.516541,hit
3,left,0.100,2025-11-30 19:34:14.954925,2025-11-30 19:34:15.469883,0.514958,hit
4,right,0.150,2025-11-30 19:34:16.954925,2025-11-30 19:34:17.519950,0.565025,hit
5,right,0.050,2025-11-30 19:34:23.954925,2025-11-30 19:34:24.477399,0.522474,hit
6,right,0.100,2025-11-30 19:34:28.954925,2025-11-30 19:34:29.522117,0.567193,hit
7,left,0.150,2025-11-30 19:34:32.954925,2025-11-30 19:34:33.417906,0.462981,hit
8,right,0.050,2025-11-30 19:34:39.954925,2025-11-30 19:34:40.518279,0.563355,hit
9,right,0.100,2025-11-30 19:34:46.954925,2025-11-30 19:34:47.408776,0.453852,hit
10,left,0.100,2025-11-30 19:34:51.954925,2025-11-30 19:34:52.459198,0.504274,hit
11,left,0.100,2025-11-30 19:34:55.954925,2025-11-30 19:34:56.457691,0.502767,hit
12,left,0.150,2025-11-30 19:34:59.954925,2025-11-30 19:35:00.406913,0.451988,hit
13,left,0.150,2025-11-30 19:35:06.954925,2025-11-30 19:35:07.438057,0.483133,hit
14,right,0.150,2025-11-30 19:35:11.954925,2025-11-30 19:35:12.413950,0.459025,hit
15,left,0.100,2025-11-30 19:35:18.954925,2025-11-30 19:35:19.468871,0.513947,hit
16,left,0.050,2025-11-30 19:35:23.954925,2025-11-30 19:35:24.460480,0.505556,hit
17,left,0.100,2025-11-30 19:35:25.954925,2025-11-30 19:35:26.471755,0.516830,hit
18,right,0.150,2025-11-30 19:35:30.954925,2025-11-30 19:35:31.422680,0.467756,hit
19,left,0.100,2025-11-30 19:35:34.954925,2025-11-30 19:35:35.419740,0.464815,hit
20,right,0.100,2025-11-30 19:35:39.954925,2025-11-30 19:35:40.451994,0.497069,hit
21,right,0.100,2025-11-30 19:35:41.954925,2025-11-30 19:35:42.441395,0.486470,hit
22,right,0.150,2025-11-30 19:35:43.954925,2025-11-30 19:35:44.431266,0.476341,hit
23,left,0.150,2025-11-30 19:35:45.954925,2025-11-30 19:35:46.396385,0.441460,hit
24,right,0.050,2025-11-30 19:35:52.954925,2025-11-30 19:35:53.451151,0.496226,hit
25,left,0.150,2025-11-30 19:35:57.954925,2025-11-30 19:35:58.419050,0.464125,hit
26,left,0.100,2025-11-30 19:36:01.954925,2025-11-30 19:36:02.420489,0.465565,hit
27,right,0.150,2025-11-30 19:36:03.954925,2025-11-30 19:36:04.404555,0.449630,hit
28,right,0.150,2025-11-30 19:36:05.954925,2025-11-30 19:36:06.403876,0.448951,hit
29,left,0.050,2025-11-30 19:36:09.954925,2025-11-30 19:36:10.432752,0.477828,hit
30,right,0.050,2025-11-30 19:36:16.954925,2025-11-30 19:36:17.452287,0.497363,hit
31,left,0.050,2025-11-30 19:36:23.954925,2025-11-30 19:36:24.447696,0.492771,hit
32,right,0.050,2025-11-30 19:36:30.954925,2025-11-30 19:36:31.568455,0.613530,hit
33,right,0.050,2025-11-30 19:36:32.954925,2025-11-30 19:36:33.463938,0.509013,hit
34,right,0.150,2025-11-30 19:36:37.954925,2025-11-30 19:36:38.458436,0.503512,hit
35,right,0.050,2025-11-30 19:36:39.954925,2025-11-30 19:36:40.395439,0.440514,hit
36,right,0.150,2025-11-30 19:36:43.954925,2025-11-30 19:36:44.416536,0.461611,hit
37,left,0.100,2025-11-30 19:36:48.954925,2025-11-30 19:36:49.441622,0.486697,hit
38,left,0.100,2025-11-30 19:36:52.954925,2025-11-30 19:36:53.433458,0.478533,hit
39,right,0.150,2025-11-30 19:36:59.954925,2025-11-30 19:37:00.587560,0.632635,hit
40,right,0.050,2025-11-30 19:37:06.954925,2025-11-30 19:37:07.589587,0.634662,hit
41,left,0.150,2025-11-30 19:37:10.954925,2025-11-30 19:37:11.599486,0.644561,hit
