trial,side,utc_timestamp,RT_seconds,resp_status
1,left,2025-12-17 14:31:40.047556+00:00,0.668622,hit
2,left,2025-12-17 14:31:44.047193+00:00,0.524386,hit
3,right,2025-12-17 14:31:51.042213+00:00,0.536338,hit
4,right,2025-12-17 14:31:53.044934+00:00,0.59629,hit
5,left,2025-12-17 14:31:58.048826+00:00,0.569664,hit
6,left,2025-12-17 14:32:00.045742+00:00,0.56673,hit
7,right,2025-12-17 14:32:04.045379+00:00,0.551312,hit
8,right,2025-12-17 14:32:09.043483+00:00,0.509947,hit
9,left,2025-12-17 14:32:11.046204+00:00,0.466314,hit
10,left,2025-12-17 14:32:16.044290+00:00,0.543918,hit
11,right,2025-12-17 14:32:21.042395+00:00,0.513926,hit
12,right,2025-12-17 14:32:23.045116+00:00,0.487163,hit
13,left,2025-12-17 14:32:30.045923+00:00,0.505673,hit
14,right,2025-12-17 14:32:37.046753+00:00,0.544215,hit
15,left,2025-12-17 14:32:41.046386+00:00,0.471482,hit
16,right,2025-12-17 14:32:45.046023+00:00,0.508279,hit
17,left,2025-12-17 14:32:50.044109+00:00,0.478332,hit
18,left,2025-12-17 14:32:57.044934+00:00,0.471407,hit
19,left,2025-12-17 14:33:01.044571+00:00,0.430099,hit
20,right,2025-12-17 14:33:03.041488+00:00,0.511165,hit
21,left,2025-12-17 14:33:05.044209+00:00,0.523361,hit
22,right,2025-12-17 14:33:12.045016+00:00,0.529945,hit
23,right,2025-12-17 14:33:16.044653+00:00,0.49485,hit
24,right,2025-12-17 14:33:21.042758+00:00,0.456027,hit
25,left,2025-12-17 14:33:23.045479+00:00,0.489074,hit
26,right,2025-12-17 14:33:28.049370+00:00,0.514954,hit
27,right,2025-12-17 14:33:30.046286+00:00,0.457744,hit
28,right,2025-12-17 14:33:34.045923+00:00,0.495415,hit
29,left,2025-12-17 14:33:39.044027+00:00,0.463232,hit
30,right,2025-12-17 14:33:46.044835+00:00,0.522952,hit
31,left,2025-12-17 14:33:53.045660+00:00,0.571444,hit
32,left,2025-12-17 14:33:57.045297+00:00,0.428616,hit
33,right,2025-12-17 14:34:02.049188+00:00,0.502718,hit
34,right,2025-12-17 14:34:09.044209+00:00,0.532657,hit
35,left,2025-12-17 14:34:14.048100+00:00,0.576008,hit
36,left,2025-12-17 14:34:21.043120+00:00,0.527318,hit
37,left,2025-12-17 14:34:25.042758+00:00,0.42794,hit
38,right,2025-12-17 14:34:27.045479+00:00,0.471659,hit
39,right,2025-12-17 14:34:31.045116+00:00,0.489557,hit
40,left,2025-12-17 14:34:33.042032+00:00,0.457721,hit
41,left,2025-12-17 14:34:40.045116+00:00,0.521861,hit
42,right,2025-12-17 14:34:42.045116+00:00,0.496164,hit
43,right,2025-12-17 14:34:47.045116+00:00,0.465098,hit
44,left,2025-12-17 14:34:49.045116+00:00,0.451802,hit
45,right,2025-12-17 14:34:56.045116+00:00,0.445982,hit
46,left,2025-12-17 14:35:00.045116+00:00,0.650549,hit
47,right,2025-12-17 14:35:04.045116+00:00,0.483478,hit
48,left,2025-12-17 14:35:09.045116+00:00,0.480164,hit
49,right,2025-12-17 14:35:14.045116+00:00,0.513138,hit
50,right,2025-12-17 14:35:18.045116+00:00,0.455525,hit
51,left,2025-12-17 14:35:25.045116+00:00,0.547382,hit
52,left,2025-12-17 14:35:27.045116+00:00,0.520897,hit
53,left,2025-12-17 14:35:32.045116+00:00,0.508145,hit
54,right,2025-12-17 14:35:39.045116+00:00,0.569419,hit
55,left,2025-12-17 14:35:43.045116+00:00,0.502463,hit
56,right,2025-12-17 14:35:45.045116+00:00,0.628353,hit
57,left,2025-12-17 14:35:50.045116+00:00,0.505786,hit
58,right,2025-12-17 14:35:57.045116+00:00,0.51895,hit
59,left,2025-12-17 14:36:04.045116+00:00,0.729526,hit
60,left,2025-12-17 14:36:08.045116+00:00,0.546188,hit
61,left,2025-12-17 14:36:10.045116+00:00,0.471608,hit
62,right,2025-12-17 14:36:12.045116+00:00,0.441707,hit
63,right,2025-12-17 14:36:16.045116+00:00,0.469064,hit
64,right,2025-12-17 14:36:21.045116+00:00,0.46445,hit
65,right,2025-12-17 14:36:23.045116+00:00,0.417224,hit
66,left,2025-12-17 14:36:30.045116+00:00,0.494599,hit
67,left,2025-12-17 14:36:35.045116+00:00,0.446503,hit
68,right,2025-12-17 14:36:42.045116+00:00,0.440653,hit
69,right,2025-12-17 14:36:46.045116+00:00,0.447359,hit
