trial,side,utc_timestamp,RT_seconds,resp_status
1,none,,,false_positive
1,left,2026-01-03 14:15:31.247153+00:00,0.762271,hit
2,left,2026-01-03 14:15:35.246790+00:00,0.388152,hit
3,right,2026-01-03 14:15:42.247597+00:00,0.432061,hit
4,right,2026-01-03 14:15:44.250318+00:00,0.495025,hit
5,left,2026-01-03 14:15:49.248423+00:00,0.442505,hit
6,left,2026-01-03 14:15:51.245339+00:00,0.448932,hit
7,right,2026-01-03 14:15:55.244976+00:00,0.411554,hit
8,right,2026-01-03 14:16:00.248867+00:00,0.402185,hit
9,left,2026-01-03 14:16:02.251593+00:00,0.480898,hit
10,left,2026-01-03 14:16:07.243887+00:00,0.457706,hit
11,right,2026-01-03 14:16:12.247779+00:00,0.413676,hit
12,right,2026-01-03 14:16:14.250500+00:00,0.469607,hit
13,left,2026-01-03 14:16:21.245520+00:00,0.465093,hit
14,right,2026-01-03 14:16:28.246327+00:00,0.432652,hit
15,left,2026-01-03 14:16:32.245965+00:00,0.485312,hit
16,right,2026-01-03 14:16:36.251411+00:00,0.405393,hit
17,left,2026-01-03 14:16:41.243706+00:00,0.394128,hit
18,left,2026-01-03 14:16:48.250318+00:00,0.400064,hit
19,left,2026-01-03 14:16:52.249956+00:00,0.426675,hit
20,right,2026-01-03 14:16:54.246872+00:00,0.450747,hit
21,left,2026-01-03 14:16:56.249593+00:00,0.398339,hit
22,right,2026-01-03 14:17:03.244613+00:00,0.628995,hit
23,right,2026-01-03 14:17:07.244250+00:00,0.456332,hit
24,right,2026-01-03 14:17:12.248142+00:00,0.426473,hit
25,left,2026-01-03 14:17:14.250863+00:00,0.464809,hit
26,right,2026-01-03 14:17:19.248971+00:00,0.444653,hit
27,right,2026-01-03 14:17:21.245883+00:00,0.42603,hit
28,right,2026-01-03 14:17:25.244401+00:00,0.42997,hit
29,left,2026-01-03 14:17:30.248315+00:00,0.397493,hit
30,right,2026-01-03 14:17:37.243313+00:00,0.45034,hit
31,left,2026-01-03 14:17:44.249948+00:00,0.464268,hit
32,left,2026-01-03 14:17:48.249585+00:00,0.437208,hit
33,right,2026-01-03 14:17:53.247666+00:00,0.451709,hit
34,right,2026-01-03 14:18:00.248496+00:00,0.434855,hit
35,left,2026-01-03 14:18:05.246578+00:00,0.476349,hit
36,left,2026-01-03 14:18:12.247408+00:00,0.442276,hit
37,left,2026-01-03 14:18:16.247045+00:00,0.490534,hit
38,right,2026-01-03 14:18:18.249766+00:00,0.470181,hit
39,right,2026-01-03 14:18:22.249403+00:00,0.458944,hit
40,left,2026-01-03 14:18:24.245198+00:00,0.457618,hit
41,left,2026-01-03 14:18:31.251810+00:00,0.457208,hit
42,right,2026-01-03 14:18:33.242916+00:00,0.438017,hit
43,right,2026-01-03 14:18:38.246830+00:00,0.476993,hit
44,left,2026-01-03 14:18:40.249551+00:00,0.435787,hit
45,right,2026-01-03 14:18:47.244549+00:00,0.474579,hit
46,left,2026-01-03 14:18:51.249996+00:00,0.431332,hit
47,right,2026-01-03 14:18:55.249633+00:00,0.644322,hit
48,left,2026-01-03 14:19:00.247737+00:00,0.411866,hit
49,right,2026-01-03 14:19:05.251628+00:00,0.406668,hit
50,right,2026-01-03 14:19:09.245456+00:00,0.449014,hit
51,left,2026-01-03 14:19:16.246286+00:00,0.41452,hit
52,left,2026-01-03 14:19:18.249007+00:00,0.615625,hit
53,left,2026-01-03 14:19:23.247093+00:00,0.443763,hit
54,right,2026-01-03 14:19:30.247919+00:00,0.482493,hit
55,left,2026-01-03 14:19:34.247556+00:00,0.493562,hit
56,right,2026-01-03 14:19:36.244472+00:00,0.706568,hit
57,left,2026-01-03 14:19:41.248363+00:00,0.469393,hit
58,right,2026-01-03 14:19:48.249188+00:00,0.511462,hit
59,left,2026-01-03 14:19:55.249996+00:00,0.509578,hit
60,left,2026-01-03 14:19:59.249633+00:00,0.488319,hit
61,left,2026-01-03 14:20:01.252359+00:00,0.470564,hit
