trial,side,utc_timestamp,RT_seconds,resp_status
1,left,2025-12-17 11:37:42.841361+00:00,1.068456,hit
2,left,2025-12-17 11:37:46.841176+00:00,0.574611,hit
3,right,2025-12-17 11:37:53.845086+00:00,0.499865,hit
4,right,2025-12-17 11:37:55.842002+00:00,0.562964,hit
5,left,2025-12-17 11:38:00.840106+00:00,0.46808,hit
6,left,2025-12-17 11:38:02.842832+00:00,0.486226,hit
7,right,2025-12-17 11:38:06.842464+00:00,0.45429,hit
8,right,2025-12-17 11:38:11.840551+00:00,0.551172,hit
9,left,2025-12-17 11:38:13.843272+00:00,0.603289,hit
10,left,2025-12-17 11:38:18.841376+00:00,0.491691,hit
11,right,2025-12-17 11:38:23.845272+00:00,0.433572,hit
12,right,2025-12-17 11:38:25.842183+00:00,0.475131,hit
13,left,2025-12-17 11:38:32.843013+00:00,0.528564,hit
14,right,2025-12-17 11:38:39.843816+00:00,0.462841,hit
15,left,2025-12-17 11:38:43.843453+00:00,0.490732,hit
16,right,2025-12-17 11:38:47.843090+00:00,0.500758,hit
17,left,2025-12-17 11:38:52.841195+00:00,0.588486,hit
18,left,2025-12-17 11:38:59.842002+00:00,0.524391,hit
19,left,2025-12-17 11:39:03.841639+00:00,0.508983,hit
20,right,2025-12-17 11:39:05.844360+00:00,0.646488,hit
21,left,2025-12-17 11:39:07.841276+00:00,0.6131,hit
22,right,2025-12-17 11:39:14.842102+00:00,0.502441,hit
23,right,2025-12-17 11:39:18.841739+00:00,0.470464,hit
24,right,2025-12-17 11:39:23.845634+00:00,0.450377,hit
25,left,2025-12-17 11:39:25.842546+00:00,0.586179,hit
26,right,2025-12-17 11:39:30.840650+00:00,0.460337,hit
27,right,2025-12-17 11:39:32.837566+00:00,0.417738,hit
28,right,2025-12-17 11:39:36.843013+00:00,0.426472,hit
29,left,2025-12-17 11:39:41.841095+00:00,0.486405,hit
30,right,2025-12-17 11:39:48.841920+00:00,0.501647,hit
31,left,2025-12-17 11:39:55.842727+00:00,0.650882,hit
32,left,2025-12-17 11:39:59.842365+00:00,0.460169,hit
33,right,2025-12-17 11:40:04.840469+00:00,0.435793,hit
34,right,2025-12-17 11:40:11.841276+00:00,0.462175,hit
35,left,2025-12-17 11:40:16.839381+00:00,0.495959,hit
36,left,2025-12-17 11:40:23.840188+00:00,0.52817,hit
37,left,2025-12-17 11:40:27.845634+00:00,0.427251,hit
38,right,2025-12-17 11:40:29.842546+00:00,0.451165,hit
39,right,2025-12-17 11:40:33.842183+00:00,0.452459,hit
40,left,2025-12-17 11:40:35.844904+00:00,0.469534,hit
41,left,2025-12-17 11:40:42.842142500+00:00,0.4754935,hit
42,right,2025-12-17 11:40:44.842142500+00:00,0.4366725,hit
43,right,2025-12-17 11:40:49.842142500+00:00,0.5531495,hit
44,left,2025-12-17 11:40:51.842142500+00:00,0.4734205,hit
45,right,2025-12-17 11:40:58.842142500+00:00,0.4445155,hit
46,left,2025-12-17 11:41:02.842142500+00:00,0.4047875,hit
47,right,2025-12-17 11:41:06.842142500+00:00,0.4118465,hit
48,left,2025-12-17 11:41:11.842142500+00:00,0.4461285,hit
49,right,2025-12-17 11:41:16.842142500+00:00,0.4329265,hit
50,right,2025-12-17 11:41:20.842142500+00:00,0.4230655,hit
51,left,2025-12-17 11:41:27.842142500+00:00,0.4579095,hit
52,left,2025-12-17 11:41:29.842142500+00:00,0.4452665,hit
53,left,2025-12-17 11:41:34.842142500+00:00,0.4868305,hit
54,right,2025-12-17 11:41:41.842142500+00:00,0.4980265,hit
55,left,2025-12-17 11:41:45.842142500+00:00,0.5349105,hit
56,right,2025-12-17 11:41:47.842142500+00:00,0.4489055,hit
57,left,2025-12-17 11:41:52.842142500+00:00,0.5152525,hit
58,right,2025-12-17 11:41:59.842142500+00:00,0.5363905,hit
59,left,2025-12-17 11:42:06.842142500+00:00,0.5363995,hit
60,left,2025-12-17 11:42:10.842142500+00:00,0.5058205,hit
61,left,2025-12-17 11:42:12.842142500+00:00,0.4433105,hit
62,right,2025-12-17 11:42:14.842142500+00:00,0.4639115,hit
63,right,2025-12-17 11:42:18.842142500+00:00,0.4719845,hit
64,right,2025-12-17 11:42:23.842142500+00:00,0.4423215,hit
65,right,2025-12-17 11:42:25.842142500+00:00,0.4603545,hit
66,left,2025-12-17 11:42:32.842142500+00:00,0.5364445,hit
67,left,2025-12-17 11:42:37.842142500+00:00,0.5902905,hit
68,right,2025-12-17 11:42:44.842142500+00:00,0.4618195,hit
69,right,2025-12-17 11:42:48.842142500+00:00,0.4329135,hit
70,left,2025-12-17 11:42:52.842142500+00:00,0.4661345,hit
71,right,2025-12-17 11:42:57.842142500+00:00,0.5091485,hit
72,left,2025-12-17 11:42:59.842142500+00:00,0.5107125,hit
73,left,2025-12-17 11:43:03.842142500+00:00,0.5359595,hit
74,left,2025-12-17 11:43:08.842142500+00:00,0.5548655,hit
75,right,2025-12-17 11:43:15.842142500+00:00,0.6674285,hit
76,left,2025-12-17 11:43:17.842142500+00:00,0.8473655,hit
77,left,2025-12-17 11:43:24.842142500+00:00,0.5338995,hit
78,right,2025-12-17 11:43:26.842142500+00:00,0.5103275,hit
79,right,2025-12-17 11:43:31.842142500+00:00,0.4980485,hit
80,right,2025-12-17 11:43:35.842142500+00:00,0.4524925,hit
81,right,2025-12-17 11:43:37.842142500+00:00,0.4938135,hit
82,left,2025-12-17 11:43:42.842142500+00:00,0.5199495,hit
83,right,2025-12-17 11:43:47.842142500+00:00,0.5501285,hit
