trial,side,utc_timestamp,RT_seconds,resp_status
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,left,2026-01-03 14:38:56.381440+00:00,0.27129,hit
2,left,2026-01-03 14:39:00.224342+00:00,0.541871,hit
3,right,2026-01-03 14:39:07.225150+00:00,0.439012,hit
4,right,2026-01-03 14:39:09.227871+00:00,0.485233,hit
5,left,2026-01-03 14:39:14.225975+00:00,0.489927,hit
6,left,2026-01-03 14:39:16.222891+00:00,0.492055,hit
7,right,2026-01-03 14:39:20.222528+00:00,0.455225,hit
8,right,2026-01-03 14:39:25.226419+00:00,0.378828,hit
9,left,2026-01-03 14:39:27.229145+00:00,0.409779,hit
10,none,,,false_positive
10,left,2026-01-03 14:39:32.221440+00:00,0.402362,hit
11,right,2026-01-03 14:39:37.225331+00:00,0.570131,hit
12,right,2026-01-03 14:39:39.228052+00:00,0.544875,hit
13,left,2026-01-03 14:39:46.223073+00:00,0.507215,hit
14,right,2026-01-03 14:39:53.223880+00:00,0.525737,hit
15,left,2026-01-03 14:39:57.223517+00:00,0.477503,hit
16,right,2026-01-03 14:40:01.228964+00:00,0.416777,hit
17,left,2026-01-03 14:40:06.221258+00:00,0.078615,hit
18,none,,,false_positive
18,left,2026-01-03 14:40:13.227871+00:00,0.455534,hit
19,left,2026-01-03 14:40:17.227508+00:00,0.522502,hit
20,right,2026-01-03 14:40:19.224424+00:00,0.540488,hit
21,left,2026-01-03 14:40:21.227145+00:00,0.540445,hit
22,right,2026-01-03 14:40:28.222166+00:00,0.426483,hit
23,right,2026-01-03 14:40:32.221803+00:00,0.440739,hit
24,right,2026-01-03 14:40:37.225694+00:00,0.428526,hit
25,left,2026-01-03 14:40:39.228415+00:00,0.497355,hit
26,right,2026-01-03 14:40:44.228710+00:00,0.446177,hit
27,right,2026-01-03 14:40:46.223863+00:00,0.66243,hit
28,right,2026-01-03 14:40:50.223500+00:00,0.415865,hit
29,left,2026-01-03 14:40:55.227391+00:00,0.4275,hit
30,right,2026-01-03 14:41:02.228198+00:00,0.470746,hit
31,left,2026-01-03 14:41:09.229024+00:00,0.493659,hit
32,left,2026-01-03 14:41:13.225694+00:00,0.507741,hit
33,right,2026-01-03 14:41:18.225694+00:00,0.540803,hit
34,right,2026-01-03 14:41:25.225694+00:00,0.436524,hit
35,left,2026-01-03 14:41:30.225694+00:00,0.528326,hit
36,left,2026-01-03 14:41:37.225694+00:00,0.444159,hit
37,left,2026-01-03 14:41:41.225694+00:00,0.46518,hit
38,right,2026-01-03 14:41:43.225694+00:00,0.499653,hit
39,right,2026-01-03 14:41:47.225694+00:00,0.497483,hit
40,left,2026-01-03 14:41:49.225694+00:00,0.518048,hit
