trial,side,utc_timestamp,RT_seconds,resp_status
1,none,,,false_positive
1,left,2025-12-17 15:31:06.335176+00:00,0.596816,hit
2,left,2025-12-17 15:31:10.334813+00:00,0.45504,hit
3,right,2025-12-17 15:31:17.335620+00:00,0.489537,hit
4,right,2025-12-17 15:31:19.338341+00:00,0.54936,hit
5,left,2025-12-17 15:31:24.336446+00:00,0.542599,hit
6,left,2025-12-17 15:31:26.339171+00:00,0.727396,hit
7,right,2025-12-17 15:31:30.338808+00:00,0.44607,hit
8,right,2025-12-17 15:31:35.336890+00:00,0.506121,hit
9,left,2025-12-17 15:31:37.339616+00:00,0.607729,hit
10,left,2025-12-17 15:31:42.331910+00:00,0.499623,hit
11,right,2025-12-17 15:31:47.335802+00:00,0.485857,hit
12,right,2025-12-17 15:31:49.338523+00:00,0.514664,hit
13,left,2025-12-17 15:31:56.339353+00:00,0.497714,hit
14,right,2025-12-17 15:32:03.334350+00:00,0.515716,hit
15,left,2025-12-17 15:32:07.333987+00:00,0.475208,hit
16,right,2025-12-17 15:32:11.339434+00:00,0.470512,hit
17,left,2025-12-17 15:32:16.331729+00:00,0.433904,hit
18,left,2025-12-17 15:32:23.338341+00:00,0.425029,hit
19,left,2025-12-17 15:32:27.337978+00:00,0.479913,hit
20,right,2025-12-17 15:32:29.334894+00:00,0.54287,hit
21,left,2025-12-17 15:32:31.337616+00:00,0.460599,hit
22,right,2025-12-17 15:32:38.332636+00:00,0.401094,hit
23,right,2025-12-17 15:32:42.332273+00:00,0.463545,hit
24,right,2025-12-17 15:32:47.336164+00:00,0.435179,hit
25,left,2025-12-17 15:32:49.338886+00:00,0.498082,hit
26,right,2025-12-17 15:32:54.336994+00:00,0.482265,hit
27,right,2025-12-17 15:32:56.339715+00:00,0.577327,hit
28,right,2025-12-17 15:33:00.333543+00:00,0.433573,hit
29,left,2025-12-17 15:33:05.337434+00:00,0.446909,hit
30,right,2025-12-17 15:33:12.332455+00:00,0.53975,hit
31,left,2025-12-17 15:33:19.339067+00:00,0.433095,hit
32,left,2025-12-17 15:33:23.338704+00:00,0.529258,hit
33,right,2025-12-17 15:33:28.336813+00:00,0.466261,hit
34,right,2025-12-17 15:33:35.337616+00:00,0.587748,hit
35,left,2025-12-17 15:33:40.341529+00:00,0.557642,hit
36,left,2025-12-17 15:33:47.336527+00:00,0.407254,hit
37,left,2025-12-17 15:33:51.336164+00:00,0.501957,hit
38,right,2025-12-17 15:33:53.338886+00:00,0.505732,hit
39,right,2025-12-17 15:33:57.338523+00:00,0.458936,hit
40,left,2025-12-17 15:33:59.336994+00:00,0.560516,hit
41,left,2025-12-17 15:34:06.336994+00:00,0.492137,hit
42,right,2025-12-17 15:34:08.336994+00:00,0.542541,hit
43,right,2025-12-17 15:34:13.336994+00:00,0.515911,hit
44,left,2025-12-17 15:34:15.336994+00:00,0.518066,hit
45,right,2025-12-17 15:34:22.336994+00:00,0.546394,hit
46,left,2025-12-17 15:34:26.336994+00:00,0.494622,hit
47,right,2025-12-17 15:34:30.336994+00:00,0.502464,hit
48,left,2025-12-17 15:34:35.336994+00:00,0.487456,hit
49,right,2025-12-17 15:34:40.336994+00:00,0.531949,hit
50,right,2025-12-17 15:34:44.336994+00:00,0.547875,hit
51,left,2025-12-17 15:34:51.336994+00:00,0.46602,hit
52,left,2025-12-17 15:34:53.336994+00:00,0.518938,hit
53,left,2025-12-17 15:34:58.336994+00:00,0.474786,hit
54,right,2025-12-17 15:35:05.336994+00:00,0.466777,hit
55,left,2025-12-17 15:35:09.336994+00:00,0.458153,hit
56,right,2025-12-17 15:35:11.336994+00:00,0.49668,hit
57,left,2025-12-17 15:35:16.336994+00:00,0.45283,hit
58,right,2025-12-17 15:35:23.336994+00:00,0.45712,hit
59,left,2025-12-17 15:35:30.336994+00:00,0.468768,hit
60,left,2025-12-17 15:35:34.336994+00:00,0.486089,hit
61,left,2025-12-17 15:35:36.336994+00:00,0.548803,hit
62,right,2025-12-17 15:35:38.336994+00:00,0.470016,hit
63,right,2025-12-17 15:35:42.336994+00:00,0.413167,hit
64,right,2025-12-17 15:35:47.336994+00:00,0.56613,hit
65,right,2025-12-17 15:35:49.336994+00:00,0.51646,hit
66,left,2025-12-17 15:35:56.336994+00:00,0.435492,hit
67,left,2025-12-17 15:36:01.336994+00:00,0.459062,hit
68,right,2025-12-17 15:36:08.336994+00:00,0.521107,hit
69,right,2025-12-17 15:36:12.336994+00:00,0.453691,hit
70,left,2025-12-17 15:36:16.336994+00:00,0.451281,hit
71,right,2025-12-17 15:36:21.336994+00:00,0.411853,hit
72,left,2025-12-17 15:36:23.336994+00:00,0.525244,hit
73,left,2025-12-17 15:36:27.336994+00:00,0.465171,hit
74,left,2025-12-17 15:36:32.336994+00:00,0.469708,hit
75,right,2025-12-17 15:36:39.336994+00:00,0.430495,hit
76,left,2025-12-17 15:36:41.336994+00:00,0.563587,hit
77,left,2025-12-17 15:36:48.336994+00:00,0.488081,hit
78,right,2025-12-17 15:36:50.336994+00:00,0.477443,hit
79,right,2025-12-17 15:36:55.336994+00:00,0.458141,hit
80,right,2025-12-17 15:36:59.336994+00:00,0.482771,hit
81,right,2025-12-17 15:37:01.336994+00:00,0.477579,hit
82,left,2025-12-17 15:37:06.336994+00:00,0.459405,hit
83,right,2025-12-17 15:37:11.336994+00:00,0.538738,hit
84,left,2025-12-17 15:37:18.336994+00:00,0.456239,hit
85,left,2025-12-17 15:37:22.336994+00:00,0.478338,hit
86,right,2025-12-17 15:37:26.336994+00:00,0.433759,hit
87,left,2025-12-17 15:37:28.336994+00:00,0.551555,hit
88,right,2025-12-17 15:37:35.336994+00:00,0.553014,hit
89,right,2025-12-17 15:37:39.336994+00:00,0.542087,hit
90,left,2025-12-17 15:37:41.336994+00:00,0.45323,hit
91,left,2025-12-17 15:37:45.336994+00:00,0.530442,hit
92,right,2025-12-17 15:37:50.336994+00:00,0.45584,hit
93,right,2025-12-17 15:37:52.336994+00:00,0.497287,hit
94,right,2025-12-17 15:37:59.336994+00:00,0.498984,hit
95,left,2025-12-17 15:38:06.336994+00:00,0.420687,hit
96,left,2025-12-17 15:38:11.336994+00:00,0.506429,hit
97,left,2025-12-17 15:38:18.336994+00:00,0.448116,hit
98,left,2025-12-17 15:38:22.336994+00:00,0.582404,hit
99,left,2025-12-17 15:38:24.336994+00:00,0.571747,hit
100,right,2025-12-17 15:38:29.336994+00:00,0.467809,hit
101,right,2025-12-17 15:38:36.336994+00:00,0.491867,hit
102,right,2025-12-17 15:38:40.336994+00:00,0.485249,hit
103,right,2025-12-17 15:38:42.336994+00:00,0.474024,hit
104,left,2025-12-17 15:38:47.336994+00:00,0.438895,hit
105,right,2025-12-17 15:38:49.336994+00:00,0.434364,hit
106,left,2025-12-17 15:38:54.336994+00:00,0.518989,hit
107,right,2025-12-17 15:39:01.336994+00:00,0.41915,hit
108,left,2025-12-17 15:39:05.336994+00:00,0.484151,hit
109,left,2025-12-17 15:39:12.336994+00:00,0.806486,hit
110,right,2025-12-17 15:39:16.336994+00:00,0.609198,hit
111,left,2025-12-17 15:39:18.336994+00:00,0.665605,hit
112,right,2025-12-17 15:39:23.336994+00:00,0.440352,hit
113,left,2025-12-17 15:39:25.336994+00:00,0.442162,hit
114,left,2025-12-17 15:39:29.336994+00:00,0.473011,hit
115,right,2025-12-17 15:39:31.336994+00:00,0.457319,hit
116,left,2025-12-17 15:39:38.336994+00:00,0.437461,hit
117,right,2025-12-17 15:39:42.336994+00:00,0.438719,hit
118,left,2025-12-17 15:39:47.336994+00:00,0.445043,hit
119,right,2025-12-17 15:39:52.336994+00:00,0.484445,hit
120,right,2025-12-17 15:39:59.336994+00:00,0.449411,hit
121,left,2025-12-17 15:40:03.336994+00:00,0.47778,hit
122,right,2025-12-17 15:40:10.336994+00:00,0.442523,hit
123,left,2025-12-17 15:40:17.336994+00:00,0.569574,hit
124,left,2025-12-17 15:40:22.336994+00:00,0.542263,hit
125,right,2025-12-17 15:40:27.336994+00:00,0.50077,hit
126,left,2025-12-17 15:40:29.336994+00:00,0.805377,hit
127,right,2025-12-17 15:40:33.336994+00:00,0.458095,hit
128,right,2025-12-17 15:40:35.336994+00:00,0.504382,hit
129,left,2025-12-17 15:40:37.336994+00:00,0.461538,hit
130,right,2025-12-17 15:40:41.336994+00:00,0.410856,hit
131,left,2025-12-17 15:40:46.336994+00:00,0.468956,hit
132,left,2025-12-17 15:40:53.336994+00:00,0.448889,hit
133,left,2025-12-17 15:40:57.336994+00:00,0.516122,hit
134,right,2025-12-17 15:41:02.336994+00:00,0.453317,hit
135,right,2025-12-17 15:41:09.336994+00:00,0.399912,hit
136,right,2025-12-17 15:41:11.336994+00:00,0.512189,hit
137,left,2025-12-17 15:41:15.336994+00:00,0.43067,hit
138,left,2025-12-17 15:41:20.336994+00:00,0.423374,hit
139,left,2025-12-17 15:41:22.336994+00:00,0.500106,hit
140,right,2025-12-17 15:41:24.336994+00:00,0.482277,hit
141,right,2025-12-17 15:41:29.336994+00:00,0.425972,hit
142,left,2025-12-17 15:41:36.336994+00:00,0.558458,hit
143,right,2025-12-17 15:41:43.336994+00:00,0.436432,hit
144,right,2025-12-17 15:41:47.336994+00:00,0.434629,hit
145,right,2025-12-17 15:41:52.336994+00:00,0.441803,hit
146,left,2025-12-17 15:41:59.336994+00:00,0.482502,hit
147,right,2025-12-17 15:42:03.336994+00:00,0.512955,hit
148,right,2025-12-17 15:42:05.336994+00:00,0.562103,hit
149,left,2025-12-17 15:42:10.336994+00:00,0.525614,hit
150,right,2025-12-17 15:42:17.336994+00:00,0.459934,hit
151,left,2025-12-17 15:42:19.336994+00:00,0.518041,hit
152,left,2025-12-17 15:42:23.336994+00:00,0.747451,hit
153,left,2025-12-17 15:42:30.336994+00:00,0.491759,hit
154,right,2025-12-17 15:42:37.336994+00:00,0.48055,hit
155,right,2025-12-17 15:42:42.336994+00:00,0.475674,hit
156,right,2025-12-17 15:42:46.336994+00:00,0.436957,hit
157,left,2025-12-17 15:42:48.336994+00:00,0.489249,hit
158,left,2025-12-17 15:42:53.336994+00:00,0.475971,hit
159,left,2025-12-17 15:42:57.336994+00:00,0.462372,hit
160,right,2025-12-17 15:42:59.336994+00:00,0.494219,hit
161,none,,,false_positive
161,right,2025-12-17 15:43:03.336994+00:00,0.534008,hit
162,left,2025-12-17 15:43:10.336994+00:00,0.484866,hit
163,right,2025-12-17 15:43:15.336994+00:00,0.507037,hit
164,left,2025-12-17 15:43:19.336994+00:00,0.479063,hit
165,left,2025-12-17 15:43:21.336994+00:00,0.550268,hit
166,right,2025-12-17 15:43:28.336994+00:00,0.500245,hit
167,left,2025-12-17 15:43:33.336994+00:00,0.47711,hit
168,right,2025-12-17 15:43:35.336994+00:00,0.485784,hit
169,right,2025-12-17 15:43:37.336994+00:00,0.479486,hit
170,right,2025-12-17 15:43:41.336994+00:00,0.444532,hit
171,right,2025-12-17 15:43:48.336994+00:00,0.587039,hit
172,left,2025-12-17 15:43:55.336994+00:00,0.52697,hit
173,left,2025-12-17 15:44:00.336994+00:00,0.520463,hit
174,left,2025-12-17 15:44:02.336994+00:00,0.511741,hit
175,right,2025-12-17 15:44:07.336994+00:00,0.484403,hit
176,left,2025-12-17 15:44:11.336994+00:00,0.413378,hit
177,right,2025-12-17 15:44:15.336994+00:00,0.458712,hit
178,left,2025-12-17 15:44:19.336994+00:00,0.421583,hit
179,left,2025-12-17 15:44:21.336994+00:00,0.504575,hit
180,right,2025-12-17 15:44:28.336994+00:00,0.418979,hit
181,right,2025-12-17 15:44:30.336994+00:00,0.460015,hit
182,left,2025-12-17 15:44:37.336994+00:00,0.406739,hit
183,right,2025-12-17 15:44:42.336994+00:00,0.409302,hit
184,left,2025-12-17 15:44:47.336994+00:00,0.421237,hit
185,right,2025-12-17 15:44:49.336994+00:00,0.474012,hit
186,right,2025-12-17 15:44:54.336994+00:00,0.485044,hit
187,right,2025-12-17 15:45:01.336994+00:00,0.501143,hit
188,left,2025-12-17 15:45:08.336994+00:00,0.455311,hit
189,right,2025-12-17 15:45:12.336994+00:00,0.497781,hit
190,left,2025-12-17 15:45:14.336994+00:00,0.479969,hit
191,left,2025-12-17 15:45:19.336994+00:00,0.538919,hit
192,left,2025-12-17 15:45:23.336994+00:00,0.444834,hit
193,right,2025-12-17 15:45:25.336994+00:00,0.459063,hit
194,right,2025-12-17 15:45:29.336994+00:00,0.463923,hit
195,right,2025-12-17 15:45:34.336994+00:00,0.439296,hit
196,left,2025-12-17 15:45:38.336994+00:00,0.504403,hit
197,left,2025-12-17 15:45:43.336994+00:00,0.53426,hit
198,right,2025-12-17 15:45:50.336994+00:00,0.503186,hit
199,left,2025-12-17 15:45:57.336994+00:00,0.528238,hit
