trial,side,utc_timestamp,RT_seconds,resp_status
1,left,2026-01-03 18:55:42.407396+00:00,0.598863,hit
2,left,2026-01-03 18:55:46.401227+00:00,0.640475,hit
3,right,2026-01-03 18:55:53.402039+00:00,0.611161,hit
4,right,2026-01-03 18:55:55.398954+00:00,0.542613,hit
5,left,2026-01-03 18:56:00.402852+00:00,0.536202,hit
6,left,2026-01-03 18:56:02.399767+00:00,0.515363,hit
7,right,2026-01-03 18:56:06.405208+00:00,0.511416,hit
8,right,2026-01-03 18:56:11.397496+00:00,0.530746,hit
9,left,2026-01-03 18:56:13.406021+00:00,0.439684,hit
10,left,2026-01-03 18:56:18.402027+00:00,0.499143,hit
11,right,2026-01-03 18:56:23.405925+00:00,0.534617,hit
12,right,2026-01-03 18:56:25.402840+00:00,0.491589,hit
13,none,,,false_positive
13,left,2026-01-03 18:56:32.403653+00:00,0.53053,hit
14,right,2026-01-03 18:56:39.404466+00:00,0.522369,hit
15,left,2026-01-03 18:56:43.398296+00:00,0.533757,hit
16,right,2026-01-03 18:56:47.403737+00:00,0.541879,hit
17,left,2026-01-03 18:56:52.407634+00:00,0.500722,hit
18,left,2026-01-03 18:56:59.408447+00:00,0.564901,hit
19,left,2026-01-03 18:57:03.402277+00:00,0.534355,hit
20,right,2026-01-03 18:57:05.399193+00:00,0.533662,hit
21,left,2026-01-03 18:57:07.407718+00:00,0.526662,hit
22,right,2026-01-03 18:57:14.408531+00:00,0.522815,hit
23,right,2026-01-03 18:57:18.402361+00:00,0.548382,hit
24,right,2026-01-03 18:57:23.406259+00:00,0.561684,hit
25,left,2026-01-03 18:57:25.403174+00:00,0.536948,hit
26,right,2026-01-03 18:57:30.407072+00:00,0.553815,hit
27,right,2026-01-03 18:57:32.403987+00:00,0.557913,hit
28,right,2026-01-03 18:57:36.397817+00:00,0.525075,hit
29,left,2026-01-03 18:57:41.401715+00:00,0.540436,hit
30,right,2026-01-03 18:57:48.402528+00:00,0.553431,hit
31,left,2026-01-03 18:57:55.403341+00:00,0.534586,hit
32,left,2026-01-03 18:57:59.408781+00:00,0.499513,hit
33,right,2026-01-03 18:58:04.401069+00:00,0.503278,hit
34,right,2026-01-03 18:58:11.401882+00:00,0.476337,hit
35,left,2026-01-03 18:58:16.405780+00:00,0.54677,hit
36,left,2026-01-03 18:58:23.406592+00:00,0.483271,hit
37,left,2026-01-03 18:58:27.400423+00:00,0.517765,hit
38,right,2026-01-03 18:58:29.408948+00:00,0.584095,hit
39,right,2026-01-03 18:58:33.402778+00:00,0.508767,hit
40,left,2026-01-03 18:58:35.398151+00:00,0.456466,hit
41,left,2026-01-03 18:58:42.398964+00:00,,miss
42,right,2026-01-03 18:58:44.407489+00:00,0.615459,hit
43,right,2026-01-03 18:58:49.399777+00:00,0.544718,hit
44,left,2026-01-03 18:58:51.408302+00:00,0.519221,hit
45,right,2026-01-03 18:58:58.397505+00:00,0.543201,hit
46,left,2026-01-03 18:59:02.402946+00:00,0.543215,hit
47,right,2026-01-03 18:59:06.408386+00:00,0.672385,hit
