trial,side,utc_timestamp,RT_seconds,resp_status
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,none,,,false_positive
1,left,2025-12-31 19:45:54.069695+00:00,0.49906,hit
2,left,2025-12-31 19:45:58.069333+00:00,0.469643,hit
3,right,2025-12-31 19:46:05.070140+00:00,0.479821,hit
4,right,2025-12-31 19:46:07.072861+00:00,0.504697,hit
5,left,2025-12-31 19:46:12.070965+00:00,0.454293,hit
6,left,2025-12-31 19:46:14.067881+00:00,0.404646,hit
7,right,2025-12-31 19:46:18.067518+00:00,0.409913,hit
8,right,2025-12-31 19:46:23.071410+00:00,0.421392,hit
9,left,2025-12-31 19:46:25.074135+00:00,0.393601,hit
10,left,2025-12-31 19:46:30.066430+00:00,0.451749,hit
11,right,2025-12-31 19:46:35.070321+00:00,0.426111,hit
12,right,2025-12-31 19:46:37.073042+00:00,0.434884,hit
13,left,2025-12-31 19:46:44.068063+00:00,0.470553,hit
14,right,2025-12-31 19:46:51.069417+00:00,0.442001,hit
15,left,2025-12-31 19:46:55.074841+00:00,0.374771,hit
16,right,2025-12-31 19:46:59.068686+00:00,0.38625,hit
17,left,2025-12-31 19:47:04.066772+00:00,0.385101,hit
18,left,2025-12-31 19:47:11.067598+00:00,0.416123,hit
19,left,2025-12-31 19:47:15.073045+00:00,0.398822,hit
20,right,2025-12-31 19:47:17.069961+00:00,0.443543,hit
21,left,2025-12-31 19:47:19.072682+00:00,0.397747,hit
22,right,2025-12-31 19:47:26.067680+00:00,0.439403,hit
23,right,2025-12-31 19:47:30.067317+00:00,0.384739,hit
24,right,2025-12-31 19:47:35.071231+00:00,0.416401,hit
25,left,2025-12-31 19:47:37.073952+00:00,0.41322,hit
26,right,2025-12-31 19:47:42.072033+00:00,0.377506,hit
27,right,2025-12-31 19:47:44.068949+00:00,0.403655,hit
28,right,2025-12-31 19:47:48.068587+00:00,0.415962,hit
29,none,,,false_positive
29,left,2025-12-31 19:47:53.072500+00:00,0.432406,hit
30,right,2025-12-31 19:48:00.067498+00:00,0.428442,hit
31,left,2025-12-31 19:48:07.074133+00:00,0.449368,hit
32,left,2025-12-31 19:48:11.073770+00:00,0.428022,hit
33,right,2025-12-31 19:48:16.071852+00:00,0.432941,hit
34,right,2025-12-31 19:48:23.070140+00:00,0.406835,hit
35,left,2025-12-31 19:48:28.070140+00:00,0.47148,hit
36,left,2025-12-31 19:48:35.070140+00:00,0.424577,hit
37,left,2025-12-31 19:48:39.070140+00:00,0.4217,hit
38,right,2025-12-31 19:48:41.070140+00:00,0.474051,hit
39,right,2025-12-31 19:48:45.070140+00:00,0.422442,hit
40,left,2025-12-31 19:48:47.070140+00:00,0.445914,hit
41,left,2025-12-31 19:48:54.070140+00:00,0.461305,hit
