trial,side,utc_timestamp,RT_seconds,resp_status
1,left,2026-01-03 10:53:20.741624+00:00,0.497919,hit
2,left,2026-01-03 10:53:24.741261+00:00,0.399866,hit
3,right,2026-01-03 10:53:31.742068+00:00,0.398433,hit
4,none,,,false_positive
4,right,2026-01-03 10:53:33.744789+00:00,0.578208,hit
5,left,2026-01-03 10:53:38.742893+00:00,0.395988,hit
6,left,2026-01-03 10:53:40.739810+00:00,0.442971,hit
7,right,2026-01-03 10:53:44.739447+00:00,0.445089,hit
8,right,2026-01-03 10:53:49.743338+00:00,0.440367,hit
9,left,2026-01-03 10:53:51.746064+00:00,0.48343,hit
10,left,2026-01-03 10:53:56.738358+00:00,0.385241,hit
11,right,2026-01-03 10:54:01.742249+00:00,0.392046,hit
12,right,2026-01-03 10:54:03.744971+00:00,0.443838,hit
13,left,2026-01-03 10:54:10.739991+00:00,0.394639,hit
14,right,2026-01-03 10:54:17.740798+00:00,0.466213,hit
15,left,2026-01-03 10:54:21.740436+00:00,0.398666,hit
16,right,2026-01-03 10:54:25.745882+00:00,0.429881,hit
17,left,2026-01-03 10:54:30.738177+00:00,0.406219,hit
18,left,2026-01-03 10:54:37.744789+00:00,0.435846,hit
19,left,2026-01-03 10:54:41.744426+00:00,0.405915,hit
20,right,2026-01-03 10:54:43.741343+00:00,0.438197,hit
21,left,2026-01-03 10:54:45.744064+00:00,0.406659,hit
22,right,2026-01-03 10:54:52.739084+00:00,0.399266,hit
23,right,2026-01-03 10:54:56.738721+00:00,0.443139,hit
24,right,2026-01-03 10:55:01.742612+00:00,0.414222,hit
25,left,2026-01-03 10:55:03.745333+00:00,0.411929,hit
26,right,2026-01-03 10:55:08.746378+00:00,0.429907,hit
27,right,2026-01-03 10:55:10.743294+00:00,0.476583,hit
28,right,2026-01-03 10:55:14.742932+00:00,0.392082,hit
29,left,2026-01-03 10:55:19.741036+00:00,0.408081,hit
30,right,2026-01-03 10:55:26.741843+00:00,0.425744,hit
31,left,2026-01-03 10:55:33.742668+00:00,0.412759,hit
32,left,2026-01-03 10:55:37.742306+00:00,0.40091,hit
33,right,2026-01-03 10:55:42.746197+00:00,0.519212,hit
34,right,2026-01-03 10:55:49.741217+00:00,0.37799,hit
35,left,2026-01-03 10:55:54.745108+00:00,0.387776,hit
36,left,2026-01-03 10:56:01.740129+00:00,0.410339,hit
37,left,2026-01-03 10:56:05.739766+00:00,0.50918,hit
38,right,2026-01-03 10:56:07.742487+00:00,0.406357,hit
39,right,2026-01-03 10:56:11.742124+00:00,0.397649,hit
40,left,2026-01-03 10:56:13.742249+00:00,0.429709,hit
41,left,2026-01-03 10:56:20.742249+00:00,0.38365,hit
42,right,2026-01-03 10:56:22.742249+00:00,0.400319,hit
43,right,2026-01-03 10:56:27.742249+00:00,0.384766,hit
44,left,2026-01-03 10:56:29.742249+00:00,0.358206,hit
45,right,2026-01-03 10:56:36.742249+00:00,0.402561,hit
46,left,2026-01-03 10:56:40.742249+00:00,0.369007,hit
47,right,2026-01-03 10:56:44.742249+00:00,0.425374,hit
48,left,2026-01-03 10:56:49.742249+00:00,0.37442,hit
49,right,2026-01-03 10:56:54.742249+00:00,0.421954,hit
50,right,2026-01-03 10:56:58.742249+00:00,0.424066,hit
51,left,2026-01-03 10:57:05.742249+00:00,0.408685,hit
52,left,2026-01-03 10:57:07.742249+00:00,0.417358,hit
53,left,2026-01-03 10:57:12.742249+00:00,0.448028,hit
54,right,2026-01-03 10:57:19.742249+00:00,0.406532,hit
55,left,2026-01-03 10:57:23.742249+00:00,0.430713,hit
56,right,2026-01-03 10:57:25.742249+00:00,0.409365,hit
57,left,2026-01-03 10:57:30.742249+00:00,0.403917,hit
58,right,2026-01-03 10:57:37.742249+00:00,0.435961,hit
59,left,2026-01-03 10:57:44.742249+00:00,0.383469,hit
60,left,2026-01-03 10:57:48.742249+00:00,0.422689,hit
61,left,2026-01-03 10:57:50.742249+00:00,0.409662,hit
62,right,2026-01-03 10:57:52.742249+00:00,0.613303,hit
63,right,2026-01-03 10:57:56.742249+00:00,0.402713,hit
64,right,2026-01-03 10:58:01.742249+00:00,0.404558,hit
65,right,2026-01-03 10:58:03.742249+00:00,0.393992,hit
66,left,2026-01-03 10:58:10.742249+00:00,0.370577,hit
67,left,2026-01-03 10:58:15.742249+00:00,0.410142,hit
68,right,2026-01-03 10:58:22.742249+00:00,0.391104,hit
69,right,2026-01-03 10:58:26.742249+00:00,0.466633,hit
70,left,2026-01-03 10:58:30.742249+00:00,0.398734,hit
71,right,2026-01-03 10:58:35.742249+00:00,0.412147,hit
72,left,2026-01-03 10:58:37.742249+00:00,0.421823,hit
73,left,2026-01-03 10:58:41.742249+00:00,0.3732,hit
74,left,2026-01-03 10:58:46.742249+00:00,0.404317,hit
75,right,2026-01-03 10:58:53.742249+00:00,0.438933,hit
76,left,2026-01-03 10:58:55.742249+00:00,0.432499,hit
77,left,2026-01-03 10:59:02.742249+00:00,0.403347,hit
78,right,2026-01-03 10:59:04.742249+00:00,0.510126,hit
79,right,2026-01-03 10:59:09.742249+00:00,0.461062,hit
80,right,2026-01-03 10:59:13.742249+00:00,0.388941,hit
81,right,2026-01-03 10:59:15.742249+00:00,0.46519,hit
82,left,2026-01-03 10:59:20.742249+00:00,0.389818,hit
83,right,2026-01-03 10:59:25.742249+00:00,0.410482,hit
84,left,2026-01-03 10:59:32.742249+00:00,0.390658,hit
85,left,2026-01-03 10:59:36.742249+00:00,0.413166,hit
86,right,2026-01-03 10:59:40.742249+00:00,0.387778,hit
87,left,2026-01-03 10:59:42.742249+00:00,0.386104,hit
88,right,2026-01-03 10:59:49.742249+00:00,0.447448,hit
89,right,2026-01-03 10:59:53.742249+00:00,0.421961,hit
90,left,2026-01-03 10:59:55.742249+00:00,0.428025,hit
91,left,2026-01-03 10:59:59.742249+00:00,0.414879,hit
92,right,2026-01-03 11:00:04.742249+00:00,0.363243,hit
93,right,2026-01-03 11:00:06.742249+00:00,0.450669,hit
94,right,2026-01-03 11:00:13.742249+00:00,0.465476,hit
95,left,2026-01-03 11:00:20.742249+00:00,0.41628,hit
96,left,2026-01-03 11:00:25.742249+00:00,0.583288,hit
97,left,2026-01-03 11:00:32.742249+00:00,0.489976,hit
98,left,2026-01-03 11:00:36.742249+00:00,0.653695,hit
99,left,2026-01-03 11:00:38.742249+00:00,0.559781,hit
100,right,2026-01-03 11:00:43.742249+00:00,0.51537,hit
101,right,2026-01-03 11:00:50.742249+00:00,0.432588,hit
102,right,2026-01-03 11:00:54.742249+00:00,0.367524,hit
103,right,2026-01-03 11:00:56.742249+00:00,0.494906,hit
104,left,2026-01-03 11:01:01.742249+00:00,0.388968,hit
105,right,2026-01-03 11:01:03.742249+00:00,0.44064,hit
106,left,2026-01-03 11:01:08.742249+00:00,0.400053,hit
107,right,2026-01-03 11:01:15.742249+00:00,0.431071,hit
108,left,2026-01-03 11:01:19.742249+00:00,0.487053,hit
109,left,2026-01-03 11:01:26.742249+00:00,0.561457,hit
110,right,2026-01-03 11:01:30.742249+00:00,0.401598,hit
111,left,2026-01-03 11:01:32.742249+00:00,0.547438,hit
112,right,2026-01-03 11:01:37.742249+00:00,0.450975,hit
113,left,2026-01-03 11:01:39.742249+00:00,0.443313,hit
114,left,2026-01-03 11:01:43.742249+00:00,0.425117,hit
115,right,2026-01-03 11:01:45.742249+00:00,0.411826,hit
116,left,2026-01-03 11:01:52.742249+00:00,0.410671,hit
117,right,2026-01-03 11:01:56.742249+00:00,0.468743,hit
118,left,2026-01-03 11:02:01.742249+00:00,0.385894,hit
119,right,2026-01-03 11:02:06.742249+00:00,0.387906,hit
120,right,2026-01-03 11:02:13.742249+00:00,0.542139,hit
121,left,2026-01-03 11:02:17.742249+00:00,0.524854,hit
122,right,2026-01-03 11:02:24.742249+00:00,0.39125,hit
123,left,2026-01-03 11:02:31.742249+00:00,0.420923,hit
124,left,2026-01-03 11:02:36.742249+00:00,0.634366,hit
125,right,2026-01-03 11:02:41.742249+00:00,0.43286,hit
126,left,2026-01-03 11:02:43.742249+00:00,0.494337,hit
127,right,2026-01-03 11:02:47.742249+00:00,0.473138,hit
128,right,2026-01-03 11:02:49.742249+00:00,0.495028,hit
129,left,2026-01-03 11:02:51.742249+00:00,0.446548,hit
130,right,2026-01-03 11:02:55.742249+00:00,0.420237,hit
131,left,2026-01-03 11:03:00.742249+00:00,0.457762,hit
132,left,2026-01-03 11:03:07.742249+00:00,0.421465,hit
133,left,2026-01-03 11:03:11.742249+00:00,0.437546,hit
134,right,2026-01-03 11:03:16.742249+00:00,0.379756,hit
135,right,2026-01-03 11:03:23.742249+00:00,0.455045,hit
136,right,2026-01-03 11:03:25.742249+00:00,0.452115,hit
137,left,2026-01-03 11:03:29.742249+00:00,0.441268,hit
138,left,2026-01-03 11:03:34.742249+00:00,0.393027,hit
139,left,2026-01-03 11:03:36.742249+00:00,0.460135,hit
140,right,2026-01-03 11:03:38.742249+00:00,0.419113,hit
141,right,2026-01-03 11:03:43.742249+00:00,0.44366,hit
142,none,,,false_positive
142,left,2026-01-03 11:03:50.742249+00:00,0.400037,hit
143,right,2026-01-03 11:03:57.742249+00:00,0.376721,hit
144,right,2026-01-03 11:04:01.742249+00:00,0.535605,hit
145,right,2026-01-03 11:04:06.742249+00:00,0.409561,hit
146,left,2026-01-03 11:04:13.742249+00:00,0.408686,hit
147,right,2026-01-03 11:04:17.742249+00:00,0.692398,hit
148,right,2026-01-03 11:04:19.742249+00:00,0.466666,hit
149,left,2026-01-03 11:04:24.742249+00:00,0.408744,hit
150,right,2026-01-03 11:04:31.742249+00:00,0.432723,hit
151,left,2026-01-03 11:04:33.742249+00:00,0.485138,hit
152,left,2026-01-03 11:04:37.742249+00:00,0.43586,hit
153,left,2026-01-03 11:04:44.742249+00:00,0.381923,hit
154,right,2026-01-03 11:04:51.742249+00:00,0.413467,hit
155,right,2026-01-03 11:04:56.742249+00:00,0.460017,hit
156,right,2026-01-03 11:05:00.742249+00:00,0.47968,hit
157,left,2026-01-03 11:05:02.742249+00:00,0.449493,hit
158,left,2026-01-03 11:05:07.742249+00:00,0.454583,hit
159,left,2026-01-03 11:05:11.742249+00:00,0.429339,hit
160,right,2026-01-03 11:05:13.742249+00:00,0.45017,hit
161,right,2026-01-03 11:05:17.742249+00:00,0.398275,hit
162,left,2026-01-03 11:05:24.742249+00:00,0.433672,hit
163,right,2026-01-03 11:05:29.742249+00:00,0.40553,hit
164,left,2026-01-03 11:05:33.742249+00:00,0.38921,hit
165,left,2026-01-03 11:05:35.742249+00:00,0.424385,hit
166,right,2026-01-03 11:05:42.742249+00:00,0.410747,hit
167,left,2026-01-03 11:05:47.742249+00:00,0.480415,hit
168,right,2026-01-03 11:05:49.742249+00:00,0.483099,hit
169,right,2026-01-03 11:05:51.742249+00:00,0.439922,hit
170,right,2026-01-03 11:05:55.742249+00:00,0.433522,hit
171,right,2026-01-03 11:06:02.742249+00:00,0.445302,hit
172,left,2026-01-03 11:06:09.742249+00:00,0.420938,hit
173,left,2026-01-03 11:06:14.742249+00:00,0.455708,hit
174,left,2026-01-03 11:06:16.742249+00:00,0.531904,hit
175,right,2026-01-03 11:06:21.742249+00:00,0.481039,hit
176,left,2026-01-03 11:06:25.742249+00:00,0.425302,hit
177,right,2026-01-03 11:06:29.742249+00:00,0.390141,hit
178,left,2026-01-03 11:06:33.742249+00:00,0.378367,hit
179,left,2026-01-03 11:06:35.742249+00:00,0.427557,hit
180,right,2026-01-03 11:06:42.742249+00:00,0.444421,hit
181,right,2026-01-03 11:06:44.742249+00:00,0.560048,hit
182,left,2026-01-03 11:06:51.742249+00:00,0.441873,hit
183,right,2026-01-03 11:06:56.742249+00:00,0.500332,hit
184,left,2026-01-03 11:07:01.742249+00:00,0.404764,hit
185,right,2026-01-03 11:07:03.742249+00:00,0.41613,hit
186,right,2026-01-03 11:07:08.742249+00:00,0.410004,hit
187,right,2026-01-03 11:07:15.742249+00:00,0.415734,hit
188,left,2026-01-03 11:07:22.742249+00:00,0.440324,hit
189,right,2026-01-03 11:07:26.742249+00:00,0.478412,hit
190,left,2026-01-03 11:07:28.742249+00:00,0.41259,hit
191,left,2026-01-03 11:07:33.742249+00:00,0.464157,hit
192,left,2026-01-03 11:07:37.742249+00:00,0.390472,hit
193,right,2026-01-03 11:07:39.742249+00:00,0.435239,hit
194,right,2026-01-03 11:07:43.742249+00:00,0.438247,hit
195,right,2026-01-03 11:07:48.742249+00:00,0.408091,hit
196,left,2026-01-03 11:07:52.742249+00:00,0.395838,hit
197,left,2026-01-03 11:07:57.742249+00:00,0.418345,hit
198,right,2026-01-03 11:08:04.742249+00:00,0.477007,hit
199,left,2026-01-03 11:08:11.742249+00:00,0.443531,hit
