trial,side,utc_timestamp,RT_seconds,resp_status
1,left,2025-12-18 10:39:49.386440+00:00,0.704912,hit
2,left,2025-12-18 10:39:53.380270+00:00,0.672038,hit
3,right,2025-12-18 10:40:00.381083+00:00,0.576484,hit
4,right,2025-12-18 10:40:02.389608+00:00,0.612512,hit
5,left,2025-12-18 10:40:07.381896+00:00,0.597071,hit
6,left,2025-12-18 10:40:09.378811+00:00,0.580023,hit
7,right,2025-12-18 10:40:13.384252+00:00,0.569809,hit
8,right,2025-12-18 10:40:18.376539+00:00,0.658363,hit
9,left,2025-12-18 10:40:20.385065+00:00,0.643201,hit
10,left,2025-12-18 10:40:25.377352+00:00,0.567598,hit
11,right,2025-12-18 10:40:30.381250+00:00,0.712047,hit
12,right,2025-12-18 10:40:32.378165+00:00,0.885632,hit
13,left,2025-12-18 10:40:39.378978+00:00,0.713978,hit
14,right,2025-12-18 10:40:46.379791+00:00,0.587924,hit
15,left,2025-12-18 10:40:50.385231+00:00,0.532557,hit
16,right,2025-12-18 10:40:54.379062+00:00,0.600574,hit
17,left,2025-12-18 10:40:59.382959+00:00,0.583113,hit
18,left,2025-12-18 10:41:06.383772+00:00,0.597337,hit
19,left,2025-12-18 10:41:10.377603+00:00,0.538121,hit
20,right,2025-12-18 10:41:12.386128+00:00,0.612867,hit
21,left,2025-12-18 10:41:14.383043+00:00,0.556749,hit
22,right,2025-12-18 10:41:21.383856+00:00,0.568363,hit
23,right,2025-12-18 10:41:25.377686+00:00,0.564103,hit
24,right,2025-12-18 10:41:30.381584+00:00,0.579049,hit
25,left,2025-12-18 10:41:32.378499+00:00,0.624341,hit
26,right,2025-12-18 10:41:37.382397+00:00,0.599902,hit
27,right,2025-12-18 10:41:39.379312+00:00,0.606874,hit
28,right,2025-12-18 10:41:43.384752+00:00,0.57226,hit
29,left,2025-12-18 10:41:48.377040+00:00,0.586667,hit
30,right,2025-12-18 10:41:55.377853+00:00,0.601833,hit
31,left,2025-12-18 10:42:02.378666+00:00,0.601259,hit
32,left,2025-12-18 10:42:06.384106+00:00,0.547828,hit
33,right,2025-12-18 10:42:11.376394+00:00,0.601882,hit
34,right,2025-12-18 10:42:18.377207+00:00,0.614786,hit
35,left,2025-12-18 10:42:23.381105+00:00,0.61833,hit
36,left,2025-12-18 10:42:30.381918+00:00,0.588986,hit
37,left,2025-12-18 10:42:34.375748+00:00,0.56576,hit
38,right,2025-12-18 10:42:36.384273+00:00,0.594462,hit
39,right,2025-12-18 10:42:40.378103+00:00,0.662422,hit
40,left,2025-12-18 10:42:42.386628+00:00,0.632465,hit
41,left,2025-12-18 10:42:49.381094+00:00,0.522697,hit
42,right,2025-12-18 10:42:51.381094+00:00,0.622859,hit
43,right,2025-12-18 10:42:56.381094+00:00,0.593046,hit
44,left,2025-12-18 10:42:58.381094+00:00,0.534036,hit
45,right,2025-12-18 10:43:05.381094+00:00,0.615784,hit
46,left,2025-12-18 10:43:09.381094+00:00,0.520555,hit
47,right,2025-12-18 10:43:13.381094+00:00,0.549218,hit
48,left,2025-12-18 10:43:18.381094+00:00,0.592573,hit
49,right,2025-12-18 10:43:23.381094+00:00,0.601854,hit
50,right,2025-12-18 10:43:27.381094+00:00,0.611676,hit
51,left,2025-12-18 10:43:34.381094+00:00,0.612876,hit
52,left,2025-12-18 10:43:36.381094+00:00,0.639663,hit
53,left,2025-12-18 10:43:41.381094+00:00,0.575134,hit
54,right,2025-12-18 10:43:48.381094+00:00,0.577541,hit
55,left,2025-12-18 10:43:52.381094+00:00,0.579697,hit
56,right,2025-12-18 10:43:54.381094+00:00,0.599243,hit
57,left,2025-12-18 10:43:59.381094+00:00,0.58881,hit
58,right,2025-12-18 10:44:06.381094+00:00,0.597909,hit
59,left,2025-12-18 10:44:13.381094+00:00,0.59145,hit
60,left,2025-12-18 10:44:17.381094+00:00,0.575674,hit
61,left,2025-12-18 10:44:19.381094+00:00,0.603916,hit
62,right,2025-12-18 10:44:21.381094+00:00,0.57124,hit
63,right,2025-12-18 10:44:25.381094+00:00,0.54197,hit
64,right,2025-12-18 10:44:30.381094+00:00,0.585621,hit
65,right,2025-12-18 10:44:32.381094+00:00,0.649675,hit
66,left,2025-12-18 10:44:39.381094+00:00,0.588406,hit
67,left,2025-12-18 10:44:44.381094+00:00,0.639049,hit
68,right,2025-12-18 10:44:51.381094+00:00,0.580127,hit
69,right,2025-12-18 10:44:55.381094+00:00,0.582539,hit
70,left,2025-12-18 10:44:59.381094+00:00,0.56181,hit
71,right,2025-12-18 10:45:04.381094+00:00,0.563873,hit
72,left,2025-12-18 10:45:06.381094+00:00,0.691536,hit
73,left,2025-12-18 10:45:10.381094+00:00,0.680197,hit
74,left,2025-12-18 10:45:15.381094+00:00,0.56466,hit
75,right,2025-12-18 10:45:22.381094+00:00,0.564189,hit
76,left,2025-12-18 10:45:24.381094+00:00,0.632055,hit
77,left,2025-12-18 10:45:31.381094+00:00,0.613035,hit
78,right,2025-12-18 10:45:33.381094+00:00,0.654663,hit
79,right,2025-12-18 10:45:38.381094+00:00,0.617005,hit
80,right,2025-12-18 10:45:42.381094+00:00,0.60043,hit
81,right,2025-12-18 10:45:44.381094+00:00,0.611502,hit
82,left,2025-12-18 10:45:49.381094+00:00,0.649468,hit
83,right,2025-12-18 10:45:54.381094+00:00,0.614395,hit
84,left,2025-12-18 10:46:01.381094+00:00,0.629267,hit
85,left,2025-12-18 10:46:05.381094+00:00,0.586806,hit
86,right,2025-12-18 10:46:09.381094+00:00,0.551215,hit
87,left,2025-12-18 10:46:11.381094+00:00,0.562113,hit
88,right,2025-12-18 10:46:18.381094+00:00,0.580093,hit
89,right,2025-12-18 10:46:22.381094+00:00,0.523036,hit
90,left,2025-12-18 10:46:24.381094+00:00,0.583494,hit
91,left,2025-12-18 10:46:28.381094+00:00,0.587476,hit
92,right,2025-12-18 10:46:33.381094+00:00,0.609653,hit
93,right,2025-12-18 10:46:35.381094+00:00,0.568099,hit
94,right,2025-12-18 10:46:42.381094+00:00,0.578242,hit
95,left,2025-12-18 10:46:49.381094+00:00,0.636403,hit
96,left,2025-12-18 10:46:54.381094+00:00,0.570261,hit
97,left,2025-12-18 10:47:01.381094+00:00,0.594676,hit
98,left,2025-12-18 10:47:05.381094+00:00,0.624159,hit
99,left,2025-12-18 10:47:07.381094+00:00,0.583017,hit
