trial,side,utc_timestamp,RT_seconds,resp_status
1,none,,,false_positive
1,left,2025-12-17 14:50:03.649520+00:00,0.689382,hit
2,left,2025-12-17 14:50:07.649158+00:00,0.463565,hit
3,right,2025-12-17 14:50:14.649965+00:00,0.465134,hit
4,right,2025-12-17 14:50:16.652686+00:00,0.541196,hit
5,left,2025-12-17 14:50:21.648051+00:00,0.570348,hit
6,left,2025-12-17 14:50:23.650754+00:00,0.489428,hit
7,right,2025-12-17 14:50:27.650391+00:00,0.502463,hit
8,right,2025-12-17 14:50:32.648495+00:00,0.487835,hit
9,left,2025-12-17 14:50:34.651217+00:00,0.496456,hit
10,left,2025-12-17 14:50:39.655112+00:00,0.520293,hit
11,right,2025-12-17 14:50:44.647407+00:00,0.501558,hit
12,right,2025-12-17 14:50:46.650128+00:00,0.522373,hit
13,left,2025-12-17 14:50:53.645148+00:00,0.553521,hit
14,right,2025-12-17 14:51:00.651761+00:00,0.481321,hit
15,left,2025-12-17 14:51:04.651398+00:00,0.489491,hit
16,right,2025-12-17 14:51:08.651035+00:00,0.481109,hit
17,left,2025-12-17 14:51:13.654931+00:00,0.447297,hit
18,left,2025-12-17 14:51:20.649946+00:00,0.487105,hit
19,left,2025-12-17 14:51:24.649584+00:00,0.480585,hit
20,right,2025-12-17 14:51:26.652309+00:00,0.547823,hit
21,left,2025-12-17 14:51:28.649221+00:00,0.510618,hit
22,right,2025-12-17 14:51:35.644241+00:00,0.461972,hit
23,right,2025-12-17 14:51:39.649665+00:00,0.522907,hit
24,right,2025-12-17 14:51:44.647770+00:00,0.457643,hit
25,left,2025-12-17 14:51:46.650491+00:00,0.516661,hit
26,right,2025-12-17 14:51:51.651452+00:00,0.506392,hit
27,right,2025-12-17 14:51:53.648368+00:00,0.485134,hit
28,right,2025-12-17 14:51:57.648005+00:00,0.475225,hit
29,left,2025-12-17 14:52:02.646087+00:00,0.476605,hit
30,right,2025-12-17 14:52:09.652722+00:00,0.465208,hit
31,left,2025-12-17 14:52:16.647720+00:00,0.433822,hit
32,left,2025-12-17 14:52:20.647357+00:00,0.421877,hit
33,right,2025-12-17 14:52:25.651271+00:00,0.442323,hit
34,right,2025-12-17 14:52:32.646269+00:00,0.436119,hit
35,left,2025-12-17 14:52:37.650182+00:00,0.462647,hit
36,left,2025-12-17 14:52:44.645180+00:00,0.430341,hit
37,left,2025-12-17 14:52:48.650627+00:00,0.433781,hit
38,right,2025-12-17 14:52:50.653348+00:00,0.543801,hit
39,right,2025-12-17 14:52:54.647176+00:00,0.429559,hit
40,left,2025-12-17 14:52:56.654839+00:00,0.432781,hit
41,left,2025-12-17 14:53:03.649855+00:00,0.394236,hit
42,right,2025-12-17 14:53:05.646771+00:00,0.519105,hit
43,right,2025-12-17 14:53:10.650662+00:00,0.496925,hit
44,left,2025-12-17 14:53:12.653383+00:00,0.522952,hit
45,right,2025-12-17 14:53:19.648403+00:00,0.440149,hit
46,left,2025-12-17 14:53:23.648041+00:00,0.476002,hit
47,right,2025-12-17 14:53:27.647678+00:00,0.454245,hit
48,left,2025-12-17 14:53:32.651569+00:00,0.460077,hit
49,right,2025-12-17 14:53:37.649673+00:00,0.435204,hit
50,right,2025-12-17 14:53:41.649311+00:00,0.489497,hit
51,left,2025-12-17 14:53:48.650118+00:00,0.510136,hit
52,left,2025-12-17 14:53:50.652839+00:00,0.511867,hit
53,left,2025-12-17 14:53:55.650943+00:00,0.466081,hit
54,right,2025-12-17 14:54:02.651750+00:00,0.446621,hit
55,left,2025-12-17 14:54:06.651388+00:00,0.448754,hit
56,right,2025-12-17 14:54:08.654966+00:00,0.472728,hit
57,left,2025-12-17 14:54:13.653075+00:00,0.475562,hit
58,right,2025-12-17 14:54:20.648068+00:00,0.494355,hit
59,left,2025-12-17 14:54:27.648898+00:00,0.475172,hit
60,left,2025-12-17 14:54:31.648535+00:00,0.535318,hit
61,left,2025-12-17 14:54:33.651256+00:00,0.454641,hit
62,right,2025-12-17 14:54:35.648172+00:00,0.4415,hit
63,right,2025-12-17 14:54:39.647809+00:00,0.455879,hit
64,right,2025-12-17 14:54:44.651700+00:00,0.464794,hit
65,right,2025-12-17 14:54:46.648612+00:00,0.494754,hit
66,left,2025-12-17 14:54:53.649442+00:00,0.444523,hit
67,left,2025-12-17 14:54:58.647524+00:00,0.457381,hit
68,right,2025-12-17 14:55:05.648354+00:00,0.442962,hit
69,right,2025-12-17 14:55:09.647991+00:00,0.473513,hit
70,left,2025-12-17 14:55:13.653437+00:00,0.477402,hit
71,right,2025-12-17 14:55:18.645710+00:00,0.47554,hit
72,left,2025-12-17 14:55:20.648431+00:00,0.458093,hit
73,left,2025-12-17 14:55:24.648068+00:00,0.458501,hit
74,left,2025-12-17 14:55:29.651982+00:00,0.468274,hit
75,right,2025-12-17 14:55:36.646979+00:00,0.431947,hit
76,left,2025-12-17 14:55:38.649701+00:00,0.494732,hit
77,left,2025-12-17 14:55:45.650804+00:00,0.475915,hit
78,right,2025-12-17 14:55:47.653525+00:00,0.471131,hit
79,right,2025-12-17 14:55:52.645825+00:00,0.470074,hit
80,right,2025-12-17 14:55:56.651249+00:00,0.481832,hit
81,right,2025-12-17 14:55:58.648183+00:00,0.468199,hit
82,left,2025-12-17 14:56:03.652074+00:00,0.421229,hit
83,right,2025-12-17 14:56:08.650178+00:00,0.523238,hit
84,left,2025-12-17 14:56:15.650986+00:00,0.476359,hit
85,left,2025-12-17 14:56:19.650623+00:00,0.468881,hit
86,right,2025-12-17 14:56:23.650260+00:00,0.47099,hit
87,left,2025-12-17 14:56:25.652981+00:00,0.505274,hit
88,right,2025-12-17 14:56:32.648001+00:00,0.422707,hit
89,right,2025-12-17 14:56:36.647639+00:00,0.480836,hit
90,left,2025-12-17 14:56:38.650360+00:00,0.494291,hit
91,left,2025-12-17 14:56:42.649997+00:00,0.422525,hit
92,right,2025-12-17 14:56:47.653893+00:00,0.455058,hit
93,right,2025-12-17 14:56:49.650804+00:00,0.464558,hit
94,right,2025-12-17 14:56:56.645825+00:00,0.46727,hit
