trial,side,utc_timestamp,RT_seconds,resp_status
1,left,2025-12-19 19:27:25.638871+00:00,0.578501,hit
2,left,2025-12-19 19:27:29.638508+00:00,0.478385,hit
3,right,2025-12-19 19:27:36.635993+00:00,0.536509,hit
4,right,2025-12-19 19:27:38.638714+00:00,0.588617,hit
5,left,2025-12-19 19:27:43.642605+00:00,0.535999,hit
6,left,2025-12-19 19:27:45.639521+00:00,0.523595,hit
7,right,2025-12-19 19:27:49.639158+00:00,0.546063,hit
8,right,2025-12-19 19:27:54.637263+00:00,0.628119,hit
9,left,2025-12-19 19:27:56.639984+00:00,0.728114,hit
10,left,2025-12-19 19:28:01.643879+00:00,0.520023,hit
11,right,2025-12-19 19:28:06.636174+00:00,0.562789,hit
12,right,2025-12-19 19:28:08.638895+00:00,0.631589,hit
13,left,2025-12-19 19:28:15.639703+00:00,0.504483,hit
14,right,2025-12-19 19:28:22.640528+00:00,0.537298,hit
15,left,2025-12-19 19:28:26.640165+00:00,0.530065,hit
16,right,2025-12-19 19:28:30.639802+00:00,0.529024,hit
17,left,2025-12-19 19:28:35.643698+00:00,0.494611,hit
18,left,2025-12-19 19:28:42.638714+00:00,0.497391,hit
19,left,2025-12-19 19:28:46.638351+00:00,0.503172,hit
20,right,2025-12-19 19:28:48.644096+00:00,0.588147,hit
21,left,2025-12-19 19:28:50.641012+00:00,0.485877,hit
22,right,2025-12-19 19:28:57.641842+00:00,0.521658,hit
23,right,2025-12-19 19:29:01.641474+00:00,0.497611,hit
24,right,2025-12-19 19:29:06.639561+00:00,0.481246,hit
25,left,2025-12-19 19:29:08.642282+00:00,0.51936,hit
26,right,2025-12-19 19:29:13.640386+00:00,0.493736,hit
27,right,2025-12-19 19:29:15.637302+00:00,0.491631,hit
28,right,2025-12-19 19:29:19.636940+00:00,0.472061,hit
29,left,2025-12-19 19:29:24.635734+00:00,0.52449,hit
30,right,2025-12-19 19:29:31.642346+00:00,0.482096,hit
31,left,2025-12-19 19:29:38.637367+00:00,0.447491,hit
32,left,2025-12-19 19:29:42.637004+00:00,0.436038,hit
33,right,2025-12-19 19:29:47.640895+00:00,0.496895,hit
34,right,2025-12-19 19:29:54.635916+00:00,0.475213,hit
35,left,2025-12-19 19:29:59.639807+00:00,0.496805,hit
36,left,2025-12-19 19:30:06.640614+00:00,0.4695,hit
37,left,2025-12-19 19:30:10.640269+00:00,0.508366,hit
38,right,2025-12-19 19:30:12.637186+00:00,0.586049,hit
39,right,2025-12-19 19:30:16.636823+00:00,0.519103,hit
40,left,2025-12-19 19:30:18.639561+00:00,0.485318,hit
41,left,2025-12-19 19:30:25.639561+00:00,0.507929,hit
42,right,2025-12-19 19:30:27.639561+00:00,0.488533,hit
43,right,2025-12-19 19:30:32.639561+00:00,0.447664,hit
44,left,2025-12-19 19:30:34.639561+00:00,0.505598,hit
45,right,2025-12-19 19:30:41.639561+00:00,0.445707,hit
46,left,2025-12-19 19:30:45.639561+00:00,0.479689,hit
47,right,2025-12-19 19:30:49.639561+00:00,0.48517,hit
48,left,2025-12-19 19:30:54.639561+00:00,0.427777,hit
49,right,2025-12-19 19:30:59.639561+00:00,0.445993,hit
50,right,2025-12-19 19:31:03.639561+00:00,0.432382,hit
51,left,2025-12-19 19:31:10.639561+00:00,0.472137,hit
52,left,2025-12-19 19:31:12.639561+00:00,0.645466,hit
53,left,2025-12-19 19:31:17.639561+00:00,0.483513,hit
54,right,2025-12-19 19:31:24.639561+00:00,0.455231,hit
55,left,2025-12-19 19:31:28.639561+00:00,0.43444,hit
56,right,2025-12-19 19:31:30.639561+00:00,0.667919,hit
57,left,2025-12-19 19:31:35.639561+00:00,0.497534,hit
58,right,2025-12-19 19:31:42.639561+00:00,0.44915,hit
59,left,2025-12-19 19:31:49.639561+00:00,0.455116,hit
60,left,2025-12-19 19:31:53.639561+00:00,0.455745,hit
61,left,2025-12-19 19:31:55.639561+00:00,0.623538,hit
62,right,2025-12-19 19:31:57.639561+00:00,0.459731,hit
63,right,2025-12-19 19:32:01.639561+00:00,0.4545,hit
64,right,2025-12-19 19:32:06.639561+00:00,0.521882,hit
65,right,2025-12-19 19:32:08.639561+00:00,0.438956,hit
66,left,2025-12-19 19:32:15.639561+00:00,0.601703,hit
67,left,2025-12-19 19:32:20.639561+00:00,0.491173,hit
68,right,2025-12-19 19:32:27.639561+00:00,0.466772,hit
69,right,2025-12-19 19:32:31.639561+00:00,0.491303,hit
70,left,2025-12-19 19:32:35.639561+00:00,0.457689,hit
71,right,2025-12-19 19:32:40.639561+00:00,0.437432,hit
72,left,2025-12-19 19:32:42.639561+00:00,0.456421,hit
73,left,2025-12-19 19:32:46.639561+00:00,0.444089,hit
74,left,2025-12-19 19:32:51.639561+00:00,0.462847,hit
75,right,2025-12-19 19:32:58.639561+00:00,0.451313,hit
76,left,2025-12-19 19:33:00.639561+00:00,0.469644,hit
77,left,2025-12-19 19:33:07.639561+00:00,0.4178,hit
78,right,2025-12-19 19:33:09.639561+00:00,0.449265,hit
79,right,2025-12-19 19:33:14.639561+00:00,0.467097,hit
80,right,2025-12-19 19:33:18.639561+00:00,0.480856,hit
81,right,2025-12-19 19:33:20.639561+00:00,0.524153,hit
82,left,2025-12-19 19:33:25.639561+00:00,0.436426,hit
83,right,2025-12-19 19:33:30.639561+00:00,0.439574,hit
84,left,2025-12-19 19:33:37.639561+00:00,0.431946,hit
85,left,2025-12-19 19:33:41.639561+00:00,0.641502,hit
86,right,2025-12-19 19:33:45.639561+00:00,0.562201,hit
87,left,2025-12-19 19:33:47.639561+00:00,0.606274,hit
88,right,2025-12-19 19:33:54.639561+00:00,0.436791,hit
89,right,2025-12-19 19:33:58.639561+00:00,0.475664,hit
90,left,2025-12-19 19:34:00.639561+00:00,0.651415,hit
91,left,2025-12-19 19:34:04.639561+00:00,0.44633,hit
92,right,2025-12-19 19:34:09.639561+00:00,0.493671,hit
93,right,2025-12-19 19:34:11.639561+00:00,0.596669,hit
94,right,2025-12-19 19:34:18.639561+00:00,0.478575,hit
95,left,2025-12-19 19:34:25.639561+00:00,0.518115,hit
96,left,2025-12-19 19:34:30.639561+00:00,0.446386,hit
97,left,2025-12-19 19:34:37.639561+00:00,0.453316,hit
98,left,2025-12-19 19:34:41.639561+00:00,0.411303,hit
99,left,2025-12-19 19:34:43.639561+00:00,0.458202,hit
100,right,2025-12-19 19:34:48.639561+00:00,0.484335,hit
101,right,2025-12-19 19:34:55.639561+00:00,0.465738,hit
102,right,2025-12-19 19:34:59.639561+00:00,0.439312,hit
103,right,2025-12-19 19:35:01.639561+00:00,0.468111,hit
104,left,2025-12-19 19:35:06.639561+00:00,0.506757,hit
105,right,2025-12-19 19:35:08.639561+00:00,0.514762,hit
106,left,2025-12-19 19:35:13.639561+00:00,0.4804,hit
107,right,2025-12-19 19:35:20.639561+00:00,0.48125,hit
108,left,2025-12-19 19:35:24.639561+00:00,0.52199,hit
109,left,2025-12-19 19:35:31.639561+00:00,0.430731,hit
110,right,2025-12-19 19:35:35.639561+00:00,0.460433,hit
111,left,2025-12-19 19:35:37.639561+00:00,0.47219,hit
112,right,2025-12-19 19:35:42.639561+00:00,0.499164,hit
113,left,2025-12-19 19:35:44.639561+00:00,0.679207,hit
114,none,,,false_positive
114,left,2025-12-19 19:35:48.639561+00:00,0.58971,hit
115,right,2025-12-19 19:35:50.639561+00:00,0.461509,hit
116,left,2025-12-19 19:35:57.639561+00:00,0.479921,hit
117,right,2025-12-19 19:36:01.639561+00:00,0.486678,hit
118,left,2025-12-19 19:36:06.639561+00:00,0.480998,hit
119,right,2025-12-19 19:36:11.639561+00:00,0.473603,hit
120,right,2025-12-19 19:36:18.639561+00:00,0.466738,hit
121,left,2025-12-19 19:36:22.639561+00:00,0.418538,hit
