trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,left,,,,0.596816,hit,5.908089,5.908089,6.504905000000001
2,left,,,,0.45504,hit,9.907726,9.907726,10.362766
3,right,,,,0.489537,hit,16.908533,16.908533,17.398069999999997
4,right,,,,0.54936,hit,18.911254,18.911254,19.460614
5,left,,,,0.5426,hit,23.909359,23.909359,24.451959
6,left,,,,0.727396,hit,25.912084,25.912084,26.63948
7,right,,,,0.446069,hit,29.911721,29.911721,30.35779
8,right,,,,0.506121,hit,34.909803,34.909803,35.415924
9,left,,,,0.607729,hit,36.912529,36.912529,37.520258
10,left,,,,0.499623,hit,41.904823,41.904823,42.404446
11,right,,,,0.485858,hit,46.908715,46.908715,47.394573
12,right,,,,0.514664,hit,48.911436,48.911436,49.426100000000005
13,left,,,,0.497714,hit,55.912266,55.912266,56.409980000000004
14,right,,,,0.515716,hit,62.907263,62.907263,63.422979
15,left,,,,0.475208,hit,66.9069,66.9069,67.38210799999999
16,right,,,,0.470512,hit,70.912347,70.912347,71.382859
17,left,,,,0.433904,hit,75.904642,75.904642,76.338546
18,left,,,,0.425029,hit,82.911254,82.911254,83.336283
19,left,,,,0.479913,hit,86.910891,86.910891,87.390804
20,right,,,,0.54287,hit,88.907807,88.907807,89.450677
21,left,,,,0.460599,hit,90.910529,90.910529,91.371128
22,right,,,,0.401094,hit,97.905549,97.905549,98.306643
23,right,,,,0.463545,hit,101.905186,101.905186,102.368731
24,right,,,,0.435178,hit,106.909077,106.909077,107.34425499999999
25,left,,,,0.498083,hit,108.911799,108.911799,109.409882
26,right,,,,0.482265,hit,113.909907,113.909907,114.392172
27,right,,,,0.577327,hit,115.912628,115.912628,116.489955
28,right,,,,0.433573,hit,119.906456,119.906456,120.340029
29,left,,,,0.446909,hit,124.910347,124.910347,125.357256
30,right,,,,0.53975,hit,131.905368,131.905368,132.445118
31,left,,,,0.433095,hit,138.91198,138.91198,139.345075
32,left,,,,0.529258,hit,142.911617,142.911617,143.440875
33,right,,,,0.466261,hit,147.909726,147.909726,148.375987
34,right,,,,0.587749,hit,154.910529,154.910529,155.498278
35,left,,,,0.557642,hit,159.914442,159.914442,160.472084
36,left,,,,0.407253,hit,166.90944,166.90944,167.316693
37,left,,,,0.501957,hit,170.909077,170.909077,171.411034
38,right,,,,0.505733,hit,172.911799,172.911799,173.417532
39,right,,,,0.458937,hit,176.911436,176.911436,177.370373
161,none,,,,,false_positive,722.251162,722.251162,
