trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,left,,,,0.689381,hit,3.897173,3.897173,4.586554
2,left,,,,0.463566,hit,7.896811,7.896811,8.360377
3,right,,,,0.465134,hit,14.897618,14.897618,15.362752
4,right,,,,0.541196,hit,16.900339,16.900339,17.441535
5,left,,,,0.570348,hit,21.895704,21.895704,22.466051999999998
6,left,,,,0.489429,hit,23.898407,23.898407,24.387836
7,right,,,,0.502463,hit,27.898044,27.898044,28.400506999999998
8,right,,,,0.487835,hit,32.896148,32.896148,33.38398299999999
9,left,,,,0.496456,hit,34.89887,34.89887,35.395326000000004
10,left,,,,0.520292,hit,39.902765,39.902765,40.423057
11,right,,,,0.501558,hit,44.89506,44.89506,45.396618000000004
12,right,,,,0.522373,hit,46.897781,46.897781,47.420154000000004
13,left,,,,0.55352,hit,53.892801,53.892801,54.446321
14,right,,,,0.481321,hit,60.899414,60.899414,61.380735
15,left,,,,0.489491,hit,64.899051,64.899051,65.388542
16,right,,,,0.481109,hit,68.898688,68.898688,69.37979700000001
17,left,,,,0.447298,hit,73.902584,73.902584,74.34988200000001
18,left,,,,0.487104,hit,80.897599,80.897599,81.384703
19,left,,,,0.480586,hit,84.897237,84.897237,85.377823
20,right,,,,0.547823,hit,86.899962,86.899962,87.447785
21,left,,,,0.510618,hit,88.896874,88.896874,89.40749199999999
22,right,,,,0.461971,hit,95.891894,95.891894,96.353865
23,right,,,,0.522907,hit,99.897318,99.897318,100.420225
24,right,,,,0.457643,hit,104.895423,104.895423,105.353066
25,left,,,,0.516662,hit,106.898144,106.898144,107.414806
26,right,,,,0.506392,hit,111.899105,111.899105,112.40549700000001
27,right,,,,0.485134,hit,113.896021,113.896021,114.381155
28,right,,,,0.475225,hit,117.895658,117.895658,118.37088299999999
29,left,,,,0.476605,hit,122.89374,122.89374,123.370345
30,right,,,,0.465208,hit,129.900375,129.900375,130.365583
31,left,,,,0.433822,hit,136.895373,136.895373,137.329195
32,left,,,,0.421877,hit,140.89501,140.89501,141.316887
33,right,,,,0.442323,hit,145.898924,145.898924,146.34124699999998
34,right,,,,0.43612,hit,152.893922,152.893922,153.330042
35,left,,,,0.462647,hit,157.897835,157.897835,158.360482
36,left,,,,0.430341,hit,164.892833,164.892833,165.323174
37,left,,,,0.433781,hit,168.89828,168.89828,169.332061
38,right,,,,0.543801,hit,170.901001,170.901001,171.444802
39,right,,,,0.42956,hit,174.894829,174.894829,175.324389
40,left,,,,0.432781,hit,176.902492,176.902492,177.335273
41,left,,,,0.394237,hit,183.897508,183.897508,184.291745
42,right,,,,0.519105,hit,185.894424,185.894424,186.41352899999998
43,right,,,,0.496925,hit,190.898315,190.898315,191.39524
44,left,,,,0.522952,hit,192.901036,192.901036,193.423988
45,right,,,,0.440149,hit,199.896056,199.896056,200.33620499999998
46,left,,,,0.476003,hit,203.895694,203.895694,204.37169699999998
47,right,,,,0.454245,hit,207.895331,207.895331,208.34957599999998
48,left,,,,0.460077,hit,212.899222,212.899222,213.35929900000002
49,right,,,,0.435203,hit,217.897326,217.897326,218.332529
50,right,,,,0.489497,hit,221.896964,221.896964,222.386461
51,left,,,,0.510136,hit,228.897771,228.897771,229.407907
52,left,,,,0.511867,hit,230.900492,230.900492,231.412359
53,left,,,,0.466081,hit,235.898596,235.898596,236.364677
54,right,,,,0.44662,hit,242.899403,242.899403,243.346023
55,left,,,,0.448755,hit,246.899041,246.899041,247.34779600000002
56,right,,,,0.472728,hit,248.902619,248.902619,249.37534699999998
57,left,,,,0.475562,hit,253.900728,253.900728,254.37628999999998
58,right,,,,0.494355,hit,260.895721,260.895721,261.39007599999997
59,left,,,,0.475172,hit,267.896551,267.896551,268.371723
60,left,,,,0.535318,hit,271.896188,271.896188,272.431506
61,left,,,,0.454641,hit,273.898909,273.898909,274.35355
62,right,,,,0.441499,hit,275.895825,275.895825,276.337324
63,right,,,,0.455879,hit,279.895462,279.895462,280.351341
64,right,,,,0.464794,hit,284.899353,284.899353,285.364147
65,right,,,,0.494754,hit,286.896265,286.896265,287.39101900000003
