trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,left,2025-12-20 16:34:14.642335,2025-12-20 16:34:14.648947,2025-12-20 16:34:15.231015,0.582067,hit,7.0,7.006612245284487,7.588679500040598
2,left,2025-12-20 16:34:18.642335,2025-12-20 16:34:18.648585,2025-12-20 16:34:19.149552,0.500967,hit,11.0,11.006249433499761,11.50721654202789
3,right,2025-12-20 16:34:25.642335,2025-12-20 16:34:25.649392,2025-12-20 16:34:26.130907,0.481515,hit,18.0,18.007056689064484,18.48857162502827
4,right,2025-12-20 16:34:27.642335,2025-12-20 16:34:27.652113,2025-12-20 16:34:28.090201,0.438088,hit,20.0,20.00977777747903,20.447866083995905
5,left,2025-12-20 16:34:32.642335,2025-12-20 16:34:32.650217,2025-12-20 16:34:33.163891,0.513674,hit,25.0,25.00788208656013,25.521555959014222
6,left,2025-12-20 16:34:34.642335,2025-12-20 16:34:34.647133,2025-12-20 16:34:35.137698,0.490564,hit,27.0,27.00479818630265,27.495362667017616
7,right,2025-12-20 16:34:38.642335,2025-12-20 16:34:38.646771,2025-12-20 16:34:39.109688,0.462917,hit,31.0,31.004435374517925,31.4673523750389
8,right,2025-12-20 16:34:43.642335,2025-12-20 16:34:43.650662,2025-12-20 16:34:44.104604,0.453942,hit,36.0,36.00832653034013,36.462268292030785
9,left,2025-12-20 16:34:45.642335,2025-12-20 16:34:45.653387,2025-12-20 16:34:46.120482,0.467095,hit,38.0,38.01105215452844,38.478147125046235
10,left,2025-12-20 16:34:50.642335,2025-12-20 16:34:50.648706,2025-12-20 16:34:51.105593,0.456887,hit,43.0,43.006370748684276,43.46325812500436
11,right,2025-12-20 16:34:55.642335,2025-12-20 16:34:55.646810,2025-12-20 16:34:56.121276,0.474466,hit,48.0,48.00447505671764,48.47894062503474
12,right,2025-12-20 16:34:57.642335,2025-12-20 16:34:57.649531,2025-12-20 16:34:58.121593,0.472062,hit,50.0,50.00719614519039,50.479257875005715
13,left,2025-12-20 16:35:04.642335,2025-12-20 16:35:04.650339,2025-12-20 16:35:05.128900,0.478562,hit,57.0,57.008003401744645,57.486565084022004
14,right,2025-12-20 16:35:11.642335,2025-12-20 16:35:11.651169,2025-12-20 16:35:12.078111,0.426942,hit,64.0,64.008833333035,64.43577558401739
15,left,2025-12-20 16:35:15.642335,2025-12-20 16:35:15.650801,2025-12-20 16:35:16.109236,0.458434,hit,68.0,68.00846598646604,68.466900333995
16,right,2025-12-20 16:35:19.642335,2025-12-20 16:35:19.650438,2025-12-20 16:35:20.100523,0.450084,hit,72.0,72.00810317468131,72.45818733400665
17,left,2025-12-20 16:35:24.642335,2025-12-20 16:35:24.648525,2025-12-20 16:35:25.119337,0.470813,hit,77.0,77.00618934276281,77.47700200002873
