trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
2,left,2025-12-17 12:17:40.765041,2025-12-17 12:17:40.765041,2025-12-17 12:17:41.359901,0.59486,hit,3.999637,3.999637,4.594497
3,right,2025-12-17 12:17:47.765848,2025-12-17 12:17:47.765848,2025-12-17 12:17:48.342858,0.57701,hit,11.000444,11.000444,11.577454
4,right,2025-12-17 12:17:49.768569,2025-12-17 12:17:49.768569,2025-12-17 12:17:50.299106,0.530537,hit,13.003165,13.003165,13.533702
5,left,2025-12-17 12:17:54.766674,2025-12-17 12:17:54.766674,2025-12-17 12:17:55.620393,0.853719,hit,18.00127,18.00127,18.854989000000003
6,left,2025-12-17 12:17:56.763590,2025-12-17 12:17:56.763590,2025-12-17 12:17:57.302629,0.539039,hit,19.998186,19.998186,20.537225
7,right,2025-12-17 12:18:00.763227,2025-12-17 12:18:00.763227,2025-12-17 12:18:01.198465,0.435238,hit,23.997823,23.997823,24.433061000000002
8,right,2025-12-17 12:18:05.767118,2025-12-17 12:18:05.767118,2025-12-17 12:18:06.248201,0.481083,hit,29.001714,29.001714,29.482797
9,left,2025-12-17 12:18:07.769844,2025-12-17 12:18:07.769844,2025-12-17 12:18:08.331119,0.561275,hit,31.00444,31.00444,31.565714999999997
10,left,2025-12-17 12:18:12.762139,2025-12-17 12:18:12.762139,2025-12-17 12:18:13.323342,0.561203,hit,35.996735,35.996735,36.557938
11,right,2025-12-17 12:18:17.766030,2025-12-17 12:18:17.766030,2025-12-17 12:18:18.226637,0.460607,hit,41.000626,41.000626,41.461233
12,right,2025-12-17 12:18:19.768751,2025-12-17 12:18:19.768751,2025-12-17 12:18:20.299376,0.530625,hit,43.003347,43.003347,43.533972
13,left,2025-12-17 12:18:26.763771,2025-12-17 12:18:26.763771,2025-12-17 12:18:27.331584,0.567813,hit,49.998367,49.998367,50.56618
14,right,2025-12-17 12:18:33.764579,2025-12-17 12:18:33.764579,2025-12-17 12:18:34.233597,0.469018,hit,56.999175,56.999175,57.468193
15,left,2025-12-17 12:18:37.764216,2025-12-17 12:18:37.764216,2025-12-17 12:18:38.357772,0.593556,hit,60.998812,60.998812,61.592368
16,right,2025-12-17 12:18:41.769663,2025-12-17 12:18:41.769663,2025-12-17 12:18:42.265251,0.495588,hit,65.004259,65.004259,65.499847
17,left,2025-12-17 12:18:46.761957,2025-12-17 12:18:46.761957,2025-12-17 12:18:47.366473,0.604516,hit,69.996553,69.996553,70.60106900000001
18,left,2025-12-17 12:18:53.768569,2025-12-17 12:18:53.768569,2025-12-17 12:18:54.337757,0.569188,hit,77.003165,77.003165,77.57235299999999
19,left,2025-12-17 12:18:57.768207,2025-12-17 12:18:57.768207,2025-12-17 12:18:58.316474,0.548267,hit,81.002803,81.002803,81.55107
20,right,2025-12-17 12:18:59.765123,2025-12-17 12:18:59.765123,2025-12-17 12:19:00.303150,0.538027,hit,82.999719,82.999719,83.537746
21,left,2025-12-17 12:19:01.767844,2025-12-17 12:19:01.767844,2025-12-17 12:19:02.331971,0.564127,hit,85.00244,85.00244,85.566567
