trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
2,left,2025-12-17 10:57:03.368747000,2025-12-17 10:57:03.368747000,2025-12-17 10:57:03.788723000,0.419976,hit,3.999637,3.999637,4.419613
3,right,2025-12-17 10:57:10.363768000,2025-12-17 10:57:10.363768000,2025-12-17 10:57:10.967159000,0.603391,hit,10.994658,10.994658,11.598049
4,right,2025-12-17 10:57:12.366489000,2025-12-17 10:57:12.366489000,2025-12-17 10:57:12.998534000,0.632045,hit,12.997379,12.997379,13.629424
5,left,2025-12-17 10:57:17.370380000,2025-12-17 10:57:17.370380000,2025-12-17 10:57:17.950540000,0.58016,hit,18.00127,18.00127,18.58143
6,left,2025-12-17 10:57:19.367296000,2025-12-17 10:57:19.367296000,2025-12-17 10:57:19.936581000,0.569285,hit,19.998186,19.998186,20.567471
7,right,2025-12-17 10:57:23.366933000,2025-12-17 10:57:23.366933000,2025-12-17 10:57:23.863294000,0.496361,hit,23.997823,23.997823,24.494184
8,right,2025-12-17 10:57:28.365038000,2025-12-17 10:57:28.365038000,2025-12-17 10:57:28.876264000,0.511226,hit,28.995928,28.995928,29.507154
9,left,2025-12-17 10:57:30.367759000,2025-12-17 10:57:30.367759000,2025-12-17 10:57:30.985133000,0.617374,hit,30.998649,30.998649,31.616023000000002
10,left,2025-12-17 10:57:35.365845000,2025-12-17 10:57:35.365845000,2025-12-17 10:57:35.846401000,0.480556,hit,35.996735,35.996735,36.477291
11,right,2025-12-17 10:57:40.363949000,2025-12-17 10:57:40.363949000,2025-12-17 10:57:40.870111999,0.506163,hit,40.994839,40.994839,41.501002
12,right,2025-12-17 10:57:42.366670000,2025-12-17 10:57:42.366670000,2025-12-17 10:57:42.935378000,0.568708,hit,42.99756,42.99756,43.566268
13,left,2025-12-17 10:57:49.363048000,2025-12-17 10:57:49.363048000,2025-12-17 10:57:49.866827000,0.503779,hit,49.993938,49.993938,50.497717
14,right,2025-12-17 10:57:56.369660000,2025-12-17 10:57:56.369660000,2025-12-17 10:57:56.865535000,0.495875,hit,57.00055,57.00055,57.496424999999995
15,left,2025-12-17 10:58:00.369297000,2025-12-17 10:58:00.369297000,2025-12-17 10:58:00.912266000,0.542969,hit,61.000187,61.000187,61.543155999999996
16,right,2025-12-17 10:58:04.368935000,2025-12-17 10:58:04.368935000,2025-12-17 10:58:04.797376000,0.428441,hit,64.999825,64.999825,65.42826600000001
17,left,2025-12-17 10:58:09.369313000,2025-12-17 10:58:09.369313000,2025-12-17 10:58:09.866842000,0.497529,hit,70.000203,70.000203,70.497732
18,left,2025-12-17 10:58:16.366964000,2025-12-17 10:58:16.366964000,2025-12-17 10:58:16.862004000,0.49504,hit,76.997854,76.997854,77.492894
19,left,2025-12-17 10:58:20.360792000,2025-12-17 10:58:20.360792000,2025-12-17 10:58:20.833705000,0.472913,hit,80.991682,80.991682,81.464595
20,right,2025-12-17 10:58:22.369322000,2025-12-17 10:58:22.369322000,2025-12-17 10:58:22.919587000,0.550265,hit,83.000212,83.000212,83.550477
21,left,2025-12-17 10:58:24.366238000,2025-12-17 10:58:24.366238000,2025-12-17 10:58:24.885921000,0.519683,hit,84.997128,84.997128,85.516811
22,right,2025-12-17 10:58:31.367041000,2025-12-17 10:58:31.367041000,2025-12-17 10:58:31.854756000,0.487715,hit,91.997931,91.997931,92.48564599999999
23,right,2025-12-17 10:58:35.366678000,2025-12-17 10:58:35.366678000,2025-12-17 10:58:35.800950000,0.434272,hit,95.997568,95.997568,96.43184
