trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
66,left,0.150,2025-12-01 09:22:58.737408,2025-12-01 09:22:59.453158,0.715751,hit
67,right,0.050,2025-12-01 09:23:03.737408,2025-12-01 09:23:04.427327,0.689920,hit
68,right,0.100,2025-12-01 09:23:05.737408,2025-12-01 09:23:06.432608,0.695200,hit
69,right,0.100,2025-12-01 09:23:12.737408,2025-12-01 09:23:13.364001,0.626593,hit
70,left,0.100,2025-12-01 09:23:14.737408,2025-12-01 09:23:15.393408,0.656000,hit
71,left,0.150,2025-12-01 09:23:16.737408,2025-12-01 09:23:17.299205,0.561797,hit
72,right,0.150,2025-12-01 09:23:21.737408,2025-12-01 09:23:22.361870,0.624462,hit
73,left,0.150,2025-12-01 09:23:28.737408,2025-12-01 09:23:29.487400,0.749992,hit
74,right,0.150,2025-12-01 09:23:30.737408,2025-12-01 09:23:31.330012,0.592604,hit
75,left,0.150,2025-12-01 09:23:32.737408,2025-12-01 09:23:33.298557,0.561149,hit
76,left,0.050,2025-12-01 09:23:34.737408,2025-12-01 09:23:35.287479,0.550071,hit
77,left,0.150,2025-12-01 09:23:41.737408,2025-12-01 09:23:42.406674,0.669267,hit
78,right,0.150,2025-12-01 09:23:48.737408,2025-12-01 09:23:49.529185,0.791777,hit
79,right,0.150,2025-12-01 09:23:53.737408,2025-12-01 09:23:54.335432,0.598024,hit
80,left,0.050,2025-12-01 09:23:57.737408,2025-12-01 09:23:58.273630,0.536223,hit
81,left,0.150,2025-12-01 09:24:04.737408,2025-12-01 09:24:05.368062,0.630655,hit
82,left,0.050,2025-12-01 09:24:08.737408,2025-12-01 09:24:09.333349,0.595941,hit
83,right,0.100,2025-12-01 09:24:15.737408,2025-12-01 09:24:16.355276,0.617868,hit
84,left,0.100,2025-12-01 09:24:20.737408,2025-12-01 09:24:21.348996,0.611588,hit
85,right,0.150,2025-12-01 09:24:24.737408,2025-12-01 09:24:25.319665,0.582257,hit
86,left,0.050,2025-12-01 09:24:31.737408,2025-12-01 09:24:32.441485,0.704077,hit
87,left,0.050,2025-12-01 09:24:36.737408,2025-12-01 09:24:37.322882,0.585474,hit
88,right,0.100,2025-12-01 09:24:38.737408,2025-12-01 09:24:39.328217,0.590810,hit
89,right,0.150,2025-12-01 09:24:45.737408,2025-12-01 09:24:46.357989,0.620581,hit
90,right,0.100,2025-12-01 09:24:47.737408,2025-12-01 09:24:48.313628,0.576220,hit
91,left,0.050,2025-12-01 09:24:49.737408,2025-12-01 09:24:50.346858,0.609450,hit
92,right,0.150,2025-12-01 09:24:54.737408,2025-12-01 09:24:55.321703,0.584295,hit
93,left,0.050,2025-12-01 09:25:01.737408,2025-12-01 09:25:02.407836,0.670428,hit
94,right,0.050,2025-12-01 09:25:05.737408,2025-12-01 09:25:06.332554,0.595146,hit
95,right,0.150,2025-12-01 09:25:07.737408,2025-12-01 09:25:08.319782,0.582374,hit
96,right,0.150,2025-12-01 09:25:09.737408,2025-12-01 09:25:10.294459,0.557052,hit
97,left,0.050,2025-12-01 09:25:14.737408,2025-12-01 09:25:15.338696,0.601288,hit
98,left,0.150,2025-12-01 09:25:18.737408,2025-12-01 09:25:19.353455,0.616048,hit
99,left,0.100,2025-12-01 09:25:20.737408,2025-12-01 09:25:21.278252,0.540844,hit
100,left,0.050,2025-12-01 09:25:25.737408,2025-12-01 09:25:26.305539,0.568132,hit
101,left,0.100,2025-12-01 09:25:32.737408,2025-12-01 09:25:33.374544,0.637136,hit
102,left,0.100,2025-12-01 09:25:34.737408,2025-12-01 09:25:35.342952,0.605544,hit
103,right,0.150,2025-12-01 09:25:41.737408,2025-12-01 09:25:42.300763,0.563356,hit
104,right,0.100,2025-12-01 09:25:48.737408,2025-12-01 09:25:49.399469,0.662061,hit
105,right,0.100,2025-12-01 09:25:55.737408,2025-12-01 09:25:56.353176,0.615769,hit
106,right,0.100,2025-12-01 09:26:02.737408,2025-12-01 09:26:03.304796,0.567389,hit
107,right,0.050,2025-12-01 09:26:04.737408,2025-12-01 09:26:05.349291,0.611884,hit
108,left,0.050,2025-12-01 09:26:11.737408,2025-12-01 09:26:12.399838,0.662430,hit
109,left,0.150,2025-12-01 09:26:15.737408,2025-12-01 09:26:16.330776,0.593368,hit
110,left,0.150,2025-12-01 09:26:17.737408,2025-12-01 09:26:18.397282,0.659875,hit
111,left,0.150,2025-12-01 09:26:22.737408,2025-12-01 09:26:23.325358,0.587950,hit
112,left,0.050,2025-12-01 09:26:26.737408,2025-12-01 09:26:27.301744,0.564336,hit
113,left,0.050,2025-12-01 09:26:28.737408,2025-12-01 09:26:29.316278,0.578871,hit
114,left,0.150,2025-12-01 09:26:32.737408,2025-12-01 09:26:33.353918,0.616510,hit
115,left,0.050,2025-12-01 09:26:37.737408,2025-12-01 09:26:38.335694,0.598287,hit
116,right,0.050,2025-12-01 09:26:44.737408,2025-12-01 09:26:45.356623,0.619215,hit
117,right,0.050,2025-12-01 09:26:51.737408,2025-12-01 09:26:52.339014,0.601606,hit
118,right,0.050,2025-12-01 09:26:53.737408,2025-12-01 09:26:54.278764,0.541356,hit
119,left,0.050,2025-12-01 09:27:00.737408,2025-12-01 09:27:01.345785,0.608377,hit
120,left,0.100,2025-12-01 09:27:07.737408,2025-12-01 09:27:08.398863,0.661455,hit
121,right,0.100,2025-12-01 09:27:09.737408,2025-12-01 09:27:10.320371,0.582964,hit
122,left,0.050,2025-12-01 09:27:16.737408,2025-12-01 09:27:17.417711,0.680304,hit
123,left,0.100,2025-12-01 09:27:18.737408,2025-12-01 09:27:19.329605,0.592198,hit
124,right,0.100,2025-12-01 09:27:25.737408,2025-12-01 09:27:26.486055,0.748647,hit
125,left,0.100,2025-12-01 09:27:29.737408,2025-12-01 09:27:30.298250,0.560843,hit
126,right,0.100,2025-12-01 09:27:31.737408,2025-12-01 09:27:32.344532,0.607124,hit
